block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,trial_id,is_correct
b_0,red,red,X,no_color_change,no_figure_change,first,update,0,correct
b_0,red,red,Y,no_color_change,figure_change,not_first,update,1,correct
b_0,red,red,Y,no_color_change,no_figure_change,not_first,update,2,correct
b_0,blue,red,X,color_change,figure_change,not_first,no_update,3,correct
b_0,red,red,Y,color_change,figure_change,not_first,update,4,correct
b_0,red,red,Y,no_color_change,no_figure_change,not_first,update,5,correct
b_0,blue,red,Y,color_change,no_figure_change,not_first,no_update,6,correct
b_0,red,red,X,color_change,figure_change,not_first,update,7,correct
b_0,red,red,Y,no_color_change,figure_change,not_first,update,8,correct
b_0,blue,red,X,color_change,figure_change,not_first,no_update,9,correct
b_0,red,red,Y,color_change,figure_change,not_first,update,10,correct
b_0,red,red,X,no_color_change,figure_change,not_first,update,11,correct
b_0,red,red,X,no_color_change,no_figure_change,not_first,update,12,correct
b_0,red,red,X,no_color_change,no_figure_change,not_first,update,13,correct
b_0,red,red,Y,no_color_change,figure_change,not_first,update,14,correct
b_0,blue,red,X,color_change,figure_change,not_first,no_update,15,correct
b_1,red,red,Y,no_color_change,no_figure_change,first,update,0,correct
b_1,blue,red,X,color_change,figure_change,not_first,no_update,1,correct
b_1,red,red,Y,color_change,figure_change,not_first,update,2,correct
b_1,red,red,X,no_color_change,figure_change,not_first,update,3,correct
b_1,blue,red,X,color_change,no_figure_change,not_first,no_update,4,correct
b_1,red,red,Y,color_change,figure_change,not_first,update,5,correct
b_1,red,red,Y,no_color_change,no_figure_change,not_first,update,6,correct
b_1,red,red,X,no_color_change,figure_change,not_first,update,7,correct
b_1,red,red,Y,no_color_change,figure_change,not_first,update,8,correct
b_1,blue,red,X,color_change,figure_change,not_first,no_update,9,correct
b_1,red,red,Y,color_change,figure_change,not_first,update,10,correct
b_1,red,red,Y,no_color_change,no_figure_change,not_first,update,11,correct
b_1,blue,red,Y,color_change,no_figure_change,not_first,no_update,12,correct
b_1,red,red,X,color_change,figure_change,not_first,update,13,correct
b_1,red,red,Y,no_color_change,figure_change,not_first,update,14,correct
b_1,red,red,Y,no_color_change,no_figure_change,not_first,update,15,correct
b_1,blue,red,Y,color_change,no_figure_change,not_first,no_update,16,correct
b_1,blue,red,X,no_color_change,figure_change,not_first,no_update,17,correct
b_1,red,red,Y,color_change,figure_change,not_first,update,18,correct
b_1,red,red,X,no_color_change,figure_change,not_first,update,19,correct
b_1,blue,red,X,color_change,no_figure_change,not_first,no_update,20,correct
b_1,blue,red,Y,no_color_change,figure_change,not_first,no_update,21,correct
b_1,blue,red,Y,no_color_change,no_figure_change,not_first,no_update,22,correct
b_1,red,red,Y,color_change,no_figure_change,not_first,update,23,correct
b_1,red,red,X,no_color_change,figure_change,not_first,update,24,correct
b_1,blue,red,Y,color_change,figure_change,not_first,no_update,25,correct
b_1,blue,red,Y,no_color_change,no_figure_change,not_first,no_update,26,correct
b_1,red,red,Y,color_change,no_figure_change,not_first,update,27,correct
b_1,red,red,X,no_color_change,figure_change,not_first,update,28,correct
b_1,blue,red,X,color_change,no_figure_change,not_first,no_update,29,correct
b_1,blue,red,Y,no_color_change,figure_change,not_first,no_update,30,correct
b_1,red,red,X,color_change,figure_change,not_first,update,31,correct
b_1,blue,red,Y,color_change,figure_change,not_first,no_update,32,correct
b_1,blue,red,Y,no_color_change,no_figure_change,not_first,no_update,33,correct
b_1,blue,red,X,no_color_change,figure_change,not_first,no_update,34,correct
b_1,red,red,X,color_change,no_figure_change,not_first,update,35,correct
