Event,RecordingTimestamp
TRIALID,71368
!E TRIAL_EVENT_VAR fixation,71370
!E TRIAL_EVENT_VAR stimulus_on,72379
!E TRIAL_EVENT_VAR stimulus_off,74386
TRIAL_END,74893
TRIALID,74909
!E TRIAL_EVENT_VAR fixation,74910
!E TRIAL_EVENT_VAR stimulus_on,75919
!E TRIAL_EVENT_VAR stimulus_off,77923
TRIAL_END,78430
TRIALID,78447
!E TRIAL_EVENT_VAR fixation,78448
!E TRIAL_EVENT_VAR stimulus_on,79456
!E TRIAL_EVENT_VAR stimulus_off,81461
TRIAL_END,81968
TRIALID,81983
!E TRIAL_EVENT_VAR fixation,81984
!E TRIAL_EVENT_VAR stimulus_on,82993
!E TRIAL_EVENT_VAR stimulus_off,84997
TRIAL_END,85504
TRIALID,85520
!E TRIAL_EVENT_VAR fixation,85521
!E TRIAL_EVENT_VAR stimulus_on,86528
!E TRIAL_EVENT_VAR stimulus_off,88532
TRIAL_END,89040
TRIALID,89056
!E TRIAL_EVENT_VAR fixation,89058
!E TRIAL_EVENT_VAR stimulus_on,90064
!E TRIAL_EVENT_VAR stimulus_off,92069
TRIAL_END,92577
TRIALID,92592
!E TRIAL_EVENT_VAR fixation,92594
!E TRIAL_EVENT_VAR stimulus_on,93601
!E TRIAL_EVENT_VAR stimulus_off,95605
TRIAL_END,96112
TRIALID,96129
!E TRIAL_EVENT_VAR fixation,96133
!E TRIAL_EVENT_VAR stimulus_on,97142
!E TRIAL_EVENT_VAR stimulus_off,99147
TRIAL_END,99654
TRIALID,99664
!E TRIAL_EVENT_VAR fixation,99666
!E TRIAL_EVENT_VAR stimulus_on,100673
!E TRIAL_EVENT_VAR stimulus_off,102678
TRIAL_END,103186
TRIALID,103201
!E TRIAL_EVENT_VAR fixation,103202
!E TRIAL_EVENT_VAR stimulus_on,104210
!E TRIAL_EVENT_VAR stimulus_off,106216
TRIAL_END,106723
TRIALID,106738
!E TRIAL_EVENT_VAR fixation,106740
!E TRIAL_EVENT_VAR stimulus_on,107746
!E TRIAL_EVENT_VAR stimulus_off,109752
TRIAL_END,110260
TRIALID,110273
!E TRIAL_EVENT_VAR fixation,110275
!E TRIAL_EVENT_VAR stimulus_on,111281
!E TRIAL_EVENT_VAR stimulus_off,113287
TRIAL_END,113794
TRIALID,117432
!E TRIAL_EVENT_VAR fixation,117433
!E TRIAL_EVENT_VAR stimulus_on,118442
!E TRIAL_EVENT_VAR stimulus_off,120449
TRIAL_END,120956
TRIALID,120965
!E TRIAL_EVENT_VAR fixation,120967
!E TRIAL_EVENT_VAR stimulus_on,121975
!E TRIAL_EVENT_VAR stimulus_off,123980
TRIAL_END,124488
TRIALID,124501
!E TRIAL_EVENT_VAR fixation,124503
!E TRIAL_EVENT_VAR stimulus_on,125511
!E TRIAL_EVENT_VAR stimulus_off,127515
TRIAL_END,128022
TRIALID,128038
!E TRIAL_EVENT_VAR fixation,128044
!E TRIAL_EVENT_VAR stimulus_on,129056
!E TRIAL_EVENT_VAR stimulus_off,131061
TRIAL_END,131568
TRIALID,131589
!E TRIAL_EVENT_VAR fixation,131590
!E TRIAL_EVENT_VAR stimulus_on,132597
!E TRIAL_EVENT_VAR stimulus_off,134602
TRIAL_END,135110
TRIALID,135127
!E TRIAL_EVENT_VAR fixation,135129
!E TRIAL_EVENT_VAR stimulus_on,136135
!E TRIAL_EVENT_VAR stimulus_off,138141
TRIAL_END,138648
TRIALID,138664
!E TRIAL_EVENT_VAR fixation,138665
!E TRIAL_EVENT_VAR stimulus_on,139672
!E TRIAL_EVENT_VAR stimulus_off,141677
TRIAL_END,142184
TRIALID,142199
!E TRIAL_EVENT_VAR fixation,142201
!E TRIAL_EVENT_VAR stimulus_on,143207
!E TRIAL_EVENT_VAR stimulus_off,145212
TRIAL_END,145719
TRIALID,145735
!E TRIAL_EVENT_VAR fixation,145737
!E TRIAL_EVENT_VAR stimulus_on,146744
!E TRIAL_EVENT_VAR stimulus_off,148750
TRIAL_END,149257
TRIALID,155576
!E TRIAL_EVENT_VAR fixation,155577
!E TRIAL_EVENT_VAR stimulus_on,156587
!E TRIAL_EVENT_VAR stimulus_off,158593
TRIAL_END,159100
TRIALID,159113
!E TRIAL_EVENT_VAR fixation,159115
!E TRIAL_EVENT_VAR stimulus_on,160122
!E TRIAL_EVENT_VAR stimulus_off,162128
TRIAL_END,162635
TRIALID,162651
!E TRIAL_EVENT_VAR fixation,162656
!E TRIAL_EVENT_VAR stimulus_on,163669
!E TRIAL_EVENT_VAR stimulus_off,165673
TRIAL_END,166180
TRIALID,166201
!E TRIAL_EVENT_VAR fixation,166202
!E TRIAL_EVENT_VAR stimulus_on,167209
!E TRIAL_EVENT_VAR stimulus_off,169215
TRIAL_END,169722
TRIALID,169739
!E TRIAL_EVENT_VAR fixation,169740
!E TRIAL_EVENT_VAR stimulus_on,170747
!E TRIAL_EVENT_VAR stimulus_off,172752
TRIAL_END,173259
TRIALID,173274
!E TRIAL_EVENT_VAR fixation,173276
!E TRIAL_EVENT_VAR stimulus_on,174283
!E TRIAL_EVENT_VAR stimulus_off,176289
TRIAL_END,176800
TRIALID,176811
!E TRIAL_EVENT_VAR fixation,176812
!E TRIAL_EVENT_VAR stimulus_on,177821
!E TRIAL_EVENT_VAR stimulus_off,179825
TRIAL_END,180339
TRIALID,180348
!E TRIAL_EVENT_VAR fixation,180349
!E TRIAL_EVENT_VAR stimulus_on,181356
!E TRIAL_EVENT_VAR stimulus_off,183362
TRIAL_END,183869
TRIALID,183883
!E TRIAL_EVENT_VAR fixation,183885
!E TRIAL_EVENT_VAR stimulus_on,184892
!E TRIAL_EVENT_VAR stimulus_off,186898
TRIAL_END,187405
TRIALID,192008
!E TRIAL_EVENT_VAR fixation,192009
!E TRIAL_EVENT_VAR stimulus_on,193019
!E TRIAL_EVENT_VAR stimulus_off,195024
TRIAL_END,195530
TRIALID,195543
!E TRIAL_EVENT_VAR fixation,195545
!E TRIAL_EVENT_VAR stimulus_on,196553
!E TRIAL_EVENT_VAR stimulus_off,198558
TRIAL_END,199065
TRIALID,199079
!E TRIAL_EVENT_VAR fixation,199081
!E TRIAL_EVENT_VAR stimulus_on,200087
!E TRIAL_EVENT_VAR stimulus_off,202093
TRIAL_END,202600
TRIALID,202616
!E TRIAL_EVENT_VAR fixation,202617
!E TRIAL_EVENT_VAR stimulus_on,203625
!E TRIAL_EVENT_VAR stimulus_off,205630
TRIAL_END,206136
TRIALID,206152
!E TRIAL_EVENT_VAR fixation,206153
!E TRIAL_EVENT_VAR stimulus_on,207161
!E TRIAL_EVENT_VAR stimulus_off,209166
TRIAL_END,209673
TRIALID,209688
!E TRIAL_EVENT_VAR fixation,209690
!E TRIAL_EVENT_VAR stimulus_on,210697
!E TRIAL_EVENT_VAR stimulus_off,212702
TRIAL_END,213210
TRIALID,213225
!E TRIAL_EVENT_VAR fixation,213226
!E TRIAL_EVENT_VAR stimulus_on,214234
!E TRIAL_EVENT_VAR stimulus_off,216239
TRIAL_END,216747
TRIALID,216761
!E TRIAL_EVENT_VAR fixation,216762
!E TRIAL_EVENT_VAR stimulus_on,217769
!E TRIAL_EVENT_VAR stimulus_off,219775
TRIAL_END,220282
TRIALID,220296
!E TRIAL_EVENT_VAR fixation,220298
!E TRIAL_EVENT_VAR stimulus_on,221305
!E TRIAL_EVENT_VAR stimulus_off,223309
TRIAL_END,223817
TRIALID,223834
!E TRIAL_EVENT_VAR fixation,223835
!E TRIAL_EVENT_VAR stimulus_on,224842
!E TRIAL_EVENT_VAR stimulus_off,226847
TRIAL_END,227354
TRIALID,227370
!E TRIAL_EVENT_VAR fixation,227371
!E TRIAL_EVENT_VAR stimulus_on,228378
!E TRIAL_EVENT_VAR stimulus_off,230384
TRIAL_END,230890
TRIALID,230906
!E TRIAL_EVENT_VAR fixation,230908
!E TRIAL_EVENT_VAR stimulus_on,231914
!E TRIAL_EVENT_VAR stimulus_off,233921
TRIAL_END,234428
TRIALID,234442
!E TRIAL_EVENT_VAR fixation,234443
!E TRIAL_EVENT_VAR stimulus_on,235451
!E TRIAL_EVENT_VAR stimulus_off,237456
TRIAL_END,237965
TRIALID,237979
!E TRIAL_EVENT_VAR fixation,237980
!E TRIAL_EVENT_VAR stimulus_on,238987
!E TRIAL_EVENT_VAR stimulus_off,240992
TRIAL_END,241499
TRIALID,241515
!E TRIAL_EVENT_VAR fixation,241516
!E TRIAL_EVENT_VAR stimulus_on,242523
!E TRIAL_EVENT_VAR stimulus_off,244528
TRIAL_END,245035
TRIALID,245050
!E TRIAL_EVENT_VAR fixation,245052
!E TRIAL_EVENT_VAR stimulus_on,246060
!E TRIAL_EVENT_VAR stimulus_off,248066
TRIAL_END,248572
TRIALID,248587
!E TRIAL_EVENT_VAR fixation,248589
!E TRIAL_EVENT_VAR stimulus_on,249596
!E TRIAL_EVENT_VAR stimulus_off,251601
TRIAL_END,252107
TRIALID,252123
!E TRIAL_EVENT_VAR fixation,252125
!E TRIAL_EVENT_VAR stimulus_on,253132
!E TRIAL_EVENT_VAR stimulus_off,255137
TRIAL_END,255645
TRIALID,255659
!E TRIAL_EVENT_VAR fixation,255661
!E TRIAL_EVENT_VAR stimulus_on,256668
!E TRIAL_EVENT_VAR stimulus_off,258672
TRIAL_END,259180
TRIALID,259196
!E TRIAL_EVENT_VAR fixation,259198
