Event,RecordingTimestamp
TRIALID,120253
!E TRIAL_EVENT_VAR fixation,120254
!E TRIAL_EVENT_VAR stimulus_on,121265
!E TRIAL_EVENT_VAR stimulus_off,123271
TRIAL_END,123777
TRIALID,123794
!E TRIAL_EVENT_VAR fixation,123795
!E TRIAL_EVENT_VAR stimulus_on,124803
!E TRIAL_EVENT_VAR stimulus_off,126808
TRIAL_END,127315
TRIALID,127332
!E TRIAL_EVENT_VAR fixation,127334
!E TRIAL_EVENT_VAR stimulus_on,128341
!E TRIAL_EVENT_VAR stimulus_off,130346
TRIAL_END,130853
TRIALID,130868
!E TRIAL_EVENT_VAR fixation,130870
!E TRIAL_EVENT_VAR stimulus_on,131878
!E TRIAL_EVENT_VAR stimulus_off,133883
TRIAL_END,134390
TRIALID,134405
!E TRIAL_EVENT_VAR fixation,134407
!E TRIAL_EVENT_VAR stimulus_on,135414
!E TRIAL_EVENT_VAR stimulus_off,137419
TRIAL_END,137925
TRIALID,137941
!E TRIAL_EVENT_VAR fixation,137942
!E TRIAL_EVENT_VAR stimulus_on,138950
!E TRIAL_EVENT_VAR stimulus_off,140956
TRIAL_END,141463
TRIALID,141477
!E TRIAL_EVENT_VAR fixation,141479
!E TRIAL_EVENT_VAR stimulus_on,142485
!E TRIAL_EVENT_VAR stimulus_off,144490
TRIAL_END,144998
TRIALID,145013
!E TRIAL_EVENT_VAR fixation,145015
!E TRIAL_EVENT_VAR stimulus_on,146022
!E TRIAL_EVENT_VAR stimulus_off,148028
TRIAL_END,148535
TRIALID,148549
!E TRIAL_EVENT_VAR fixation,148551
!E TRIAL_EVENT_VAR stimulus_on,149558
!E TRIAL_EVENT_VAR stimulus_off,151564
TRIAL_END,152070
TRIALID,155396
!E TRIAL_EVENT_VAR fixation,155397
!E TRIAL_EVENT_VAR stimulus_on,156408
!E TRIAL_EVENT_VAR stimulus_off,158413
TRIAL_END,158921
TRIALID,158939
!E TRIAL_EVENT_VAR fixation,158941
!E TRIAL_EVENT_VAR stimulus_on,159947
!E TRIAL_EVENT_VAR stimulus_off,161953
TRIAL_END,162460
TRIALID,162476
!E TRIAL_EVENT_VAR fixation,162477
!E TRIAL_EVENT_VAR stimulus_on,163485
!E TRIAL_EVENT_VAR stimulus_off,165491
TRIAL_END,165997
TRIALID,166014
!E TRIAL_EVENT_VAR fixation,166016
!E TRIAL_EVENT_VAR stimulus_on,167022
!E TRIAL_EVENT_VAR stimulus_off,169028
TRIAL_END,169536
TRIALID,169550
!E TRIAL_EVENT_VAR fixation,169552
!E TRIAL_EVENT_VAR stimulus_on,170559
!E TRIAL_EVENT_VAR stimulus_off,172563
TRIAL_END,173071
TRIALID,173087
!E TRIAL_EVENT_VAR fixation,173087
!E TRIAL_EVENT_VAR stimulus_on,174096
!E TRIAL_EVENT_VAR stimulus_off,176101
TRIAL_END,176608
TRIALID,176623
!E TRIAL_EVENT_VAR fixation,176624
!E TRIAL_EVENT_VAR stimulus_on,177632
!E TRIAL_EVENT_VAR stimulus_off,179638
TRIAL_END,180144
TRIALID,180159
!E TRIAL_EVENT_VAR fixation,180160
!E TRIAL_EVENT_VAR stimulus_on,181168
!E TRIAL_EVENT_VAR stimulus_off,183173
TRIAL_END,183680
TRIALID,183694
!E TRIAL_EVENT_VAR fixation,183697
!E TRIAL_EVENT_VAR stimulus_on,184703
!E TRIAL_EVENT_VAR stimulus_off,186708
TRIAL_END,187215
TRIALID,187231
!E TRIAL_EVENT_VAR fixation,187232
!E TRIAL_EVENT_VAR stimulus_on,188240
!E TRIAL_EVENT_VAR stimulus_off,190246
TRIAL_END,190753
TRIALID,190768
!E TRIAL_EVENT_VAR fixation,190769
!E TRIAL_EVENT_VAR stimulus_on,191777
!E TRIAL_EVENT_VAR stimulus_off,193782
TRIAL_END,194290
TRIALID,194303
!E TRIAL_EVENT_VAR fixation,194305
!E TRIAL_EVENT_VAR stimulus_on,195312
!E TRIAL_EVENT_VAR stimulus_off,197316
TRIAL_END,197824
TRIALID,197840
!E TRIAL_EVENT_VAR fixation,197842
!E TRIAL_EVENT_VAR stimulus_on,198849
!E TRIAL_EVENT_VAR stimulus_off,200855
TRIAL_END,201361
TRIALID,201376
!E TRIAL_EVENT_VAR fixation,201377
!E TRIAL_EVENT_VAR stimulus_on,202386
!E TRIAL_EVENT_VAR stimulus_off,204392
TRIAL_END,204898
TRIALID,204912
!E TRIAL_EVENT_VAR fixation,204914
!E TRIAL_EVENT_VAR stimulus_on,205922
!E TRIAL_EVENT_VAR stimulus_off,207927
TRIAL_END,208435
TRIALID,208449
!E TRIAL_EVENT_VAR fixation,208451
!E TRIAL_EVENT_VAR stimulus_on,209457
!E TRIAL_EVENT_VAR stimulus_off,211463
TRIAL_END,211970
TRIALID,211986
!E TRIAL_EVENT_VAR fixation,211990
!E TRIAL_EVENT_VAR stimulus_on,212998
!E TRIAL_EVENT_VAR stimulus_off,215003
TRIAL_END,215511
