block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,red,Y,,,,0
b_0,blue,X,,,,1
b_0,blue,Y,,,,2
b_0,blue,Y,,,,3
b_0,blue,X,,,,4
b_0,blue,X,,,,5
b_0,red,Y,,,,6
b_0,blue,Y,,,,7
b_0,blue,Y,,,,8
b_0,red,Y,,,,9
b_0,red,Y,,,,10
b_0,blue,Y,,,,11
b_0,blue,X,,,,12
b_0,red,X,,,,13
b_0,red,X,,,,14
b_0,red,X,,,,15
b_0,blue,Y,,,,16
b_0,red,X,,,,17
b_0,red,Y,,,,18
b_0,blue,X,,,,19
b_0,red,X,,,,20
b_0,red,Y,,,,21
b_0,blue,X,,,,22
b_0,blue,X,,,,23
b_0,blue,Y,,,,24
b_0,red,X,,,,25
b_0,blue,X,,,,26
b_0,blue,Y,,,,27
b_1,red,X,,,,0
b_1,blue,X,,,,1
b_1,red,X,,,,2
b_1,blue,Y,,,,3
b_1,blue,X,,,,4
b_1,red,X,,,,5
b_1,blue,Y,,,,6
b_1,red,Y,,,,7
b_1,blue,Y,,,,8
b_1,red,Y,,,,9
b_1,blue,Y,,,,10
b_0,blue,Y,no_color_change,no_figure_change,update,0
b_0,red,Y,color_change,no_figure_change,no_update,1
b_0,red,X,no_color_change,figure_change,no_update,2
b_1,blue,Y,no_color_change,no_figure_change,update,0
b_1,blue,X,no_color_change,figure_change,update,1
b_1,blue,Y,no_color_change,figure_change,update,2
b_1,red,Y,color_change,no_figure_change,no_update,3
b_1,blue,Y,color_change,no_figure_change,update,4
