block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id,is_correct
b_0,blue,Y,no_color_change,no_figure_change,update,0,correct
b_1,blue,Y,no_color_change,no_figure_change,update,0,incorrect
b_1,blue,Y,no_color_change,no_figure_change,update,1,incorrect
b_1,red,X,color_change,figure_change,no_update,2,incorrect
b_1,blue,X,color_change,no_figure_change,update,3,incorrect
b_1,red,X,color_change,no_figure_change,no_update,4,incorrect
b_1,red,Y,no_color_change,figure_change,no_update,5,incorrect
b_1,blue,Y,color_change,no_figure_change,update,6,incorrect
b_1,red,Y,color_change,no_figure_change,no_update,7,incorrect
b_1,blue,Y,color_change,no_figure_change,update,8,incorrect
b_1,blue,X,no_color_change,figure_change,update,9,incorrect
b_1,blue,X,no_color_change,no_figure_change,update,10,incorrect
b_1,blue,Y,no_color_change,figure_change,update,11,incorrect
b_1,red,Y,color_change,no_figure_change,no_update,12,incorrect
b_1,blue,Y,color_change,no_figure_change,update,13,incorrect
b_1,red,Y,color_change,no_figure_change,no_update,14,incorrect
b_1,blue,Y,color_change,no_figure_change,update,15,incorrect
b_1,red,Y,color_change,no_figure_change,no_update,16,incorrect
b_1,blue,Y,color_change,no_figure_change,update,17,incorrect
b_1,blue,X,no_color_change,figure_change,update,18,incorrect
b_1,red,Y,color_change,figure_change,no_update,19,incorrect
b_1,red,Y,no_color_change,no_figure_change,no_update,20,incorrect
b_1,red,X,no_color_change,figure_change,no_update,21,incorrect
b_1,blue,Y,color_change,figure_change,update,22,incorrect
b_1,blue,Y,no_color_change,no_figure_change,update,23,incorrect
b_1,blue,X,no_color_change,figure_change,update,24,incorrect
b_1,blue,X,no_color_change,no_figure_change,update,25,incorrect
b_1,red,Y,color_change,figure_change,no_update,26,incorrect
b_1,red,X,no_color_change,figure_change,no_update,27,incorrect
b_1,blue,Y,color_change,figure_change,update,28,incorrect
b_1,red,Y,color_change,no_figure_change,no_update,29,incorrect
