Event,RecordingTimestamp
TRIALID,98372
!E TRIAL_EVENT_VAR fixation,98374
!E TRIAL_EVENT_VAR stimulus_on,99384
!E TRIAL_EVENT_VAR stimulus_off,101388
TRIAL_END,101895
TRIALID,101916
!E TRIAL_EVENT_VAR fixation,101917
!E TRIAL_EVENT_VAR stimulus_on,102924
!E TRIAL_EVENT_VAR stimulus_off,104930
TRIAL_END,105438
TRIALID,105455
!E TRIAL_EVENT_VAR fixation,105461
!E TRIAL_EVENT_VAR stimulus_on,106471
!E TRIAL_EVENT_VAR stimulus_off,108476
TRIAL_END,108984
TRIALID,108991
!E TRIAL_EVENT_VAR fixation,108993
!E TRIAL_EVENT_VAR stimulus_on,110000
!E TRIAL_EVENT_VAR stimulus_off,112006
TRIAL_END,112513
TRIALID,112527
!E TRIAL_EVENT_VAR fixation,112527
!E TRIAL_EVENT_VAR stimulus_on,113535
!E TRIAL_EVENT_VAR stimulus_off,115539
TRIAL_END,116047
TRIALID,119069
!E TRIAL_EVENT_VAR fixation,119070
!E TRIAL_EVENT_VAR stimulus_on,120080
!E TRIAL_EVENT_VAR stimulus_off,122086
TRIAL_END,122593
TRIALID,122601
!E TRIAL_EVENT_VAR fixation,122603
!E TRIAL_EVENT_VAR stimulus_on,123610
!E TRIAL_EVENT_VAR stimulus_off,125615
TRIAL_END,126122
TRIALID,126137
!E TRIAL_EVENT_VAR fixation,126139
!E TRIAL_EVENT_VAR stimulus_on,127147
!E TRIAL_EVENT_VAR stimulus_off,129152
TRIAL_END,129659
TRIALID,129673
!E TRIAL_EVENT_VAR fixation,129675
!E TRIAL_EVENT_VAR stimulus_on,130682
!E TRIAL_EVENT_VAR stimulus_off,132687
TRIAL_END,133194
TRIALID,133210
!E TRIAL_EVENT_VAR fixation,133212
!E TRIAL_EVENT_VAR stimulus_on,134220
!E TRIAL_EVENT_VAR stimulus_off,136225
TRIAL_END,136731
TRIALID,136746
!E TRIAL_EVENT_VAR fixation,136747
!E TRIAL_EVENT_VAR stimulus_on,137755
!E TRIAL_EVENT_VAR stimulus_off,139761
TRIAL_END,140268
TRIALID,143180
!E TRIAL_EVENT_VAR fixation,143182
!E TRIAL_EVENT_VAR stimulus_on,144191
!E TRIAL_EVENT_VAR stimulus_off,146198
TRIAL_END,146704
TRIALID,146721
!E TRIAL_EVENT_VAR fixation,146722
!E TRIAL_EVENT_VAR stimulus_on,147731
!E TRIAL_EVENT_VAR stimulus_off,149737
TRIAL_END,150245
TRIALID,150258
!E TRIAL_EVENT_VAR fixation,150259
!E TRIAL_EVENT_VAR stimulus_on,151266
!E TRIAL_EVENT_VAR stimulus_off,153272
TRIAL_END,153778
TRIALID,153794
!E TRIAL_EVENT_VAR fixation,153795
!E TRIAL_EVENT_VAR stimulus_on,154803
!E TRIAL_EVENT_VAR stimulus_off,156809
TRIAL_END,157317
TRIALID,157330
!E TRIAL_EVENT_VAR fixation,157332
!E TRIAL_EVENT_VAR stimulus_on,158338
!E TRIAL_EVENT_VAR stimulus_off,160343
TRIAL_END,160850
TRIALID,164684
!E TRIAL_EVENT_VAR fixation,164686
!E TRIAL_EVENT_VAR stimulus_on,165696
!E TRIAL_EVENT_VAR stimulus_off,167700
TRIAL_END,168207
TRIALID,168222
!E TRIAL_EVENT_VAR fixation,168224
!E TRIAL_EVENT_VAR stimulus_on,169231
!E TRIAL_EVENT_VAR stimulus_off,171236
TRIAL_END,171743
TRIALID,171758
!E TRIAL_EVENT_VAR fixation,171759
!E TRIAL_EVENT_VAR stimulus_on,172768
!E TRIAL_EVENT_VAR stimulus_off,174773
TRIAL_END,175280
TRIALID,175295
!E TRIAL_EVENT_VAR fixation,175296
!E TRIAL_EVENT_VAR stimulus_on,176304
!E TRIAL_EVENT_VAR stimulus_off,178310
TRIAL_END,178817
