Event,RecordingTimestamp
TRIALID,52319
!E TRIAL_EVENT_VAR fixation,52321
!E TRIAL_EVENT_VAR stimulus_on,53332
!E TRIAL_EVENT_VAR stimulus_off,55337
TRIAL_END,55844
TRIALID,55851
!E TRIAL_EVENT_VAR fixation,55853
!E TRIAL_EVENT_VAR stimulus_on,56862
!E TRIAL_EVENT_VAR stimulus_off,58867
TRIAL_END,59374
TRIALID,59387
!E TRIAL_EVENT_VAR fixation,59389
!E TRIAL_EVENT_VAR stimulus_on,60396
!E TRIAL_EVENT_VAR stimulus_off,62401
TRIAL_END,62908
TRIALID,62923
!E TRIAL_EVENT_VAR fixation,62925
!E TRIAL_EVENT_VAR stimulus_on,63933
!E TRIAL_EVENT_VAR stimulus_off,65940
TRIAL_END,66447
TRIALID,66460
!E TRIAL_EVENT_VAR fixation,66462
!E TRIAL_EVENT_VAR stimulus_on,67468
!E TRIAL_EVENT_VAR stimulus_off,69474
TRIAL_END,69981
TRIALID,69996
!E TRIAL_EVENT_VAR fixation,69997
!E TRIAL_EVENT_VAR stimulus_on,71004
!E TRIAL_EVENT_VAR stimulus_off,73010
TRIAL_END,73517
TRIALID,73532
!E TRIAL_EVENT_VAR fixation,73534
!E TRIAL_EVENT_VAR stimulus_on,74541
!E TRIAL_EVENT_VAR stimulus_off,76547
TRIAL_END,77053
TRIALID,77068
!E TRIAL_EVENT_VAR fixation,77070
!E TRIAL_EVENT_VAR stimulus_on,78077
!E TRIAL_EVENT_VAR stimulus_off,80084
TRIAL_END,80590
TRIALID,80605
!E TRIAL_EVENT_VAR fixation,80606
!E TRIAL_EVENT_VAR stimulus_on,81615
!E TRIAL_EVENT_VAR stimulus_off,83619
TRIAL_END,84126
TRIALID,84141
!E TRIAL_EVENT_VAR fixation,84143
!E TRIAL_EVENT_VAR stimulus_on,85150
!E TRIAL_EVENT_VAR stimulus_off,87156
TRIAL_END,87662
TRIALID,87678
!E TRIAL_EVENT_VAR fixation,87679
!E TRIAL_EVENT_VAR stimulus_on,88687
!E TRIAL_EVENT_VAR stimulus_off,90692
TRIAL_END,91200
TRIALID,91213
!E TRIAL_EVENT_VAR fixation,91215
