Event,RecordingTimestamp
TRIALID,34134
!E TRIAL_EVENT_VAR fixation,34136
!E TRIAL_EVENT_VAR stimulus_on,35145
!E TRIAL_EVENT_VAR stimulus_off,37151
TRIAL_END,37658
TRIALID,37666
!E TRIAL_EVENT_VAR fixation,37668
!E TRIAL_EVENT_VAR stimulus_on,38676
!E TRIAL_EVENT_VAR stimulus_off,40682
TRIAL_END,41188
TRIALID,41204
!E TRIAL_EVENT_VAR fixation,41204
!E TRIAL_EVENT_VAR stimulus_on,42212
!E TRIAL_EVENT_VAR stimulus_off,44217
TRIAL_END,44725
TRIALID,44740
!E TRIAL_EVENT_VAR fixation,44742
!E TRIAL_EVENT_VAR stimulus_on,45748
!E TRIAL_EVENT_VAR stimulus_off,47754
TRIAL_END,48262
TRIALID,48277
!E TRIAL_EVENT_VAR fixation,48281
!E TRIAL_EVENT_VAR stimulus_on,49290
!E TRIAL_EVENT_VAR stimulus_off,51294
TRIAL_END,51802
TRIALID,51814
!E TRIAL_EVENT_VAR fixation,51818
!E TRIAL_EVENT_VAR stimulus_on,52826
!E TRIAL_EVENT_VAR stimulus_off,54832
TRIAL_END,55339
TRIALID,55349
!E TRIAL_EVENT_VAR fixation,55351
!E TRIAL_EVENT_VAR stimulus_on,56358
!E TRIAL_EVENT_VAR stimulus_off,58362
TRIAL_END,58870
TRIALID,58887
!E TRIAL_EVENT_VAR fixation,58890
!E TRIAL_EVENT_VAR stimulus_on,59899
!E TRIAL_EVENT_VAR stimulus_off,61905
TRIAL_END,62412
TRIALID,62423
!E TRIAL_EVENT_VAR fixation,62424
!E TRIAL_EVENT_VAR stimulus_on,63432
!E TRIAL_EVENT_VAR stimulus_off,65437
TRIAL_END,65944
TRIALID,65959
!E TRIAL_EVENT_VAR fixation,65961
!E TRIAL_EVENT_VAR stimulus_on,66968
!E TRIAL_EVENT_VAR stimulus_off,68974
TRIAL_END,69481
TRIALID,69496
!E TRIAL_EVENT_VAR fixation,69497
!E TRIAL_EVENT_VAR stimulus_on,70505
!E TRIAL_EVENT_VAR stimulus_off,72511
TRIAL_END,73017
TRIALID,73032
!E TRIAL_EVENT_VAR fixation,73034
!E TRIAL_EVENT_VAR stimulus_on,74041
!E TRIAL_EVENT_VAR stimulus_off,76047
TRIAL_END,76553
TRIALID,76570
!E TRIAL_EVENT_VAR fixation,76575
!E TRIAL_EVENT_VAR stimulus_on,77585
!E TRIAL_EVENT_VAR stimulus_off,79591
TRIAL_END,80098
TRIALID,80105
!E TRIAL_EVENT_VAR fixation,80107
!E TRIAL_EVENT_VAR stimulus_on,81115
!E TRIAL_EVENT_VAR stimulus_off,83119
TRIAL_END,83627
TRIALID,83642
!E TRIAL_EVENT_VAR fixation,83644
!E TRIAL_EVENT_VAR stimulus_on,84651
!E TRIAL_EVENT_VAR stimulus_off,86656
TRIAL_END,87163
TRIALID,89091
!E TRIAL_EVENT_VAR fixation,89093
!E TRIAL_EVENT_VAR stimulus_on,90103
!E TRIAL_EVENT_VAR stimulus_off,92108
TRIAL_END,92616
TRIALID,92632
!E TRIAL_EVENT_VAR fixation,92634
!E TRIAL_EVENT_VAR stimulus_on,93641
!E TRIAL_EVENT_VAR stimulus_off,95647
TRIAL_END,96153
TRIALID,96171
!E TRIAL_EVENT_VAR fixation,96176
!E TRIAL_EVENT_VAR stimulus_on,97185
!E TRIAL_EVENT_VAR stimulus_off,99191
TRIAL_END,99699
TRIALID,99708
!E TRIAL_EVENT_VAR fixation,99713
!E TRIAL_EVENT_VAR stimulus_on,100722
!E TRIAL_EVENT_VAR stimulus_off,102729
TRIAL_END,103236
TRIALID,103244
!E TRIAL_EVENT_VAR fixation,103246
!E TRIAL_EVENT_VAR stimulus_on,104254
!E TRIAL_EVENT_VAR stimulus_off,106259
TRIAL_END,106766
TRIALID,106780
!E TRIAL_EVENT_VAR fixation,106781
!E TRIAL_EVENT_VAR stimulus_on,107789
!E TRIAL_EVENT_VAR stimulus_off,109794
TRIAL_END,110302
TRIALID,110317
!E TRIAL_EVENT_VAR fixation,110318
!E TRIAL_EVENT_VAR stimulus_on,111327
!E TRIAL_EVENT_VAR stimulus_off,113331
TRIAL_END,113838
TRIALID,113853
!E TRIAL_EVENT_VAR fixation,113855
!E TRIAL_EVENT_VAR stimulus_on,114862
!E TRIAL_EVENT_VAR stimulus_off,116868
TRIAL_END,117375
TRIALID,117390
!E TRIAL_EVENT_VAR fixation,117392
!E TRIAL_EVENT_VAR stimulus_on,118399
!E TRIAL_EVENT_VAR stimulus_off,120405
TRIAL_END,120911
TRIALID,120926
!E TRIAL_EVENT_VAR fixation,120928
!E TRIAL_EVENT_VAR stimulus_on,121936
!E TRIAL_EVENT_VAR stimulus_off,123942
TRIAL_END,124450
TRIALID,124463
!E TRIAL_EVENT_VAR fixation,124465
!E TRIAL_EVENT_VAR stimulus_on,125473
!E TRIAL_EVENT_VAR stimulus_off,127477
TRIAL_END,127984
TRIALID,132031
!E TRIAL_EVENT_VAR fixation,132033
!E TRIAL_EVENT_VAR stimulus_on,133043
!E TRIAL_EVENT_VAR stimulus_off,135047
TRIAL_END,135556
TRIALID,135572
!E TRIAL_EVENT_VAR fixation,135573
!E TRIAL_EVENT_VAR stimulus_on,136581
!E TRIAL_EVENT_VAR stimulus_off,138586
TRIAL_END,139093
TRIALID,139111
!E TRIAL_EVENT_VAR fixation,139111
!E TRIAL_EVENT_VAR stimulus_on,140120
!E TRIAL_EVENT_VAR stimulus_off,142125
TRIAL_END,142632
TRIALID,142646
!E TRIAL_EVENT_VAR fixation,142648
!E TRIAL_EVENT_VAR stimulus_on,143655
!E TRIAL_EVENT_VAR stimulus_off,145660
TRIAL_END,146168
TRIALID,146183
!E TRIAL_EVENT_VAR fixation,146184
!E TRIAL_EVENT_VAR stimulus_on,147193
!E TRIAL_EVENT_VAR stimulus_off,149197
TRIAL_END,149705
TRIALID,149720
!E TRIAL_EVENT_VAR fixation,149722
!E TRIAL_EVENT_VAR stimulus_on,150728
!E TRIAL_EVENT_VAR stimulus_off,152734
TRIAL_END,153242
TRIALID,153256
!E TRIAL_EVENT_VAR fixation,153258
!E TRIAL_EVENT_VAR stimulus_on,154264
!E TRIAL_EVENT_VAR stimulus_off,156271
TRIAL_END,156777
TRIALID,156793
!E TRIAL_EVENT_VAR fixation,156795
!E TRIAL_EVENT_VAR stimulus_on,157801
!E TRIAL_EVENT_VAR stimulus_off,159807
TRIAL_END,160314
TRIALID,160329
!E TRIAL_EVENT_VAR fixation,160331
!E TRIAL_EVENT_VAR stimulus_on,161338
!E TRIAL_EVENT_VAR stimulus_off,163343
TRIAL_END,163851
TRIALID,163866
!E TRIAL_EVENT_VAR fixation,163868
!E TRIAL_EVENT_VAR stimulus_on,164875
!E TRIAL_EVENT_VAR stimulus_off,166880
TRIAL_END,167387
TRIALID,167402
!E TRIAL_EVENT_VAR fixation,167404
!E TRIAL_EVENT_VAR stimulus_on,168413
!E TRIAL_EVENT_VAR stimulus_off,170418
TRIAL_END,170926
TRIALID,170939
!E TRIAL_EVENT_VAR fixation,170941
!E TRIAL_EVENT_VAR stimulus_on,171948
!E TRIAL_EVENT_VAR stimulus_off,173953
TRIAL_END,174461
TRIALID,174476
!E TRIAL_EVENT_VAR fixation,174478
!E TRIAL_EVENT_VAR stimulus_on,175484
!E TRIAL_EVENT_VAR stimulus_off,177490
TRIAL_END,177996
TRIALID,178013
!E TRIAL_EVENT_VAR fixation,178017
!E TRIAL_EVENT_VAR stimulus_on,179026
!E TRIAL_EVENT_VAR stimulus_off,181032
TRIAL_END,181539
TRIALID,181549
!E TRIAL_EVENT_VAR fixation,181550
!E TRIAL_EVENT_VAR stimulus_on,182557
!E TRIAL_EVENT_VAR stimulus_off,184563
TRIAL_END,185071
TRIALID,187308
!E TRIAL_EVENT_VAR fixation,187310
!E TRIAL_EVENT_VAR stimulus_on,188320
!E TRIAL_EVENT_VAR stimulus_off,190325
TRIAL_END,190833
TRIALID,190841
!E TRIAL_EVENT_VAR fixation,190842
!E TRIAL_EVENT_VAR stimulus_on,191850
!E TRIAL_EVENT_VAR stimulus_off,193854
TRIAL_END,194362
TRIALID,194378
!E TRIAL_EVENT_VAR fixation,194383
!E TRIAL_EVENT_VAR stimulus_on,195392
!E TRIAL_EVENT_VAR stimulus_off,197398
TRIAL_END,197906
TRIALID,197914
!E TRIAL_EVENT_VAR fixation,197916
!E TRIAL_EVENT_VAR stimulus_on,198922
!E TRIAL_EVENT_VAR stimulus_off,200927
TRIAL_END,201434
TRIALID,201450
!E TRIAL_EVENT_VAR fixation,201452
!E TRIAL_EVENT_VAR stimulus_on,202460
!E TRIAL_EVENT_VAR stimulus_off,204465
TRIAL_END,204972
TRIALID,204987
!E TRIAL_EVENT_VAR fixation,204989
!E TRIAL_EVENT_VAR stimulus_on,205996
!E TRIAL_EVENT_VAR stimulus_off,208001
TRIAL_END,208509
TRIALID,208524
!E TRIAL_EVENT_VAR fixation,208530
!E TRIAL_EVENT_VAR stimulus_on,209540
!E TRIAL_EVENT_VAR stimulus_off,211547
TRIAL_END,212053
TRIALID,212061
!E TRIAL_EVENT_VAR fixation,212066
!E TRIAL_EVENT_VAR stimulus_on,213076
