,bin,time(ms),no update,update,
run_blue_07_04_15_33,1,0,2.9188,2.9574,
run_blue_07_04_15_33,2,25,2.9445,2.9744,
run_blue_07_04_15_33,3,51,2.9094,2.9604,
run_blue_07_04_15_33,4,76,2.9988,3.0418,
run_blue_07_04_15_33,5,101,2.975,2.9504,
run_blue_07_04_15_33,6,127,2.9698,2.995,
run_blue_07_04_15_33,7,152,2.9604,2.9499,
run_blue_07_04_15_33,8,177,2.9383,2.9718,
run_blue_07_04_15_33,9,203,2.9837,2.9932,
run_blue_07_04_15_33,10,228,3.0257,3.0384,
run_blue_07_04_15_33,11,253,3.0243,3.0084,
run_blue_07_04_15_33,12,279,2.9758,2.9451,
run_blue_07_04_15_33,13,304,3.0128,2.9695,
run_blue_07_04_15_33,14,329,2.9713,2.9629,
run_blue_07_04_15_33,15,355,2.9762,3.0059,
run_blue_07_04_15_33,16,380,3.0515,3.0402,
run_blue_07_04_15_33,17,405,2.9471,2.9757,
run_blue_07_04_15_33,18,431,2.9346,2.9742,
run_blue_07_04_15_33,19,456,2.9799,2.9261,
run_blue_07_04_15_33,20,481,3.0293,2.9223,
run_blue_07_04_15_33,21,507,2.9643,2.9945,
run_blue_07_04_15_33,22,532,2.95,3.035,
run_blue_07_04_15_33,23,557,3.0134,2.9817,
run_blue_07_04_15_33,24,583,2.9606,2.9426,
run_blue_07_04_15_33,25,608,2.9137,2.9363,
run_blue_07_04_15_33,26,633,2.9257,2.934,
run_blue_07_04_15_33,27,659,2.9544,2.9779,
run_blue_07_04_15_33,28,684,3.0053,2.9919,
run_blue_07_04_15_33,29,709,2.9902,2.9488,
run_blue_07_04_15_33,30,735,3.008,3.0065,
run_blue_07_04_15_33,31,760,2.9998,3.0174,
run_blue_07_04_15_33,32,785,3.0457,2.9203,
run_blue_07_04_15_33,33,811,2.9906,2.8951,
run_blue_07_04_15_33,34,836,3.04,3.0118,
run_blue_07_04_15_33,35,861,3.0154,3.0272,
run_blue_07_04_15_33,36,887,2.9899,2.9468,
run_blue_07_04_15_33,37,912,2.9593,2.9755,
run_blue_07_04_15_33,38,937,2.9202,2.8565,
run_blue_07_04_15_33,39,963,2.9637,2.9094,
run_blue_07_04_15_33,40,988,2.976,2.9723,
run_blue_07_04_15_33,41,1013,3.0128,2.9882,
run_blue_07_04_15_33,42,1038,2.9885,2.9056,
run_blue_07_04_15_33,43,1064,3.0077,2.9089,
run_blue_07_04_15_33,44,1089,2.9669,2.8684,
run_blue_07_04_15_33,45,1114,2.9507,2.8769,
run_blue_07_04_15_33,46,1140,2.9635,2.89,
run_blue_07_04_15_33,47,1165,2.9571,2.9722,
run_blue_07_04_15_33,48,1190,2.9816,2.9345,
run_blue_07_04_15_33,49,1216,2.959,2.9677,
run_blue_07_04_15_33,50,1241,2.9954,2.955,
run_blue_07_04_15_33,51,1266,2.9448,2.9252,
run_blue_07_04_15_33,52,1292,3.0266,2.9666,
run_blue_07_04_15_33,53,1317,2.988,2.9035,
run_blue_07_04_15_33,54,1342,2.9635,2.8867,
run_blue_07_04_15_33,55,1368,3.0001,2.9858,
run_blue_07_04_15_33,56,1393,2.9466,2.9338,
run_blue_07_04_15_33,57,1418,3.0216,2.9483,
run_blue_07_04_15_33,58,1444,2.9813,2.9657,
run_blue_07_04_15_33,59,1469,3.0301,2.9647,
run_blue_07_04_15_33,60,1494,2.992,2.9463,
run_blue_07_04_15_33,61,1520,2.9372,2.9691,
run_blue_07_04_15_33,62,1545,2.9708,3.0038,
run_blue_07_04_15_33,63,1570,2.9492,2.9225,
run_blue_07_04_15_33,64,1596,3.0398,2.9663,
run_blue_07_04_15_33,65,1621,3.0015,2.963,
run_blue_07_04_15_33,66,1646,3.0207,2.9224,
run_blue_07_04_15_33,67,1672,3.0024,2.9482,
run_blue_07_04_15_33,68,1697,2.9768,2.9092,
run_blue_07_04_15_33,69,1722,3.0207,2.9987,
