participant_id,trial_id,block,border_color,figure,is_color_change,is_figure_change,is_update,event_fixation,event_stimulus_on,event_stimulus_off,event_Trial_Offset,event_Trial_Onset,trial_mean,trial_max,trial_max_latency,trial_min,trial_min_latency,first_bin,last_bin,valid_blinks,blinks_mean
run_blue_07_04_15_33,1,b_0,blue,Y,no_color_change,no_figure_change,update,11,1021,0,2025,0,2.97051595712637,3.20947265625,1725,2.75702667236328,1625,3.01417541503906,3.00888061523438,0,NaN
run_blue_07_04_15_33,2,b_0,blue,Y,no_color_change,no_figure_change,update,15,1024,2,1900,0,2.97017388594778,3.16599273681641,550,2.81278991699219,725,3.10342407226562,2.94509124755859,0,NaN
run_blue_07_04_15_33,3,b_0,red,Y,color_change,no_figure_change,no_update,22,1028,2,2025,0,2.98883180494432,3.18254089355469,800,2.77902221679688,825,2.98468017578125,3.12094116210938,0,NaN
run_blue_07_04_15_33,4,b_0,blue,X,color_change,figure_change,update,8,1017,2021,2000,0,2.96958160400391,3.12620544433594,1500,2.83277893066406,425,2.89683532714844,2.95633697509766,1,125
run_blue_07_04_15_33,5,b_1,blue,X,no_color_change,no_figure_change,update,17,1025,0,1850,0,2.97726131129909,3.24772644042969,750,2.75962829589844,1675,2.98464965820312,3.06908416748047,0,NaN
run_blue_07_04_15_33,6,b_1,red,X,color_change,no_figure_change,no_update,21,1027,2,1900,0,2.9858720457399,3.25743865966797,150,2.73298645019531,25,2.73298645019531,3.11626434326172,0,NaN
run_blue_07_04_15_33,7,b_1,blue,X,color_change,no_figure_change,update,6,1012,-17,2000,0,2.95345326213094,3.25533294677734,525,2.72046661376953,1575,3.03240203857422,3.11207580566406,0,NaN
run_blue_07_04_15_33,8,b_1,red,Y,color_change,figure_change,no_update,17,1025,-8,2025,0,2.94973784607726,3.05274200439453,1625,2.83652496337891,775,2.84381866455078,2.97279357910156,1,200
run_blue_07_04_15_33,9,b_1,red,X,no_color_change,figure_change,no_update,2,1010,-19,1900,0,2.968639819653,3.22650146484375,1600,2.78121948242188,250,2.92041015625,2.96770477294922,0,NaN
run_blue_07_04_15_33,10,b_1,red,Y,no_color_change,figure_change,no_update,12,1019,-12,1850,0,2.95524810791016,3.23700714111328,575,2.70469665527344,75,2.95211029052734,2.98239135742188,0,NaN
run_blue_07_04_15_33,11,b_1,red,X,no_color_change,figure_change,no_update,18,1025,-6,2025,0,2.95207085547509,3.35752105712891,500,2.69181823730469,450,2.96334838867188,3.08757019042969,1,150
run_blue_07_04_15_33,12,b_1,blue,Y,color_change,figure_change,update,7,1015,-16,2000,0,2.93655038808847,3.19065093994141,600,2.71273803710938,25,2.71273803710938,3.03825378417969,0,NaN
run_blue_07_04_15_33,13,b_1,red,Y,color_change,no_figure_change,no_update,17,1024,2029,2025,0,3.07042545467228,3.19254302978516,1925,2.91577911376953,1000,3.03425598144531,3.19254302978516,1,125
run_red_07_04_15_32,1,b_0,red,X,no_color_change,no_figure_change,update,12,1022,0,1850,0,3.02605283582533,3.28908538818359,175,2.7806396484375,1000,3.00711059570312,2.93437194824219,0,NaN
run_red_07_04_15_32,2,b_0,blue,Y,color_change,figure_change,no_update,18,1026,3,2025,0,2.98173691390397,3.22771453857422,25,2.78110504150391,300,3.22771453857422,2.90821075439453,1,150
run_red_07_04_15_32,3,b_0,red,Y,color_change,no_figure_change,update,29,1038,5,2025,0,3.00576385894379,3.16680908203125,500,2.84972381591797,75,2.97085571289062,2.991943359375,2,225
run_red_07_04_15_32,4,b_0,blue,Y,color_change,no_figure_change,no_update,13,1019,-8,1925,0,3.04884764436003,3.16017150878906,1250,2.94937133789062,1475,3.04597473144531,3.14002990722656,1,125
run_red_07_04_15_32,5,b_0,blue,Y,no_color_change,no_figure_change,no_update,16,1023,-6,2025,0,3.04069211885527,3.16814422607422,1425,2.85700988769531,400,3.06569671630859,3.08300018310547,0,NaN
