block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,trial_id,is_correct
b_0,blue,blue,Y,no_color_change,no_figure_change,first,update,0,correct
b_0,blue,blue,X,no_color_change,figure_change,not_firt,update,1,correct
b_0,blue,blue,X,no_color_change,no_figure_change,not_firt,update,2,correct
b_0,red,blue,Y,color_change,figure_change,not_firt,no_update,3,correct
b_0,blue,blue,X,color_change,figure_change,not_firt,update,4,correct
b_0,blue,blue,X,no_color_change,no_figure_change,not_firt,update,5,correct
b_0,red,blue,X,color_change,no_figure_change,not_firt,no_update,6,correct
b_0,red,blue,Y,no_color_change,figure_change,not_firt,no_update,7,correct
b_1,blue,blue,X,no_color_change,no_figure_change,first,update,0,correct
b_1,red,blue,X,color_change,no_figure_change,not_firt,no_update,1,correct
b_1,red,blue,X,no_color_change,no_figure_change,not_firt,no_update,2,correct
b_1,blue,blue,X,color_change,no_figure_change,not_firt,update,3,correct
b_2,blue,blue,X,no_color_change,no_figure_change,first,update,0,correct
b_2,red,blue,Y,color_change,figure_change,not_firt,no_update,1,correct
b_2,red,blue,Y,no_color_change,no_figure_change,not_firt,no_update,2,correct
b_2,blue,blue,Y,color_change,no_figure_change,not_firt,update,3,correct
b_2,red,blue,X,color_change,figure_change,not_firt,no_update,4,correct
b_3,blue,blue,X,no_color_change,no_figure_change,first,update,0,correct
b_3,blue,blue,Y,no_color_change,figure_change,not_firt,update,1,correct
b_3,blue,blue,Y,no_color_change,no_figure_change,not_firt,update,2,correct
b_3,blue,blue,X,no_color_change,figure_change,not_firt,update,3,correct
