block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id,is_correct
b_0,red,Y,no_color_change,no_figure_change,update,0,correct
b_0,red,X,no_color_change,figure_change,update,1,correct
b_0,red,X,no_color_change,no_figure_change,update,2,correct
b_0,red,X,no_color_change,no_figure_change,update,3,correct
b_0,blue,Y,color_change,figure_change,no_update,4,correct
b_0,red,Y,color_change,no_figure_change,update,5,correct
b_0,red,X,no_color_change,figure_change,update,6,correct
b_0,blue,Y,color_change,figure_change,no_update,7,correct
b_0,blue,Y,no_color_change,no_figure_change,no_update,8,correct
b_0,red,X,color_change,figure_change,update,9,correct
b_0,blue,Y,color_change,figure_change,no_update,10,correct
b_0,blue,X,no_color_change,figure_change,no_update,11,correct
b_1,red,Y,no_color_change,no_figure_change,update,0,correct
b_1,blue,X,color_change,figure_change,no_update,1,correct
b_1,blue,Y,no_color_change,figure_change,no_update,2,correct
b_1,red,Y,color_change,no_figure_change,update,3,correct
b_1,blue,X,color_change,figure_change,no_update,4,correct
b_2,red,Y,no_color_change,no_figure_change,update,0,correct
b_2,red,X,no_color_change,figure_change,update,1,correct
b_2,blue,Y,color_change,figure_change,no_update,2,correct
b_2,blue,Y,no_color_change,no_figure_change,no_update,3,correct
b_2,blue,X,no_color_change,figure_change,no_update,4,correct
b_2,red,Y,color_change,figure_change,update,5,correct
b_2,blue,Y,color_change,no_figure_change,no_update,6,correct
b_2,red,Y,color_change,no_figure_change,update,7,correct
b_2,red,Y,no_color_change,no_figure_change,update,8,correct
b_2,blue,Y,color_change,no_figure_change,no_update,9,correct
b_2,red,Y,color_change,no_figure_change,update,10,correct
b_2,blue,X,color_change,figure_change,no_update,11,correct
b_3,red,Y,no_color_change,no_figure_change,update,0,correct
b_3,red,Y,no_color_change,no_figure_change,update,1,correct
b_3,red,Y,no_color_change,no_figure_change,update,2,correct
b_3,red,Y,no_color_change,no_figure_change,update,3,correct
b_3,red,Y,no_color_change,no_figure_change,update,4,correct
b_3,red,X,no_color_change,figure_change,update,5,correct
b_3,blue,Y,color_change,figure_change,no_update,6,correct
