block,border_color,dominant,figure,is_color_change,is_correct_key,is_figure_change,is_first,is_update,pressed_key,rt,trial_id,is_correct
b_0,blue,blue,O,no_color_change,correct,no_figure_change,first,update,p,4.4378182888031015,0,incorrect
b_0,blue,blue,X,no_color_change,correct,figure_change,not_first,update,q,0.8632922172546387,1,incorrect
b_0,blue,blue,O,no_color_change,correct,figure_change,not_first,update,p,2.220376491546631,2,incorrect
b_0,blue,blue,X,no_color_change,correct,figure_change,not_first,update,q,0.939687967300415,3,incorrect
b_0,red,blue,X,color_change,correct,no_figure_change,not_first,no_update,q,1.3367340564727783,4,incorrect
b_0,red,blue,X,no_color_change,correct,no_figure_change,not_first,no_update,q,0.8786263465881348,5,incorrect
b_0,red,blue,X,no_color_change,correct,no_figure_change,not_first,no_update,q,0.7788221836090088,6,incorrect
b_0,red,blue,O,no_color_change,correct,figure_change,not_first,no_update,p,0.7167198657989502,7,incorrect
b_1,blue,blue,O,no_color_change,correct,no_figure_change,first,update,p,1.5932912826538086,0,correct
b_1,red,blue,X,color_change,correct,figure_change,not_first,no_update,q,0.6923055648803711,1,correct
b_1,blue,blue,O,color_change,correct,figure_change,not_first,update,p,0.6455192565917969,2,correct
b_1,red,blue,X,color_change,correct,figure_change,not_first,no_update,q,0.4683105945587158,3,correct
b_1,blue,blue,X,color_change,incorrect,no_figure_change,not_first,update,p,0.8826332092285156,4,correct
b_1,blue,blue,X,no_color_change,correct,no_figure_change,not_first,update,q,0.7991914749145508,5,correct
b_1,blue,blue,X,no_color_change,correct,no_figure_change,not_first,update,q,0.7717738151550293,6,correct
b_1,blue,blue,X,no_color_change,correct,no_figure_change,not_first,update,q,0.5965962409973145,7,correct
b_2,blue,blue,X,no_color_change,correct,no_figure_change,first,update,q,0.5480172634124756,0,correct
b_2,blue,blue,X,no_color_change,correct,no_figure_change,not_first,update,q,0.6430454254150391,1,correct
b_2,blue,blue,O,no_color_change,correct,figure_change,not_first,update,p,0.5780091285705566,2,correct
b_2,blue,blue,O,no_color_change,correct,no_figure_change,not_first,update,p,0.4410159587860107,3,correct
b_3,blue,blue,X,no_color_change,correct,no_figure_change,first,update,q,1.1569757461547852,0,correct
b_3,blue,blue,O,no_color_change,correct,figure_change,not_first,update,p,0.5159714221954346,1,correct
b_3,blue,blue,O,no_color_change,correct,no_figure_change,not_first,update,p,0.6020021438598633,2,correct
b_3,blue,blue,O,no_color_change,correct,no_figure_change,not_first,update,p,0.5530543327331543,3,correct
b_3,red,blue,O,color_change,correct,no_figure_change,not_first,no_update,p,1.0400421619415283,4,correct
b_3,red,blue,O,no_color_change,correct,no_figure_change,not_first,no_update,p,0.5119705200195312,5,correct
b_3,red,blue,X,no_color_change,correct,figure_change,not_first,no_update,q,0.814009428024292,6,correct
b_3,blue,blue,O,color_change,correct,figure_change,not_first,update,p,0.6770279407501221,7,correct
b_3,blue,blue,X,no_color_change,correct,figure_change,not_first,update,q,1.3800113201141355,8,correct
b_3,blue,blue,X,no_color_change,correct,no_figure_change,not_first,update,q,0.4920346736907959,9,correct
b_3,blue,blue,X,no_color_change,correct,no_figure_change,not_first,update,q,0.9630353450775146,10,correct
b_3,red,blue,O,color_change,correct,figure_change,not_first,no_update,p,0.5539717674255371,11,correct
b_3,blue,blue,O,color_change,correct,no_figure_change,not_first,update,p,0.6240150928497314,12,correct
b_3,blue,blue,O,no_color_change,correct,no_figure_change,not_first,update,p,0.5280358791351318,13,correct
