,bin,time(ms),no color change & not first & no update & correct,no color change & not first & update & correct,
207280074,1,0,0,0,
207280074,2,25,0.40243,0.42454,
207280074,3,50,0.57315,1.018,
207280074,4,76,0.31853,0.6178,
207280074,5,101,0.60687,0.9853,
207280074,6,126,-0.10324,0.77285,
207280074,7,151,0.14952,1.2331,
207280074,8,177,0.068779,0.5348,
207280074,9,202,-0.16933,0.8866,
207280074,10,227,0.030235,0.80473,
207280074,11,252,-0.23042,0.97798,
207280074,12,278,-0.7006,0.53489,
207280074,13,303,-0.050556,0.15188,
207280074,14,328,-0.35137,0.25074,
207280074,15,353,0.28889,0.094179,
207280074,16,379,0.16997,0.74252,
207280074,17,404,0.58181,0.90523,
207280074,18,429,-0.060373,0.72345,
207280074,19,454,0.35006,0.55167,
207280074,20,480,-0.15056,0.85939,
207280074,21,505,-0.074415,1.019,
207280074,22,530,0.83858,0.2931,
207280074,23,555,0.72073,0.30816,
207280074,24,581,0.90844,0.21723,
207280074,25,606,0.99434,1.1888,
207280074,26,631,0.83211,0.6387,
207280074,27,656,0.97197,0.023513,
207280074,28,682,1.1296,-0.45832,
207280074,29,707,0.57275,-0.15339,
207280074,30,732,1.437,0.4027,
207280074,31,757,1.2381,-0.30835,
207280074,32,783,1.665,0.42617,
207280074,33,808,1.4485,0.18958,
207280074,34,833,1.473,0.10808,
207280074,35,858,2.1668,0.39522,
207280074,36,883,2.1524,0.81827,
207280074,37,909,1.9976,0.185,
207280074,38,934,2.2623,0.39983,
207280074,39,959,2.7838,0.15923,
207280074,40,984,2.2311,0.30214,
207280074,41,1010,3.2158,0.025588,
207280074,42,1035,2.2833,0.63142,
207280074,43,1060,2.8169,0.24433,
207280074,44,1085,1.9901,0.29139,
207280074,45,1111,1.9008,0.65972,
207280074,46,1136,1.914,0.92765,
207280074,47,1161,1.9392,1.7672,
207280074,48,1186,1.5809,1.3635,
207280074,49,1212,1.9568,1.6055,
207280074,50,1237,2.1369,1.2177,
207280074,51,1262,2.3708,1.5111,
207280074,52,1287,2.4168,2.037,
207280074,53,1313,1.7293,2.4741,
207280074,54,1338,2.1337,2.6587,
207280074,55,1363,0.99451,2.2981,
207280074,56,1388,1.1291,2.8177,
207280074,57,1414,1.6385,2.3508,
207280074,58,1439,0.92955,2.5474,
207280074,59,1464,0.79367,2.8013,
207280074,60,1489,1.0657,2.884,
207280074,61,1515,0.27664,2.7585,
207280074,62,1540,0.48083,2.5926,
207280074,63,1565,0.55994,2.4448,
207280074,64,1590,1.0519,2.4803,
207280074,65,1616,0.81639,2.1959,
207280074,66,1641,1.2337,2.1726,
207280074,67,1666,0.55554,2.0335,
207280074,68,1691,0.26484,2.2863,
207280074,69,1717,0.66283,2.0578,
207280074,70,1742,-0.073202,2.4246,
207280074,71,1767,0.59923,1.7723,
207280074,72,1792,-0.1137,1.5856,
207280074,73,1817,0.66558,1.6726,
207280074,74,1843,0.068677,1.4802,
207280074,75,1868,0.13444,1.6606,
207280074,76,1893,0.38559,0.97585,
207280074,77,1918,0.29522,0.83138,
207280074,78,1944,-0.53762,0.82885,
207280074,79,1969,0.33548,0.66923,
207280074,80,1994,0.30208,0.69354,
207280074,81,2019,-0.87708,0.84383,
207280074,82,2045,-0.45086,0.68903,
207280074,83,2070,-0.35582,0.98925,
207280074,84,2095,-0.94954,0.048454,
207280074,85,2120,-0.57399,0.3928,
207280074,86,2146,-0.40717,0.39194,
207280074,87,2171,-0.10841,-0.22614,
207280074,88,2196,-0.21391,-0.34864,
207280074,89,2221,0.14722,-1.2859,
207280074,90,2247,-0.083886,-2.1134,
207280074,91,2272,0.055697,-1.9203,
207280074,92,2297,-0.80076,-1.9165,
207280074,93,2322,-0.15916,-1.3896,
207280074,94,2348,-0.76661,
207280074,95,2373,-1.1565,
207280074,96,2398,-1.7129,
207280074,97,2423,-1.7482,
207280074,98,2449,-2.4116,
207280074,99,2474,-2.1103,
207280074,100,2499,-2.1053,
207280074,101,2524,-1.6845,
207280074,102,2550,-1.579,
207280074,103,2575,-1.6448,
207280074,104,2600,-1.1157,
208278119,1,0,0,0,
208278119,2,25,-0.37647,0.15304,
208278119,3,50,0.32137,0.052385,
208278119,4,76,-0.11385,0.49405,
208278119,5,101,0.23389,0.60102,
208278119,6,126,0.60534,0.94131,
208278119,7,151,0.91572,0.88534,
208278119,8,177,1.0435,1.1861,
208278119,9,202,1.4821,1.2724,
208278119,10,227,2.3011,2.0466,
208278119,11,252,2.1399,1.6953,
208278119,12,277,2.4985,2.0293,
208278119,13,303,3.2569,2.3214,
208278119,14,328,2.6495,2.789,
208278119,15,353,3.0186,2.3192,
208278119,16,378,2.6337,2.9547,
208278119,17,404,2.7725,2.5656,
208278119,18,429,3.6249,2.9955,
208278119,19,454,3.064,2.7456,
208278119,20,479,2.7305,2.6491,
208278119,21,504,2.9416,2.1784,
208278119,22,530,2.7652,2.8956,
208278119,23,555,2.5842,2.6965,
208278119,24,580,2.3843,2.2602,
208278119,25,605,2.081,2.3694,
208278119,26,630,2.3898,2.4481,
208278119,27,656,2.1788,2.0962,
208278119,28,681,1.6123,1.6368,
208278119,29,706,1.3907,1.647,
208278119,30,731,2.1954,1.6689,
208278119,31,757,2.434,1.6907,
208278119,32,782,1.8723,1.7966,
208278119,33,807,2.6563,2.1333,
208278119,34,832,3.4999,1.4761,
208278119,35,857,3.1035,1.948,
208278119,36,883,2.0428,1.8052,
208278119,37,908,2.3444,2.0223,
208278119,38,933,3.4929,1.7663,
208278119,39,958,2.1316,2.3818,
208278119,40,984,2.7864,2.0978,
208278119,41,1009,2.6965,2.0131,
208278119,42,1034,2.2306,2.2818,
208278119,43,1059,2.5273,2.2498,
208278119,44,1084,2.9571,2.3299,
208278119,45,1110,2.8679,2.5691,
208278119,46,1135,2.7926,2.5816,
208278119,47,1160,2.9536,2.5039,
208278119,48,1185,3.1053,2.5848,
208278119,49,1211,2.2306,2.1542,
208278119,50,1236,3.1929,2.2246,
208278119,51,1261,3.0345,2.488,
208278119,52,1286,3.3535,2.9186,
208278119,53,1311,3.2142,3.1951,
208278119,54,1337,3.9549,2.8283,
208278119,55,1362,2.7764,3.2397,
208278119,56,1387,2.5278,3.2121,
208278119,57,1412,3.3151,2.419,
208278119,58,1438,2.8027,2.4377,
208278119,59,1463,2.8659,3.2793,
208278119,60,1488,3.0199,3.032,
208278119,61,1513,2.4772,3.2322,
208278119,62,1538,2.3736,3.2548,
208278119,63,1564,3.0081,3.2027,
208278119,64,1589,3.1259,3.1949,
208278119,65,1614,2.8526,3.6534,
208278119,66,1639,2.9688,3.4333,
208278119,67,1664,2.864,3.8239,
208278119,68,1690,2.6771,3.8987,
208278119,69,1715,3.0845,4.0712,
208278119,70,1740,2.8276,4.6667,
208278119,71,1765,2.7159,4.6259,
208278119,72,1791,3.1432,4.8098,
208278119,73,1816,3.6375,4.9307,
208278119,74,1841,3.046,4.3536,
208278119,75,1866,2.8349,4.2339,
208278119,76,1891,2.5619,4.6732,
208278119,77,1917,2.4047,4.1409,
208278119,78,1942,2.6824,4.7378,
208278119,79,1967,3.2134,4.7435,
208278119,80,1992,3.5122,4.6643,
208278119,81,2018,3.7791,3.9938,
208278119,82,2043,3.7627,4.6185,
208278119,83,2068,3.5186,4.2839,
208278119,84,2093,4.2336,3.9354,
208278119,85,2118,3.719,3.5951,
208278119,86,2144,3.9869,4.2129,
208278119,87,2169,4.2782,3.8009,
208278119,88,2194,4.0528,3.8951,
208278119,89,2219,2.7627,3.4043,
208278119,90,2245,3.2666,3.6052,
208278119,91,2270,3.1535,3.1687,
208278119,92,2295,3.0313,3.0304,
208278119,93,2320,3.0994,2.6707,
208278119,94,2345,3.633,2.7888,
208278119,95,2371,2.4241,2.5328,
208278119,96,2396,2.9194,2.3222,
208278119,97,2421,2.5578,2.8336,
208278119,98,2446,2.647,2.4202,
208278119,99,2471,2.0232,2.7127,
208278119,100,2497,2.7678,2.7687,
208278119,101,2522,2.6773,2.3371,
208278119,102,2547,1.9591,2.6142,
208278119,103,2572,1.5278,2.8289,
208278119,104,2598,1.9888,2.9585,
208278119,105,2623,2.5999,2.1867,
208278119,106,2648,1.7723,2.6571,
208278119,107,2673,1.5742,2.5432,
208278119,108,2698,1.8074,2.2391,
208278119,109,2724,0.9311,1.9366,
208278119,110,2749,1.1429,2.5217,
208278119,111,2774,0.72314,2.5389,
208278119,112,2799,0.8829,1.9538,
208278119,113,2825,2.2695,2.2415,
208278119,114,2850,1.6503,
208278119,115,2875,1.8308,
208827162,1,0,0,0,
208827162,2,25,-0.30799,0.13214,
208827162,3,51,-1.1838,1.3003,
208827162,4,76,-0.68844,1.2629,
208827162,5,101,1.5478,2.7555,
208827162,6,126,0.18674,1.025,
208827162,7,152,-0.053122,1.8636,
208827162,8,177,-0.022163,1.0812,
208827162,9,202,-0.51989,2.209,
208827162,10,227,0.4623,2.0867,
208827162,11,253,0.70394,0.95864,
208827162,12,278,-0.18642,-0.5854,
208827162,13,303,0.6413,2.8178,
208827162,14,328,0.52637,2.0408,
208827162,15,354,0.33919,3.0253,
208827162,16,379,-0.51957,1.6698,
208827162,17,404,-0.12256,2.0122,
208827162,18,429,0.47489,0.76031,
208827162,19,455,-0.6345,0.29124,
208827162,20,480,-0.63153,-0.019948,
208827162,21,505,-1.1614,0.67979,
208827162,22,530,-0.93994,0.060654,
208827162,23,556,-0.04414,-0.25537,
208827162,24,581,-0.056067,-0.43452,
208827162,25,606,-0.91581,-0.0026463,
208827162,26,632,-1.2361,0.022223,
208827162,27,657,-0.062348,0.46259,
208827162,28,682,-0.27043,1.0527,
208827162,29,707,0.18827,1.7278,
208827162,30,733,-0.38212,0.22119,
208827162,31,758,-1.2805,1.7695,
208827162,32,783,-0.36459,0.67833,
208827162,33,808,1.185,0.32114,
208827162,34,834,-0.3547,0.24934,
208827162,35,859,-0.022726,1.7035,
208827162,36,884,-0.62993,1.6933,
208827162,37,909,-1.6252,1.5049,
208827162,38,935,-0.8446,0.026324,
208827162,39,960,-1.4997,0.51215,
208827162,40,985,-1.5971,0.97437,
208827162,41,1010,0.12135,2.4947,
208827162,42,1036,-1.0165,0.38519,
208827162,43,1061,-0.14477,1.1084,
208827162,44,1086,-0.78606,2.2782,
208827162,45,1111,-0.41283,2.3674,
208827162,46,1137,0.68733,2.7367,
208827162,47,1162,-1.1103,1.2798,
208827162,48,1187,-1.2704,1.0616,
208827162,49,1213,-0.45053,1.4843,
208827162,50,1238,-0.10718,1.4422,
208827162,51,1263,-0.67522,1.6181,
208827162,52,1288,1.02,2.6641,
208827162,53,1314,0.19251,2.0948,
208827162,54,1339,0.096943,2.7083,
208827162,55,1364,-1.1484,2.1258,
208827162,56,1389,-0.34663,3.1205,
208827162,57,1415,0.52846,2.3739,
