,bin,time(ms),no color change & not first & no update & correct,no color change & not first & update & correct,
207280074,1,0,0,0,
207280074,2,25,0.06298,0.048955,
207280074,3,50,0.082902,0.14388,
207280074,4,76,0.040488,0.078548,
207280074,5,101,0.08468,0.12348,
207280074,6,126,-0.020344,0.097861,
207280074,7,151,0.015314,0.15831,
207280074,8,177,0.00026446,0.058848,
207280074,9,202,-0.038318,0.11282,
207280074,10,227,-0.010025,0.098021,
207280074,11,252,-0.048749,0.11929,
207280074,12,278,-0.12133,0.055745,
207280074,13,303,-0.027398,-0.009494,
207280074,14,328,-0.078043,0.013159,
207280074,15,353,0.017306,-0.014516,
207280074,16,379,0.0040182,0.088771,
207280074,17,404,0.068644,0.10383,
207280074,18,429,-0.031682,0.077133,
207280074,19,454,0.035997,0.047087,
207280074,20,480,-0.04772,0.11041,
207280074,21,505,-0.039682,0.1267,
207280074,22,530,0.11037,-0.0013946,
207280074,23,555,0.085244,0.0023175,
207280074,24,581,0.11471,-0.014127,
207280074,25,606,0.11941,0.11935,
207280074,26,631,0.094628,0.044698,
207280074,27,656,0.12616,-0.043368,
207280074,28,682,0.1488,-0.11522,
207280074,29,707,0.053918,-0.083169,
207280074,30,732,0.19681,0.0026243,
207280074,31,757,0.16312,-0.10514,
207280074,32,783,0.22683,0.011141,
207280074,33,808,0.19105,-0.032449,
207280074,34,833,0.19988,-0.045857,
207280074,35,858,0.30456,-0.0047103,
207280074,36,883,0.29966,0.055315,
207280074,37,909,0.27101,-0.041086,
207280074,38,934,0.30584,-0.011835,
207280074,39,959,0.38498,-0.045772,
207280074,40,984,0.30146,-0.030882,
207280074,41,1010,0.46317,-0.064428,
207280074,42,1035,0.31152,0.016728,
207280074,43,1060,0.39501,-0.038114,
207280074,44,1085,0.26363,-0.03468,
207280074,45,1111,0.24352,0.023648,
207280074,46,1136,0.24892,0.070033,
207280074,47,1161,0.25148,0.20318,
207280074,48,1186,0.19368,0.13834,
207280074,49,1212,0.25812,0.18387,
207280074,50,1237,0.28109,0.11804,
207280074,51,1262,0.31302,0.1565,
207280074,52,1287,0.32848,0.24478,
207280074,53,1313,0.21825,0.31821,
207280074,54,1338,0.28639,0.34664,
207280074,55,1363,0.10853,0.2916,
207280074,56,1388,0.13018,0.37283,
207280074,57,1414,0.21201,0.30661,
207280074,58,1439,0.10147,0.34194,
207280074,59,1464,0.072099,0.3735,
207280074,60,1489,0.12308,0.39896,
207280074,61,1515,-0.0099131,0.3674,
207280074,62,1540,0.024614,0.34082,
207280074,63,1565,0.04328,0.32345,
207280074,64,1590,0.12118,0.32846,
207280074,65,1616,0.078438,0.27945,
207280074,66,1641,0.13612,0.28144,
207280074,67,1666,0.039119,0.2633,
207280074,68,1691,-0.011046,0.29336,
207280074,69,1717,0.046558,0.26765,
207280074,70,1742,-0.067271,0.32582,
207280074,71,1767,0.03128,0.22139,
207280074,72,1792,-0.079196,0.19947,
207280074,73,1817,0.041404,0.20411,
207280074,74,1843,-0.049348,0.18301,
207280074,75,1868,-0.043327,0.20861,
207280074,76,1893,-0.01217,0.094596,
207280074,77,1918,-0.021423,0.075978,
207280074,78,1944,-0.15666,0.079855,
207280074,79,1969,-0.022188,0.049989,
207280074,80,1994,-0.028641,0.044239,
207280074,81,2019,-0.20364,0.058715,
207280074,82,2045,-0.13513,0.034657,
207280074,83,2070,-0.12319,0.074534,
207280074,84,2095,-0.21935,-0.077716,
207280074,85,2120,-0.1621,-0.022125,
207280074,86,2146,-0.12876,-0.024979,
207280074,87,2171,-0.079382,-0.098951,
207280074,88,2196,-0.092118,-0.12187,
207280074,89,2221,-0.033454,-0.24471,
207280074,90,2247,-0.079484,-0.37438,
207280074,91,2272,-0.054128,-0.34854,
207280074,92,2297,-0.1868,-0.35226,
207280074,93,2322,-0.088166,-0.26235,
207280074,94,2348,-0.16943,
207280074,95,2373,-0.23563,
207280074,96,2398,-0.32678,
207280074,97,2423,-0.32488,
207280074,98,2449,-0.44181,
207280074,99,2474,-0.39408,
207280074,100,2499,-0.3935,
207280074,101,2524,-0.32729,
207280074,102,2550,-0.30825,
207280074,103,2575,-0.31736,
207280074,104,2600,-0.2325,
208827162,1,0,0,0,
208827162,2,25,-0.07187,-0.092519,
208827162,3,51,-0.17832,0.074911,
208827162,4,76,-0.12944,0.11134,
208827162,5,101,0.17697,0.3087,
208827162,6,126,-0.0034399,0.060619,
208827162,7,152,-0.030907,0.23597,
208827162,8,177,-0.031334,0.11686,
208827162,9,202,-0.095708,0.26075,
208827162,10,227,0.033476,0.22353,
208827162,11,253,0.065377,0.043671,
208827162,12,278,-0.062034,-0.19273,
208827162,13,303,0.055462,0.34646,
208827162,14,328,0.033391,0.15544,
208827162,15,354,0.010724,0.35589,
208827162,16,379,-0.10805,0.14296,
208827162,17,404,-0.045567,0.17933,
208827162,18,429,0.037187,-0.032814,
208827162,19,455,-0.10735,-0.098734,
208827162,20,480,-0.10965,-0.12029,
208827162,21,505,-0.19112,-0.0441,
208827162,22,530,-0.1553,-0.14387,
208827162,23,556,-0.041304,-0.17071,
208827162,24,581,-0.032938,-0.18269,
208827162,25,606,-0.14988,-0.1375,
208827162,26,632,-0.19264,-0.16198,
208827162,27,657,-0.049789,-0.07079,
208827162,28,682,-0.072546,0.01367,
208827162,29,707,-0.019265,0.10841,
208827162,30,733,-0.091169,-0.10613,
208827162,31,758,-0.20948,0.086127,
208827162,32,783,-0.080428,-0.050459,
208827162,33,808,0.12703,-0.092127,
208827162,34,834,-0.068473,-0.094342,
208827162,35,859,-0.030344,0.11107,
208827162,36,884,-0.10788,0.15209,
208827162,37,909,-0.24213,0.1366,
208827162,38,935,-0.14557,-0.052488,
208827162,39,960,-0.23071,0.034407,
208827162,40,985,-0.23462,0.099207,
208827162,41,1010,-0.0031384,0.28104,
208827162,42,1036,-0.17047,0.014587,
208827162,43,1061,-0.049747,0.10135,
208827162,44,1086,-0.1453,0.25838,
208827162,45,1111,-0.091634,0.26797,
208827162,46,1137,0.058085,0.31529,
208827162,47,1162,-0.17946,0.13675,
208827162,48,1187,-0.21234,0.099726,
208827162,49,1213,-0.097326,0.16194,
208827162,50,1238,-0.050736,0.14762,
208827162,51,1263,-0.12415,0.17517,
208827162,52,1288,0.11214,0.32791,
208827162,53,1314,-0.011361,0.24997,
208827162,54,1339,-0.012801,0.32748,
208827162,55,1364,-0.17985,0.2566,
208827162,56,1389,-0.071778,0.39224,
208827162,57,1415,0.0401,0.27854,
208827162,58,1440,-0.0042527,0.30765,
208827162,59,1465,0.10195,0.24813,
208827162,60,1490,-0.02901,0.34504,
208827162,61,1516,0.0091478,0.34951,
208827162,62,1541,0.034152,0.38378,
208827162,63,1566,0.088072,0.64304,
208827162,64,1591,0.18378,0.44299,
208827162,65,1617,0.038013,0.35107,
208827162,66,1642,0.047085,0.22183,
208827162,67,1667,0.089697,0.43286,
208827162,68,1692,0.17403,0.49374,
208827162,69,1718,0.048186,0.36752,
208827162,70,1743,-0.050257,0.4247,
208827162,71,1768,-0.073713,0.2324,
208827162,72,1793,-0.006154,0.20843,
208827162,73,1819,-0.091175,0.38502,
208827162,74,1844,-0.23208,0.32398,
208827162,75,1869,-0.19237,0.24221,
208827162,76,1895,-0.2748,0.10766,
208827162,77,1920,-0.23201,0.24105,
208827162,78,1945,-0.18201,0.50707,
208827162,79,1970,-0.071416,0.32315,
208827162,80,1996,-0.26701,0.37922,
208827162,81,2021,-0.25951,0.2573,
208827162,82,2046,-0.26804,0.32579,
208827162,83,2071,-0.17379,0.41508,
208827162,84,2097,-0.23325,0.23684,
208827162,85,2122,-0.12629,0.16755,
208827162,86,2147,-0.25356,0.31827,
208827162,87,2172,-0.30249,0.28379,
208827162,88,2198,-0.38134,-0.00011676,
208827162,89,2223,-0.093092,0.029462,
208827162,90,2248,-0.45158,0.15296,
208827162,91,2273,-0.10378,0.13292,
208827162,92,2299,-0.15295,0.054421,
208827162,93,2324,-0.2687,
208827162,94,2349,-0.12325,
208827162,95,2374,-0.19918,
208827162,96,2400,-0.27341,
208827162,97,2425,-0.18891,
209049931,1,0,0,0,
209049931,2,25,0.056573,-0.022985,
209049931,3,51,0.063486,-0.033092,
209049931,4,76,-0.00339,0.0028213,
209049931,5,101,0.070461,0.037722,
209049931,6,126,0.054292,0.065095,
209049931,7,152,0.092188,0.0402,
209049931,8,177,0.12192,0.049155,
209049931,9,202,0.11139,-0.044583,
209049931,10,227,0.070747,-0.031248,
209049931,11,253,0.11999,-0.035707,
209049931,12,278,0.14657,-0.1207,
209049931,13,303,0.18736,-0.090738,
209049931,14,328,0.10775,-0.015682,
209049931,15,354,0.26053,-0.10478,
209049931,16,379,0.20153,-0.094782,
209049931,17,404,0.17065,-0.14557,
209049931,18,429,0.19784,-0.13838,
209049931,19,455,0.22961,-0.11292,
209049931,20,480,0.1893,-0.10974,
209049931,21,505,0.1294,-0.11781,
209049931,22,530,0.16262,-0.033699,
209049931,23,556,0.22444,-0.14029,
209049931,24,581,0.22654,-0.11806,
