,bin,time(ms),no update & correct,update & correct,
324124114,1,0,3.2072,3.2124,
324124114,2,25,3.1961,3.2196,
324124114,3,51,3.203,3.2065,
324124114,4,76,3.2012,3.21,
324124114,5,101,3.1962,3.2135,
324124114,6,126,3.1987,3.2158,
324124114,7,152,3.2061,3.2292,
324124114,8,177,3.1914,3.2211,
324124114,9,202,3.2033,3.232,
324124114,10,227,3.2092,3.226,
324124114,11,253,3.2127,3.2249,
324124114,12,278,3.2227,3.2243,
324124114,13,303,3.2183,3.2324,
324124114,14,328,3.2175,3.2343,
324124114,15,354,3.2203,3.2312,
324124114,16,379,3.2317,3.2362,
324124114,17,404,3.2344,3.2382,
324124114,18,429,3.2349,3.2382,
324124114,19,455,3.2333,3.2367,
324124114,20,480,3.2333,3.2409,
324124114,21,505,3.2397,3.2382,
324124114,22,531,3.2375,3.2464,
324124114,23,556,3.2319,3.245,
324124114,24,581,3.2518,3.2456,
324124114,25,606,3.2507,3.2494,
324124114,26,632,3.2496,3.2426,
324124114,27,657,3.2533,3.2408,
324124114,28,682,3.2578,3.2424,
324124114,29,707,3.2473,3.2532,
324124114,30,733,3.2507,3.2388,
324124114,31,758,3.2572,3.2497,
324124114,32,783,3.2538,3.2523,
324124114,33,808,3.2572,3.2552,
324124114,34,834,3.2462,3.245,
324124114,35,859,3.2447,3.2509,
324124114,36,884,3.2504,3.2323,
324124114,37,909,3.2358,3.2561,
324124114,38,935,3.2423,3.2422,
324124114,39,960,3.2368,3.2373,
324124114,40,985,3.2457,3.2411,
324124114,41,1011,3.2354,3.2348,
324124114,42,1036,3.234,3.2323,
324124114,43,1061,3.2326,3.2353,
324124114,44,1086,3.2395,3.2339,
324124114,45,1112,3.2426,3.2369,
324124114,46,1137,3.2474,3.2342,
324124114,47,1162,3.2425,3.2351,
324124114,48,1187,3.2426,3.2285,
324124114,49,1213,3.242,3.2218,
324124114,50,1238,3.2477,3.218,
324124114,51,1263,3.2416,3.2192,
324124114,52,1288,3.2433,3.2103,
324124114,53,1314,3.2402,3.2077,
324124114,54,1339,3.2343,3.2103,
324124114,55,1364,3.237,3.1974,
324124114,56,1389,3.2434,3.2007,
324124114,57,1415,3.2411,3.1943,
324124114,58,1440,3.2473,3.2053,
324124114,59,1465,3.2393,3.1876,
324124114,60,1491,3.2353,3.1903,
324124114,61,1516,3.235,3.1791,
324124114,62,1541,3.2222,3.1792,
324124114,63,1566,3.2244,3.1738,
324124114,64,1592,3.2269,3.1764,
324124114,65,1617,3.224,3.1822,
324124114,66,1642,3.2174,3.1688,
324124114,67,1667,3.2139,3.1819,
324124114,68,1693,3.2103,3.1705,
324124114,69,1718,3.209,3.1731,
324124114,70,1743,3.2139,3.1674,
324124114,71,1768,3.2115,3.1633,
324124114,72,1794,3.2218,3.1781,
324124114,73,1819,3.2216,3.1895,
324124114,74,1844,3.2282,3.1937,
324124114,75,1869,3.2189,3.1896,
324124114,76,1895,3.2102,3.1877,
324124114,77,1920,3.2241,3.1924,
324124114,78,1945,3.2174,3.1901,
324124114,79,1971,3.2133,3.1982,
324124114,80,1996,3.2242,3.1899,
324124114,81,2021,3.2131,3.197,
324124114,82,2046,3.2228,3.1926,
324124114,83,2072,3.2154,3.2067,
324124114,84,2097,3.2262,3.2142,
324124114,85,2122,3.2124,3.2007,
324124114,86,2147,3.2161,3.1905,
324124114,87,2173,3.2249,3.2074,
324124114,88,2198,3.2282,3.2012,
324124114,89,2223,3.2315,3.2049,
324124114,90,2248,3.2332,3.2016,
324124114,91,2274,3.229,3.2048,
324124114,92,2299,3.2304,3.2066,
324124114,93,2324,3.2356,3.2055,
324124114,94,2349,3.2381,3.2054,
324124114,95,2375,3.2138,
324124114,96,2400,3.2083,
