,bin,time(ms),no update & correct,update & correct,
209154863,1,0,3.7162,3.6856,
209154863,2,25,3.7099,3.6854,
209154863,3,50,3.7133,3.6837,
209154863,4,76,3.6977,3.6711,
209154863,5,101,3.6962,3.6777,
209154863,6,126,3.6953,3.6745,
209154863,7,151,3.6861,3.6739,
209154863,8,176,3.6874,3.669,
209154863,9,202,3.6881,3.6678,
209154863,10,227,3.6834,3.6632,
209154863,11,252,3.6804,3.661,
209154863,12,277,3.6808,3.6644,
209154863,13,302,3.6785,3.6651,
209154863,14,327,3.6776,3.6668,
209154863,15,353,3.6802,3.6689,
209154863,16,378,3.6729,3.661,
209154863,17,403,3.6746,3.663,
209154863,18,428,3.669,3.6597,
209154863,19,453,3.6668,3.6669,
209154863,20,479,3.6671,3.6635,
209154863,21,504,3.6666,3.6671,
209154863,22,529,3.6735,3.6585,
209154863,23,554,3.6631,3.673,
209154863,24,579,3.663,3.6679,
209154863,25,605,3.6657,3.6647,
209154863,26,630,3.668,3.6774,
209154863,27,655,3.6678,3.681,
209154863,28,680,3.6593,3.6816,
209154863,29,705,3.6688,3.6814,
209154863,30,730,3.6696,3.6813,
209154863,31,756,3.6608,3.6898,
209154863,32,781,3.6757,3.6836,
209154863,33,806,3.6654,3.6873,
209154863,34,831,3.671,3.6921,
209154863,35,856,3.6797,3.6977,
209154863,36,882,3.6748,3.696,
209154863,37,907,3.6823,3.701,
209154863,38,932,3.6833,3.7008,
209154863,39,957,3.6845,3.7024,
209154863,40,982,3.6799,3.7144,
209154863,41,1008,3.6782,3.7146,
209154863,42,1033,3.6884,3.7237,
209154863,43,1058,3.7025,3.7195,
209154863,44,1083,3.7022,3.7274,
209154863,45,1108,3.702,3.7294,
209154863,46,1134,3.7082,3.7396,
209154863,47,1159,3.7186,3.7293,
209154863,48,1184,3.7129,3.7401,
209154863,49,1209,3.7146,3.7476,
209154863,50,1234,3.7201,3.7498,
209154863,51,1259,3.7193,3.7509,
209154863,52,1285,3.7305,3.7553,
209154863,53,1310,3.7307,3.7565,
209154863,54,1335,3.7279,3.763,
209154863,55,1360,3.7287,3.7736,
209154863,56,1385,3.7358,3.774,
209154863,57,1411,3.7354,3.78,
209154863,58,1436,3.7366,3.7769,
209154863,59,1461,3.7377,3.7815,
209154863,60,1486,3.7343,3.7799,
209154863,61,1511,3.7313,3.7704,
209154863,62,1537,3.7276,3.7707,
209154863,63,1562,3.7217,3.7654,
209154863,64,1587,3.7215,3.7594,
209154863,65,1612,3.7088,3.7508,
209154863,66,1637,3.7038,3.7454,
209154863,67,1663,3.6946,3.7402,
209154863,68,1688,3.6828,3.7401,
209154863,69,1713,3.6816,3.7289,
209154863,70,1738,3.6819,3.7376,
209154863,71,1763,3.6798,3.728,
