bin,x_axis,tValues,pValues,pValues_bonf,BFs
1,0,NaN,NaN,1,NaN
2,25.2293577981651,-1.20622475609493,0.281686979333255,1,0.636000631242918
3,50.4587155963303,-1.23476679645381,0.271776047324034,1,0.650255123461242
4,75.6880733944954,-1.5079684708919,0.191929043670871,1,0.813082543296583
5,100.917431192661,-1.30609090780851,0.248376943706346,1,0.688040668430948
6,126.146788990826,-1.61547021733202,0.167130567820069,1,0.891662806598369
7,151.376146788991,-2.2489122381811,0.0743783191403941,1,1.56789912777655
8,176.605504587156,-1.28148736166657,0.256231909318583,1,0.674650390856002
9,201.834862385321,-0.971657309194908,0.375847105769359,1,0.536115516191572
10,227.064220183486,-0.26023225537266,0.8050613333913,1,0.383944574831162
11,252.293577981651,-0.0158403167675928,0.987974423047228,1,0.3732448342039
12,277.522935779817,0.489940973645432,0.644914834678416,1,0.411934408123324
13,302.752293577982,0.180531850670339,0.863824288338949,1,0.378355381180353
14,327.981651376147,-1.29981001236685,0.250360858080238,1,0.684586117013128
15,353.211009174312,-0.587774169461051,0.582225682919761,1,0.429528312802223
16,378.440366972477,-0.189063979361141,0.857477540361633,1,0.37885548942711
17,403.669724770642,-0.686648052004462,0.522845740837611,1,0.451019529346165
18,428.899082568807,0.985170519004715,0.369781330978897,1,0.541084832069753
19,454.128440366972,0.346517232583415,0.743060313927283,1,0.392347676215371
20,479.357798165138,-0.761062306457356,0.480951852828057,1,0.469793795924627
21,504.587155963303,-0.7580527986774,0.482598438260749,1,0.468989581362874
22,529.816513761468,0.345903361936817,0.743494400218413,1,0.39227909776134
23,555.045871559633,1.52867691119495,0.186888050257989,1,0.827535688824947
24,580.275229357798,5.25367198835383,0.00331614916606449,0.431099391588383,15.9360650687176
25,605.504587155963,-0.178183902119173,0.865572913049834,1,0.378221862229289
26,630.733944954128,-0.797659059327238,0.461253603424567,1,0.479884034011846
27,655.963302752294,1.53996176159663,0.1841954141417,1,0.835546657079985
28,681.192660550459,0.436184508926887,0.68089344541564,1,0.403750265350808
29,706.422018348624,0.267704776668131,0.799618832849293,1,0.384574718202334
30,731.651376146789,1.19525843737732,0.285580285779533,1,0.630651870648216
31,756.880733944954,-0.441394572959523,0.677361793327141,1,0.404498586880934
32,782.110091743119,-0.0242723860974242,0.981574250769104,1,0.373298108467283
33,807.339449541284,1.9580257347949,0.107559382025723,1,1.20725063861313
34,832.56880733945,0.893173917141013,0.412684745530098,1,0.509009444444241
35,857.798165137615,-0.0928378143367078,0.929637536255658,1,0.374563927825279
36,883.02752293578,-0.92169577438074,0.398978601565667,1,0.518519030115214
37,908.256880733945,-0.855311578376072,0.431445190226482,1,0.496970650674317
38,933.48623853211,0.579594559726533,0.587321505489317,1,0.427920352846966
39,958.715596330275,-0.455078992991587,0.668130596972298,1,0.406509701192529
40,983.94495412844,-0.132803156207144,0.89952821476981,1,0.375987983405087
41,1009.17431192661,-0.482609053043762,0.649760759731298,1,0.410757345400558
42,1034.40366972477,-0.729468688348121,0.498438980292394,1,0.461541823175976
43,1059.63302752294,-0.381503300684339,0.718504139915288,1,0.396467651201273
44,1084.8623853211,-0.83546687247598,0.441536374015028,1,0.490921927860325
45,1110.09174311927,-1.15502313148689,0.300277806918477,1,0.611624117942444
46,1135.32110091743,-0.90689077829766,0.406047504946409,1,0.513534983656311
47,1160.5504587156,-0.773571005241248,0.474151433689465,1,0.473177808131995
48,1185.77981651376,-1.02905571522832,0.350636400094517,1,0.557856061679296
49,1211.00917431193,-1.2551459574333,0.264893344045789,1,0.660732023192563
50,1236.23853211009,-0.494585356360976,0.641855477026971,1,0.412690051445554
51,1261.46788990826,-0.731861218003017,0.497099167832822,1,0.462152069655452
52,1286.69724770642,-0.678181858940548,0.527766437026795,1,0.449027733995851
53,1311.92660550459,-1.5145612749234,0.190310034767163,1,0.817649342553621
54,1337.15596330275,-1.41697762031021,0.215673746347582,1,0.753261081931098
55,1362.38532110092,-2.07994619289335,0.0920682153163871,1,1.3469452066304
56,1387.61467889908,-1.99502244891828,0.102589614321343,1,1.24798838555177
57,1412.84403669725,-1.15201969696144,0.301401260470744,1,0.61024086989486
58,1438.07339449541,-2.05444303707899,0.0951034076828154,1,1.31641353694115
59,1463.30275229358,-2.65583100715005,0.0451092210013586,1,2.25156776212477
60,1488.53211009174,-2.33487155425519,0.0668050083538037,1,1.69353496041181
61,1513.76146788991,-2.68328139141732,0.0436482634505597,1,2.3063957673965
62,1538.99082568807,-2.56995486541383,0.0500380576292562,1,2.08760389488107
63,1564.22018348624,-1.97815249715399,0.104825412533913,1,1.2292380394094
64,1589.4495412844,-2.10224364178854,0.0894980935805415,1,1.37422550689306
65,1614.67889908257,-2.07787111921301,0.0923113235274446,1,1.34443438174396
66,1639.90825688073,-2.42118759362186,0.0600293987164786,1,1.82933371400751
67,1665.1376146789,-3.61906797633031,0.0152344456691124,1,5.02983534462831
68,1690.36697247706,-3.47447013829462,0.0177638652587099,1,4.48420323305227
69,1715.59633027523,-3.04063823612749,0.0287298086007632,1,3.13704980619661
70,1740.82568807339,-3.01161937704998,0.0297003756401573,1,3.0609522248064
71,1766.05504587156,-3.42421292113718,0.0187525205301429,1,4.30658557017731
72,1791.28440366972,-4.63782998772028,0.00564372737603469,0.728040831508475,10.6329463075058
73,1816.51376146789,-3.3151640075973,0.0211201784838175,1,3.94149956227764
74,1841.74311926606,-2.84538231599572,0.0360182432902567,1,2.65533214079851
75,1866.97247706422,-2.77611924429346,0.0390811346812924,1,2.5008508789483
76,1892.20183486239,-3.91236774541909,0.0112681164103183,1,6.30691860870841
77,1917.43119266055,-2.76136955421713,0.0397700265772845,1,2.46900702441258
78,1942.66055045872,-3.13903431364415,0.0256943065401247,1,3.40741073404578
79,1967.88990825688,-4.14026754005751,0.0089946984000101,1,7.47344305794062
80,1993.11926605505,-2.13440241321294,0.0859238890798981,1,1.41455142576104
81,2018.34862385321,-3.77987103764872,0.0128915988098426,1,5.70040587818218
82,2043.57798165138,-3.41604044455953,0.0189191275943184,1,4.27827012616906
83,2068.80733944954,-3.56171764874755,0.0161850653473822,1,4.80714742799663
84,2094.03669724771,-2.80719201685207,0.0376727098723049,1,2.56913699778373
85,2119.26605504587,-3.53752433622834,0.016606240161242,1,4.71570673394358
86,2144.49541284404,-2.33245297429026,0.0670063747484015,1,1.68987143111573
87,2169.7247706422,-2.02522384945004,0.0987104506174733,1,1.28229805123243
88,2194.95412844037,-2.60075077791971,0.0482056658720764,1,2.14510586309298
89,2220.18348623853,-1.73500245469672,0.143264754349128,1,0.989899734505114
90,2245.4128440367,-1.51188771121486,0.190964986175184,1,0.815793505506761
91,2270.64220183486,-1.16263103366898,0.297448500756077,1,0.615150860188408
92,2295.87155963303,-1.56085305489118,0.179310107061451,1,0.850631506351255
93,2321.10091743119,-0.517043987339933,0.632400139805182,1,0.44305297173679
94,2346.33027522936,-1.01622514951506,0.416455147507446,1,0.666468044267067
95,2371.55963302752,-2.12167730309868,0.167906632865962,1,1.19576359654344
96,2396.78899082569,-0.758810222156824,0.527199750127476,1,0.581718725002596
97,2422.01834862385,-0.289169574411162,0.799671178175916,1,0.484432091227232
98,2447.24770642202,-0.65792896521704,0.578187438982113,1,0.554155393834103
99,2472.47706422018,-1.39857957441612,0.296834301363061,1,0.824457644412741
100,2497.70642201835,-1.99179233168886,0.184624939587515,1,1.12390910699763
101,2522.93577981651,-1.2436497498052,0.339628958160869,1,0.756381501773032
102,2548.16513761468,-0.847773534736088,0.485840793590425,1,0.608762121711888
103,2573.39449541284,-2.0912305310688,0.17163527004056,1,1.17875782611355
104,2598.62385321101,-0.388296885207509,0.735231405313012,1,0.498113786202353
105,2623.85321100917,-0.586751109506252,0.616778850964976,1,0.536796132403047
106,2649.08256880734,-1.05010717967177,0.403841172476353,1,0.679033966412888
107,2674.3119266055,-0.427259377195487,0.710792570802385,1,0.504540514040796
