,bin,time(ms),color change & not first & update & correct,no color change & not first & no update & correct,
207280074,1,0,0,0,
207280074,2,25,0.43787,0.40243,
207280074,3,51,0.33273,0.57315,
207280074,4,76,0.66979,0.31853,
207280074,5,101,1.0093,0.60687,
207280074,6,126,0.10861,-0.10324,
207280074,7,152,0.32258,0.14952,
207280074,8,177,0.71179,0.068779,
207280074,9,202,0.36968,-0.16933,
207280074,10,227,0.29579,0.030235,
207280074,11,253,0.68035,-0.23042,
207280074,12,278,0.60536,-0.7006,
207280074,13,303,0.6604,-0.050556,
207280074,14,328,0.70428,-0.35137,
207280074,15,354,0.49298,0.28889,
207280074,16,379,0.84395,0.16997,
207280074,17,404,0.19124,0.58181,
207280074,18,429,0.57048,-0.060373,
207280074,19,455,1.0209,0.35006,
207280074,20,480,0.80356,-0.15056,
207280074,21,505,0.74521,-0.074415,
207280074,22,531,0.55977,0.83858,
207280074,23,556,0.12919,0.72073,
207280074,24,581,0.65385,0.90844,
207280074,25,606,0.66416,0.99434,
207280074,26,632,0.47365,0.83211,
207280074,27,657,0.15403,0.97197,
207280074,28,682,0.59358,1.1296,
207280074,29,707,0.78651,0.57275,
207280074,30,733,-0.21704,1.437,
207280074,31,758,0.26137,1.2381,
207280074,32,783,0.18796,1.665,
207280074,33,808,0.9056,1.4485,
207280074,34,834,0.83175,1.473,
207280074,35,859,0.64373,2.1668,
207280074,36,884,0.029379,2.1524,
207280074,37,909,0.36548,1.9976,
207280074,38,935,0.98389,2.2623,
207280074,39,960,0.75118,2.7838,
207280074,40,985,0.365,2.2311,
207280074,41,1011,1.043,3.2158,
207280074,42,1036,0.67537,2.2833,
207280074,43,1061,1.603,2.8169,
207280074,44,1086,1.3937,1.9901,
207280074,45,1112,1.383,1.9008,
207280074,46,1137,1.9441,1.914,
207280074,47,1162,1.944,1.9392,
207280074,48,1187,1.9595,1.5809,
207280074,49,1213,1.8622,1.9568,
207280074,50,1238,2.1337,2.1369,
207280074,51,1263,1.4101,2.3708,
207280074,52,1288,2.1902,2.4168,
207280074,53,1314,2.6877,1.7293,
207280074,54,1339,2.3486,2.1337,
207280074,55,1364,3.0181,0.99451,
207280074,56,1389,3.0572,1.1291,
207280074,57,1415,2.902,1.6385,
207280074,58,1440,3.582,0.92955,
207280074,59,1465,3.1604,0.79367,
207280074,60,1491,3.4332,1.0657,
207280074,61,1516,3.5699,0.27664,
207280074,62,1541,3.7345,0.48083,
207280074,63,1566,4.2238,0.55994,
207280074,64,1592,3.9019,1.0519,
207280074,65,1617,3.8295,0.81639,
207280074,66,1642,4.401,1.2337,
207280074,67,1667,4.281,0.55554,
207280074,68,1693,3.9093,0.26484,
207280074,69,1718,4.4614,0.66283,
207280074,70,1743,4.0036,-0.073202,
207280074,71,1768,4.1824,0.59923,
207280074,72,1794,4.3849,-0.1137,
207280074,73,1819,4.0721,0.66558,
207280074,74,1844,3.8399,0.068677,
207280074,75,1869,3.85,0.13444,
207280074,76,1895,3.3203,0.38559,
207280074,77,1920,3.4437,0.29522,
207280074,78,1945,3.1847,-0.53762,
207280074,79,1971,3.123,0.33548,
207280074,80,1996,2.452,0.30208,
207280074,81,2021,2.2078,-0.87708,
207280074,82,2046,2.2025,-0.45086,
207280074,83,2072,2.0134,-0.35582,
207280074,84,2097,1.5487,-0.94954,
207280074,85,2122,0.61506,-0.57399,
207280074,86,2147,1.0372,-0.40717,
207280074,87,2173,1.295,-0.10841,
207280074,88,2198,-0.015836,-0.21391,
207280074,89,2223,-0.080025,0.14722,
207280074,90,2248,-0.4277,-0.083886,
207280074,91,2274,-0.65431,0.055697,
207280074,92,2299,-1.3776,-0.80076,
207280074,93,2324,-1.9356,-0.15916,
207280074,94,2349,-1.595,
207280074,95,2375,-1.1895,
207280074,96,2400,-1.0322,
208278119,1,0,0,0,
208278119,2,25,0.31912,-0.37647,
208278119,3,50,1.0649,0.32137,
208278119,4,76,1.5199,-0.11385,
208278119,5,101,1.0477,0.23389,
208278119,6,126,1.1962,0.60534,
208278119,7,151,1.1862,0.91572,
208278119,8,177,1.1054,1.0435,
208278119,9,202,0.55214,1.4821,
208278119,10,227,1.4086,2.3011,
208278119,11,252,1.7993,2.1399,
208278119,12,277,1.2988,2.4985,
208278119,13,303,1.2522,3.2569,
208278119,14,328,1.0102,2.6495,
208278119,15,353,0.76414,3.0186,
208278119,16,378,0.75416,2.6337,
208278119,17,404,1.2019,2.7725,
208278119,18,429,0.39122,3.6249,
208278119,19,454,1.1704,3.064,
208278119,20,479,1.5699,2.7305,
208278119,21,504,1.0729,2.9416,
208278119,22,530,0.74728,2.7652,
208278119,23,555,0.99243,2.5842,
208278119,24,580,0.72766,2.3843,
208278119,25,605,0.97597,2.081,
208278119,26,630,0.71209,2.3898,
208278119,27,656,1.294,2.1788,
208278119,28,681,0.83801,1.6123,
208278119,29,706,0.47653,1.3907,
208278119,30,731,1.1619,2.1954,
208278119,31,757,1.0867,2.434,
208278119,32,782,1.4546,1.8723,
208278119,33,807,1.6673,2.6563,
208278119,34,832,1.4838,3.4999,
208278119,35,857,1.6542,3.1035,
208278119,36,883,2.1775,2.0428,
