,bin,time(ms),not first & no update & correct,not first & update & correct,
206993057,1,0,0.0076461,-0.14225,
206993057,2,25,-0.10128,-0.13346,
206993057,3,51,-0.067325,-0.18129,
206993057,4,76,0.071855,-0.22608,
206993057,5,101,0.1097,-0.10292,
206993057,6,126,0.23025,-0.15442,
206993057,7,152,0.31865,-0.036843,
206993057,8,177,0.31706,-0.075299,
206993057,9,202,0.19361,-0.14866,
206993057,10,228,0.30218,-0.096107,
206993057,11,253,0.24072,-0.16705,
206993057,12,278,0.10082,-0.033015,
206993057,13,303,0.08782,-0.098903,
206993057,14,329,0.19361,-0.024664,
206993057,15,354,0.17138,-0.064231,
206993057,16,379,0.20342,-0.13564,
206993057,17,405,0.22775,-0.023823,
206993057,18,430,0.14314,-0.069081,
206993057,19,455,0.22459,-0.039389,
206993057,20,480,0.2765,-0.063248,
206993057,21,506,0.19591,-0.13047,
206993057,22,531,0.20382,-0.10016,
206993057,23,556,0.097716,-0.13468,
206993057,24,582,0.21158,-0.17108,
206993057,25,607,0.1914,-0.15148,
206993057,26,632,0.19689,-0.17466,
206993057,27,657,0.20227,-0.15902,
206993057,28,683,0.24385,-0.11677,
206993057,29,708,0.12724,-0.097882,
206993057,30,733,0.15249,-0.14623,
206993057,31,759,0.20944,0.017467,
206993057,32,784,0.19807,-0.1342,
206993057,33,809,0.10731,-0.090223,
206993057,34,834,0.14561,-0.092149,
206993057,35,860,0.20432,-0.085203,
206993057,36,885,0.14477,-0.098138,
206993057,37,910,0.24363,-0.083763,
206993057,38,936,0.27018,0.00011586,
206993057,39,961,0.14393,-0.053503,
206993057,40,986,0.1862,0.081885,
206993057,41,1011,0.16708,0.099779,
206993057,42,1037,0.16009,0.051746,
206993057,43,1062,0.14421,-0.13239,
206993057,44,1087,0.23071,-0.023117,
206993057,45,1113,0.18584,-0.0266,
206993057,46,1138,0.22602,-0.036947,
206993057,47,1163,0.26212,-0.023935,
206993057,48,1189,0.22314,-0.014587,
206993057,49,1214,0.235,-0.11957,
206993057,50,1239,0.28418,-0.031391,
206993057,51,1264,0.28989,-0.051534,
206993057,52,1290,0.2825,0.064134,
206993057,53,1315,0.16642,0.041073,
