,bin,time(ms),not first & no update & correct,not first & update & correct,
206993057,1,0,5.3503,5.2071,
206993057,2,25,5.2463,5.2155,
206993057,3,51,5.2787,5.1699,
206993057,4,76,5.4116,5.1271,
206993057,5,101,5.4477,5.2447,
206993057,6,126,5.5628,5.1955,
206993057,7,152,5.6472,5.3078,
206993057,8,177,5.6457,5.2711,
206993057,9,202,5.5278,5.201,
206993057,10,228,5.6315,5.2512,
206993057,11,253,5.5728,5.1835,
206993057,12,278,5.4392,5.3114,
206993057,13,303,5.4268,5.2485,
206993057,14,329,5.5278,5.3194,
206993057,15,354,5.5066,5.2816,
206993057,16,379,5.5372,5.2135,
206993057,17,405,5.5604,5.3202,
206993057,18,430,5.4796,5.277,
206993057,19,455,5.5574,5.3054,
206993057,20,480,5.607,5.2826,
206993057,21,506,5.53,5.2184,
206993057,22,531,5.5376,5.2473,
206993057,23,556,5.4363,5.2144,
206993057,24,582,5.545,5.1796,
206993057,25,607,5.5257,5.1983,
206993057,26,632,5.5309,5.1762,
206993057,27,657,5.5361,5.1911,
206993057,28,683,5.5758,5.2315,
206993057,29,708,5.4644,5.2495,
206993057,30,733,5.4886,5.2033,
206993057,31,759,5.5429,5.3596,
206993057,32,784,5.5321,5.2148,
206993057,33,809,5.4454,5.2568,
206993057,34,834,5.482,5.255,
206993057,35,860,5.538,5.2616,
206993057,36,885,5.4812,5.2493,
206993057,37,910,5.5756,5.263,
206993057,38,936,5.6009,5.3431,
206993057,39,961,5.4804,5.2919,
206993057,40,986,5.5207,5.4211,
206993057,41,1011,5.5025,5.4382,
206993057,42,1037,5.4958,5.3924,
206993057,43,1062,5.4806,5.2166,
206993057,44,1087,5.5632,5.3209,
206993057,45,1113,5.5204,5.3176,
206993057,46,1138,5.5588,5.3077,
206993057,47,1163,5.5932,5.3201,
206993057,48,1189,5.556,5.329,
206993057,49,1214,5.5673,5.2288,
206993057,50,1239,5.6143,5.313,
206993057,51,1264,5.6197,5.2938,
206993057,52,1290,5.6127,5.4042,
206993057,53,1315,5.5019,5.3822,
206993057,54,1340,5.5546,5.3896,
206993057,55,1366,5.532,5.388,
206993057,56,1391,5.6183,5.3096,
206993057,57,1416,5.5351,5.3263,
206993057,58,1441,5.5166,5.3001,
206993057,59,1467,5.5361,5.3207,
206993057,60,1492,5.5309,5.2868,
206993057,61,1517,5.5777,5.3941,
206993057,62,1543,5.6045,5.3266,
206993057,63,1568,5.5029,5.3276,
206993057,64,1593,5.4768,5.2037,
206993057,65,1618,5.6248,5.2131,
206993057,66,1644,5.4525,5.1911,
206993057,67,1669,5.4948,5.1972,
206993057,68,1694,5.4921,5.1884,
206993057,69,1720,5.608,5.2456,
206993057,70,1745,5.5639,5.3584,
206993057,71,1770,5.4988,5.3768,
206993057,72,1795,5.4733,5.2948,
206993057,73,1821,5.4495,5.2418,
206993057,74,1846,5.4876,5.2457,
206993057,75,1871,5.4762,5.2372,
206993057,76,1897,5.4691,5.321,
206993057,77,1922,5.4639,5.1357,
206993057,78,1947,5.5107,5.0135,
206993057,79,1972,5.5502,5.0102,
206993057,80,1998,5.4802,5.0794,
206993057,81,2023,5.5256,5.0401,
206993057,82,2048,5.6318,5.0547,
206993057,83,2074,5.6747,5.0519,
206993057,84,2099,5.5359,5.052,
206993057,85,2124,5.5117,4.9996,
206993057,86,2149,5.6121,5.0533,
206993057,87,2175,5.4664,5.1264,
206993057,88,2200,5.499,
207280074,1,0,3.085,3.0962,
207280074,2,25,3.0986,3.113,
207280074,3,51,3.0972,3.1159,
207280074,4,76,3.0913,3.1124,
207280074,5,101,3.1055,3.1212,
207280074,6,126,3.0903,3.1074,
207280074,7,152,3.0989,3.1155,
207280074,8,177,3.0837,3.1107,
207280074,9,202,3.0903,3.1123,
207280074,10,227,3.0929,3.1093,
207280074,11,253,3.0874,3.1166,
207280074,12,278,3.0804,3.1088,
207280074,13,303,3.0933,3.1021,
207280074,14,328,3.0815,3.1051,
207280074,15,354,3.0975,3.0989,
207280074,16,379,3.0903,3.1143,
207280074,17,404,3.0975,3.108,
207280074,18,429,3.0886,3.1098,
207280074,19,455,3.0868,3.1117,
207280074,20,480,3.0723,3.1158,
207280074,21,505,3.0762,3.1171,
207280074,22,530,3.0859,3.1003,
207280074,23,556,3.0788,3.0952,
207280074,24,581,3.0888,3.1005,
207280074,25,606,3.0834,3.1155,
207280074,26,631,3.0749,3.1045,
207280074,27,657,3.0862,3.091,
207280074,28,682,3.0832,3.0883,
207280074,29,707,3.0808,3.0943,
207280074,30,732,3.0916,3.091,
207280074,31,758,3.0843,3.085,
207280074,32,783,3.1043,3.0969,
207280074,33,808,3.0918,3.1018,
207280074,34,833,3.0974,3.0986,
207280074,35,859,3.1135,3.1011,
207280074,36,884,3.1151,3.0997,
207280074,37,909,3.1105,3.0938,
207280074,38,934,3.1206,3.1048,
207280074,39,960,3.1246,3.0982,
207280074,40,985,3.1274,3.0941,
207280074,41,1010,3.1426,3.0992,
207280074,42,1035,3.1357,3.103,
207280074,43,1061,3.137,3.1095,
207280074,44,1086,3.1305,3.1074,
207280074,45,1111,3.1299,3.1132,
207280074,46,1136,3.1231,3.1256,
207280074,47,1162,3.1332,3.1406,
207280074,48,1187,3.1249,3.1337,
207280074,49,1212,3.1382,3.1374,
207280074,50,1237,3.1407,3.1339,
207280074,51,1263,3.1419,3.1286,
207280074,52,1288,3.1363,3.1483,
207280074,53,1313,3.1359,3.1628,
207280074,54,1338,3.1406,3.1617,
207280074,55,1364,3.1244,3.1642,
207280074,56,1389,3.1165,3.1738,
207280074,57,1414,3.1225,3.1647,
207280074,58,1439,3.1097,3.1772,
207280074,59,1465,3.1077,3.1755,
207280074,60,1490,3.1124,3.1815,
207280074,61,1515,3.0929,3.1802,
207280074,62,1540,3.0898,3.1791,
207280074,63,1566,3.0923,3.1835,
207280074,64,1591,3.0919,3.1798,
207280074,65,1616,3.0873,3.1736,
207280074,66,1641,3.0919,3.1777,
207280074,67,1667,3.083,3.1744,
207280074,68,1692,3.0738,3.1733,
207280074,69,1717,3.0765,3.1767,
207280074,70,1742,3.07,3.1783,
207280074,71,1768,3.0854,3.1685,
207280074,72,1793,3.0642,3.1682,
207280074,73,1818,3.0877,3.1676,
207280074,74,1843,3.0707,3.1627,
207280074,75,1869,3.0564,3.1653,
207280074,76,1894,3.0565,3.1451,
207280074,77,1919,3.0552,3.1443,
207280074,78,1944,3.0443,3.1543,
207280074,79,1970,3.0525,3.15,
207280074,80,1995,3.0591,3.1439,
207280074,81,2020,3.0368,3.1426,
207280074,82,2045,3.0429,3.1393,
207280074,83,2071,3.0468,3.1422,
207280074,84,2096,3.0332,3.1185,
207280074,85,2121,3.0379,3.1137,
207280074,86,2146,3.0449,3.1145,
207280074,87,2172,3.0484,3.1101,
207280074,88,2197,3.0454,3.0941,
207280074,89,2222,3.0534,3.0898,
207280074,90,2247,3.0508,3.0798,
207280074,91,2273,3.0577,3.0815,
207280074,92,2298,3.0303,3.0748,
207280074,93,2323,3.042,3.0844,
207280074,94,2348,3.0401,3.0995,
207280074,95,2374,3.0504,3.0955,
207280074,96,2399,3.048,3.0865,
207280074,97,2424,3.0734,3.0777,
207280074,98,2449,3.0591,
207280074,99,2475,3.0759,
207280074,100,2500,3.0786,
207601006,1,0,2.5051,2.4693,
207601006,2,25,2.5388,2.5046,
207601006,3,50,2.5484,2.5194,
207601006,4,76,2.5468,2.4338,
207601006,5,101,2.5409,2.4832,
207601006,6,126,2.511,2.469,
207601006,7,151,2.5013,2.5147,
207601006,8,177,2.5066,2.472,
207601006,9,202,2.5022,2.4792,
207601006,10,227,2.5182,2.5291,
207601006,11,252,2.5207,2.4678,
207601006,12,278,2.5304,2.4707,
207601006,13,303,2.5169,2.4806,
207601006,14,328,2.5277,2.5088,
207601006,15,353,2.4973,2.4716,
207601006,16,379,2.5279,2.4674,
207601006,17,404,2.5079,2.4573,
207601006,18,429,2.4949,2.4662,
207601006,19,454,2.4988,2.5064,
207601006,20,480,2.5249,2.4605,
207601006,21,505,2.5841,2.4672,
207601006,22,530,2.5136,2.4698,
207601006,23,555,2.5594,2.4665,
207601006,24,581,2.5312,2.492,
207601006,25,606,2.5478,2.4518,
207601006,26,631,2.5347,2.4829,
207601006,27,656,2.5375,2.4314,
207601006,28,682,2.4959,2.4342,
207601006,29,707,2.5442,2.4974,
207601006,30,732,2.5442,2.4835,
207601006,31,757,2.5415,2.4479,
207601006,32,783,2.5338,2.4606,
207601006,33,808,2.525,2.4359,
207601006,34,833,2.5065,2.4771,
207601006,35,858,2.4996,2.4461,
207601006,36,884,2.5325,2.4595,
207601006,37,909,2.4892,2.5114,
207601006,38,934,2.5489,2.4747,
207601006,39,959,2.5089,2.4829,
207601006,40,985,2.5204,2.482,
207601006,41,1010,2.5269,2.4777,
207601006,42,1035,2.4984,2.4725,
207601006,43,1060,2.4996,2.4348,
207601006,44,1086,2.514,2.4402,
207601006,45,1111,2.4637,2.4606,
207601006,46,1136,2.5206,2.4938,
207601006,47,1161,2.5166,2.4952,
207601006,48,1187,2.4945,2.461,
207601006,49,1212,2.5127,2.4819,
207601006,50,1237,2.489,2.4387,
207601006,51,1262,2.4731,2.4687,
207601006,52,1288,2.4928,2.4681,
207601006,53,1313,2.5,2.473,
207601006,54,1338,2.4328,2.4986,
207601006,55,1363,2.4771,2.4632,
207601006,56,1389,2.4703,2.4954,
207601006,57,1414,2.5149,2.4665,
207601006,58,1439,2.5235,2.4641,
207601006,59,1464,2.4926,2.4667,
207601006,60,1490,2.5086,2.465,
207601006,61,1515,2.5623,2.5059,
207601006,62,1540,2.5227,2.5187,
207601006,63,1565,2.4794,2.5169,
207601006,64,1591,2.525,2.4813,
207601006,65,1616,2.5147,2.5401,
207601006,66,1641,2.5513,2.5365,
207601006,67,1666,2.5604,2.4978,
207601006,68,1692,2.5389,2.4894,
207601006,69,1717,2.5269,2.5447,
207601006,70,1742,2.527,2.5313,
207601006,71,1767,2.5337,2.5225,
207601006,72,1793,2.5324,2.5154,
207601006,73,1818,2.4958,2.4818,
207601006,74,1843,2.5671,2.5162,
207601006,75,1868,2.5316,2.5116,
207601006,76,1894,2.5158,2.4901,
207601006,77,1919,2.5432,2.4887,
207601006,78,1944,2.5451,2.5139,
207601006,79,1969,2.5442,2.5201,
207601006,80,1995,2.4998,2.5371,
207601006,81,2020,2.5125,2.4929,
207601006,82,2045,2.541,2.4719,
207601006,83,2070,2.466,2.4739,
207601006,84,2096,2.5388,2.4399,
207601006,85,2121,2.4996,2.4493,
207601006,86,2146,2.519,2.4499,
207601006,87,2171,2.5254,2.4656,
207601006,88,2197,2.5285,2.4284,
207601006,89,2222,2.5193,2.4543,
207601006,90,2247,2.5478,2.4435,
207601006,91,2272,2.5172,2.4634,
207601006,92,2298,2.556,2.4824,
207601006,93,2323,2.5193,2.4512,
207601006,94,2348,2.5207,2.4443,
207601006,95,2373,2.5193,2.4628,
207601006,96,2399,2.5178,2.5074,
207601006,97,2424,2.496,2.4158,
207601006,98,2449,2.5018,2.4741,
207601006,99,2474,2.5586,
207601006,100,2500,2.5047,
207601006,101,2525,2.5046,
207601006,102,2550,2.48,
207917279,1,0,3.1148,3.1159,
207917279,2,25,3.1272,3.0586,
207917279,3,50,3.13,3.1403,
207917279,4,76,3.1467,3.1643,
207917279,5,101,3.1568,3.1276,
207917279,6,126,3.144,3.1627,
207917279,7,151,3.1519,3.1233,
207917279,8,177,3.1594,3.1534,
207917279,9,202,3.1476,3.1256,
207917279,10,227,3.1804,3.132,
207917279,11,252,3.1922,3.1341,
207917279,12,278,3.1922,3.1926,
207917279,13,303,3.1882,3.2435,
207917279,14,328,3.2046,3.2251,
207917279,15,353,3.1835,3.2593,
207917279,16,379,3.2151,3.2618,
207917279,17,404,3.2185,3.2598,
207917279,18,429,3.1736,3.2763,
207917279,19,454,3.1806,3.2719,
207917279,20,479,3.1817,3.2241,
207917279,21,505,3.1506,3.2199,
207917279,22,530,3.1736,3.2576,
207917279,23,555,3.1614,3.2101,
207917279,24,580,3.1332,3.2296,
207917279,25,606,3.1293,3.2,
207917279,26,631,3.1153,3.217,
207917279,27,656,3.1103,3.1953,
207917279,28,681,3.1213,3.1731,
207917279,29,707,3.1141,3.1596,
207917279,30,732,3.1148,3.1455,
207917279,31,757,3.1001,3.1304,
207917279,32,782,3.0863,3.1136,
207917279,33,808,3.0823,3.0899,
207917279,34,833,3.08,3.1685,
207917279,35,858,3.0812,3.1453,
207917279,36,883,3.1023,3.154,
207917279,37,908,3.1136,3.1178,
207917279,38,934,3.1174,3.1407,
207917279,39,959,3.0813,3.1696,
207917279,40,984,3.1068,3.1192,
207917279,41,1009,3.1155,3.0974,
207917279,42,1035,3.1081,3.0914,
207917279,43,1060,3.129,3.1327,
207917279,44,1085,3.1213,3.1372,
207917279,45,1110,3.1321,3.1611,
207917279,46,1136,3.134,3.1273,
207917279,47,1161,3.1288,3.118,
207917279,48,1186,3.1263,3.1722,
207917279,49,1211,3.1365,3.1639,
207917279,50,1237,3.1324,3.1982,
207917279,51,1262,3.1466,3.1821,
207917279,52,1287,3.1622,3.2091,
207917279,53,1312,3.1518,3.1527,
207917279,54,1338,3.1381,3.1976,
207917279,55,1363,3.1661,3.1628,
207917279,56,1388,3.1295,3.1432,
207917279,57,1413,3.1244,3.1243,
207917279,58,1438,3.1588,3.134,
207917279,59,1464,3.1413,3.1397,
207917279,60,1489,3.1409,3.1369,
207917279,61,1514,3.149,3.1733,
207917279,62,1539,3.1321,3.1606,
207917279,63,1565,3.1453,3.2209,
207917279,64,1590,3.141,3.2071,
207917279,65,1615,3.1291,3.1496,
207917279,66,1640,3.129,3.2332,
207917279,67,1666,3.1253,3.2238,
207917279,68,1691,3.1378,3.2278,
207917279,69,1716,3.1442,3.176,
207917279,70,1741,3.0852,3.1991,
207917279,71,1767,3.1173,3.2008,
207917279,72,1792,3.1117,3.1269,
207917279,73,1817,3.1097,3.2063,
207917279,74,1842,3.114,3.1651,
207917279,75,1867,3.1031,3.2296,
207917279,76,1893,3.097,3.2123,
207917279,77,1918,3.0865,3.1627,
207917279,78,1943,3.0645,3.1974,
207917279,79,1968,3.087,3.2276,
207917279,80,1994,3.0844,3.2295,
207917279,81,2019,3.0819,3.2288,
207917279,82,2044,3.0961,3.1669,
207917279,83,2069,3.0748,3.2119,
207917279,84,2095,3.0672,3.2232,
207917279,85,2120,3.0786,3.2322,
207917279,86,2145,3.0543,3.2467,
207917279,87,2170,3.0747,3.2328,
207917279,88,2196,3.0747,3.2244,
207917279,89,2221,3.0849,3.2046,
207917279,90,2246,3.0804,3.2134,
207917279,91,2271,3.0831,3.1725,
207917279,92,2296,3.0996,3.2118,
207917279,93,2322,3.077,3.2219,
207917279,94,2347,3.0751,3.2163,
207917279,95,2372,3.0716,3.2004,
207917279,96,2397,3.0863,3.2088,
207917279,97,2423,3.0859,3.215,
207917279,98,2448,3.0713,3.1983,
207917279,99,2473,3.0737,3.2206,
207917279,100,2498,3.0802,3.1823,
207917279,101,2524,3.0808,3.2125,
