,bin,time(ms),color change & not first & correct,no color change & not first & correct,
206993057,1,0,0,0,
206993057,2,25,2.3543e-05,0.85943,
206993057,3,51,0.075349,-0.038881,
206993057,4,76,3.6738,-0.22487,
206993057,5,101,6.6525,-0.72399,
206993057,6,126,7.7459,0.65765,
206993057,7,152,9.4049,2.6452,
206993057,8,177,8.1877,2.72,
206993057,9,202,7.3263,-0.6991,
206993057,10,228,8.8339,0.44174,
206993057,11,253,7.758,-1.4699,
206993057,12,278,5.2574,0.83333,
206993057,13,303,5.3511,-0.38403,
206993057,14,329,7.4983,1.3449,
206993057,15,354,5.1753,1.9904,
206993057,16,379,6.0091,-0.35402,
206993057,17,405,6.3826,2.7013,
206993057,18,430,6.225,0.49303,
206993057,19,455,7.4865,0.94386,
206993057,20,480,10.2393,-0.97552,
206993057,21,506,7.8278,-0.027888,
206993057,22,531,9.3395,-0.94741,
206993057,23,556,6.0716,-1.8493,
206993057,24,582,6.0071,-0.31136,
206993057,25,607,6.6986,-0.72679,
206993057,26,632,6.371,-2.2598,
206993057,27,657,6.4683,-1.2046,
206993057,28,683,7.8414,-0.24661,
206993057,29,708,7.9792,-3.0815,
206993057,30,733,6.6671,-2.1481,
206993057,31,759,8.3051,0.47486,
206993057,32,784,6.7883,-2.2574,
206993057,33,809,4.8461,-0.10097,
206993057,34,834,4.8711,0.61298,
206993057,35,860,7.414,-0.39374,
206993057,36,885,5.2169,0.73705,
206993057,37,910,7.0081,1.0018,
206993057,38,936,7.6117,2.2414,
206993057,39,961,6.5648,-0.57118,
206993057,40,986,6.9799,2.5457,
206993057,41,1011,7.9782,1.2527,
206993057,42,1037,7.8449,0.68405,
206993057,43,1062,6.809,-1.8431,
206993057,44,1087,8.5795,-0.45095,
206993057,45,1113,7.4574,0.016276,
206993057,46,1138,8.7468,-0.14298,
206993057,47,1163,9.5235,0.95195,
206993057,48,1188,8.3745,1.6296,
206993057,49,1214,8.2526,-0.43121,
206993057,50,1239,9.5629,0.77502,
206993057,51,1264,8.083,1.7589,
206993057,52,1289,6.8046,4.6394,
206993057,53,1315,4.3491,4.8726,
206993057,54,1340,6.5718,3.8002,
206993057,55,1365,5.5761,4.5062,
206993057,56,1391,6.3488,2.8626,
206993057,57,1416,5.4985,2.5011,
206993057,58,1441,4.457,3.1793,
206993057,59,1466,5.8126,3.3205,
206993057,60,1492,5.9365,2.7151,
206993057,61,1517,7.0351,4.582,
206993057,62,1542,6.9234,4.3034,
206993057,63,1568,6.8898,1.7295,
206993057,64,1593,4.3657,0.87102,
206993057,65,1618,7.1482,1.4576,
206993057,66,1643,6.748,-1.6355,
206993057,67,1669,5.5818,0.60997,
206993057,68,1694,5.3044,-0.40878,
206993057,69,1719,6.3198,1.951,
206993057,70,1745,7.6029,2.0386,
206993057,71,1770,6.992,1.2596,
206993057,72,1795,6.3388,-0.1414,
206993057,73,1820,5.2762,-0.23311,
206993057,74,1846,5.2291,1.6184,
206993057,75,1871,5.9304,0.20379,
