bin,x_axis,tValues,pValues,pValues_bonf,BFs
1,0,NaN,NaN,1,NaN
2,25.2475247524752,-0.700270756364378,0.498301890297823,1,0.354432468895102
3,50.4950495049505,-0.00710111937253104,0.994461323142628,1,0.287382377451897
4,75.7425742574257,0.448704452111277,0.662355467415641,1,0.31357018170425
5,100.990099009901,0.137625196048592,0.893023504246869,1,0.2897639474951
6,126.237623762376,-0.19642856047503,0.847856698947797,1,0.292256970419561
7,151.485148514851,0.655701997966204,0.525492671607054,1,0.345559971481949
8,176.732673267327,0.299266487538073,0.770315248333361,1,0.298805572916453
9,201.980198019802,0.599363131857481,0.561072618373576,1,0.335402584715372
10,227.227722772277,0.952826478404807,0.361146570253753,1,0.420757599447548
11,252.475247524752,0.469712400200062,0.647734362506394,1,0.316176008863496
12,277.722772277228,0.326735660166381,0.750000532825136,1,0.301040531284307
13,302.970297029703,0.623948128696118,0.545383598781588,1,0.339693667470403
14,328.217821782178,0.258384599814598,0.800880841847265,1,0.295862717721446
15,353.465346534653,-0.220713097611144,0.829359015396652,1,0.293549214054334
16,378.712871287129,0.00588259379047559,0.995411726222078,1,0.287380389334046
17,403.960396039604,-0.584903117028102,0.570415651588,1,0.332978469998598
18,429.207920792079,-0.412148858882122,0.688148063632947,1,0.309356422465377
19,454.455445544554,0.0854081008577906,0.933471660375791,1,0.288293838416524
20,479.70297029703,0.406945571593079,0.691854252225843,1,0.3087891888209
21,504.950495049505,0.426989457057928,0.677624566322723,1,0.311018566256824
22,530.19801980198,0.243976893400412,0.811739378941641,1,0.294933217352578
23,555.445544554455,0.584498896915957,0.570678042037016,1,0.332911752754001
24,580.693069306931,-0.266912300064145,0.794474305059044,1,0.296439149434991
25,605.940594059406,-0.294066295336106,0.774181911627635,1,0.298405942656367
26,631.188118811881,0.117635059101235,0.908477305862994,1,0.289119102085784
27,656.435643564356,-0.519486336118337,0.613714124910463,1,0.322903318823393
28,681.683168316832,-0.180836496890952,0.859784676942563,1,0.291508653570163
29,706.930693069307,0.0525620354935622,0.95902327206384,1,0.287723379815663
30,732.178217821782,0.622755049998226,0.546139202090524,1,0.339480431324905
31,757.425742574257,-0.158698107265018,0.87678282170402,1,0.290554618485761
32,782.673267326733,0.140680624801369,0.890665349917848,1,0.289871518794534
33,807.920792079208,-0.620592325200839,0.547510412217867,1,0.339095201298463
34,833.168316831683,-0.621248736312051,0.547094029305417,1,0.339211944788814
35,858.415841584158,-0.341909071115734,0.738862234073347,1,0.302365347877076
36,883.663366336634,-0.13622158692467,0.894107161503201,1,0.289715333263371
37,908.910891089109,0.208060994119748,0.838983508290921,1,0.292856628690548
38,934.158415841584,0.22363090855984,0.827143506673423,1,0.293714928341547
39,959.405940594059,-0.264414513061751,0.796349183195394,1,0.296268280568244
40,984.653465346535,-0.397242968574221,0.698787692070353,1,0.307752840544605
41,1009.90099009901,0.00539856475271435,0.995789252400015,1,0.287379703163479
42,1035.14851485149,0.0335831307722381,0.973811216178946,1,0.287517792760625
43,1060.39603960396,0.283086949815648,0.782366647078244,1,0.29758652051615
44,1085.64356435644,0.195687004109514,0.848423117635829,1,0.292219944050302
45,1110.89108910891,-0.00701066026969064,0.994531877473703,1,0.287382217037363
46,1136.13861386139,-0.0260311128367812,0.979698766423826,1,0.287461201349371
47,1161.38613861386,0.504401777614485,0.623929533704576,1,0.320780990398551
48,1186.63366336634,-0.203110476807927,0.842756973283922,1,0.292597092003323
49,1211.88118811881,0.385741490864082,0.707043859095752,1,0.306560158383873
50,1237.12871287129,0.448643811036217,0.662397889661217,1,0.313562856388345
51,1262.37623762376,0.296626477188762,0.77227745192838,1,0.298601762246204
52,1287.62376237624,-0.644911307070435,0.532204325164325,1,0.343524840654528
53,1312.87128712871,-0.471824272226868,0.647178736323165,1,0.327379089541737
54,1338.11881188119,0.0255457924558195,0.98012221414171,1,0.297587618644622
55,1363.36633663366,0.0902457212634723,0.929873963087691,1,0.298557953719591
56,1388.61386138614,0.0455092027935454,0.964597417304638,1,0.297771159190359
57,1413.86138613861,0.972066052701959,0.353943005817055,1,0.440356102878435
58,1439.10891089109,0.991273341547185,0.344931265283146,1,0.446978352027282
59,1464.35643564356,0.519788950213243,0.614521200285258,1,0.334049069498964
60,1489.60396039604,0.8871424130308,0.395837207512839,1,0.413440984513198
61,1514.85148514851,0.492787800262178,0.632802954027318,1,0.330202327872993
