,bin,time(ms),no color change & no update & correct,no color change & update & correct,
209154863,1,0,3.7036,3.7074,
209154863,2,25,3.7153,3.7023,
209154863,3,50,3.7122,3.7058,
209154863,4,76,3.7013,3.6877,
209154863,5,101,3.6982,3.693,
209154863,6,126,3.7012,3.6975,
209154863,7,151,3.6853,3.6922,
209154863,8,176,3.7052,3.6901,
209154863,9,202,3.6895,3.6932,
209154863,10,227,3.6906,3.6902,
209154863,11,252,3.689,3.6831,
209154863,12,277,3.6899,3.6962,
209154863,13,302,3.6962,3.6944,
209154863,14,327,3.6913,3.6933,
209154863,15,353,3.7001,3.7027,
209154863,16,378,3.6944,3.6983,
209154863,17,403,3.6964,3.7045,
209154863,18,428,3.6951,3.6978,
209154863,19,453,3.6855,3.7029,
209154863,20,479,3.6861,3.6992,
209154863,21,504,3.6962,3.7125,
209154863,22,529,3.6919,3.7007,
209154863,23,554,3.6901,3.7092,
209154863,24,579,3.6899,3.7047,
209154863,25,605,3.6986,3.7021,
209154863,26,630,3.699,3.712,
209154863,27,655,3.699,3.7159,
209154863,28,680,3.6867,3.7131,
209154863,29,705,3.7112,3.7068,
209154863,30,730,3.7112,3.7069,
209154863,31,756,3.7012,3.7231,
209154863,32,781,3.6989,3.7123,
209154863,33,806,3.7031,3.7131,
209154863,34,831,3.7073,3.7176,
209154863,35,856,3.7163,3.7216,
209154863,36,882,3.7186,3.7241,
209154863,37,907,3.7278,3.7239,
209154863,38,932,3.7303,3.7279,
209154863,39,957,3.7254,3.7254,
209154863,40,982,3.7197,3.7406,
209154863,41,1008,3.7257,3.7367,
209154863,42,1033,3.742,3.7446,
209154863,43,1058,3.7416,3.7411,
209154863,44,1083,3.7366,3.7519,
209154863,45,1108,3.7413,3.7501,
209154863,46,1134,3.756,3.7635,
209154863,47,1159,3.7604,3.7506,
209154863,48,1184,3.7524,3.7572,
209154863,49,1209,3.768,3.7692,
209154863,50,1234,3.7692,3.7732,
209154863,51,1259,3.7781,3.7683,
209154863,52,1285,3.7867,3.7709,
209154863,53,1310,3.7864,3.7721,
209154863,54,1335,3.7834,3.7793,
209154863,55,1360,3.7862,3.7866,
209154863,56,1385,3.7894,3.7867,
209154863,57,1411,3.7942,3.7961,
209154863,58,1436,3.7841,3.7957,
209154863,59,1461,3.7832,3.7995,
209154863,60,1486,3.7849,3.7972,
209154863,61,1511,3.787,3.7887,
209154863,62,1537,3.784,3.791,
209154863,63,1562,3.7731,3.786,
209154863,64,1587,3.7648,3.7818,
209154863,65,1612,3.7546,3.7771,
209154863,66,1637,3.7479,3.7767,
209154863,67,1663,3.7391,3.7705,
209154863,68,1688,3.7348,3.7669,
209154863,69,1713,3.7182,3.76,
209154863,70,1738,3.7242,3.7697,
209154863,71,1763,3.7165,3.7583,
209154863,72,1788,3.7075,3.7496,
209154863,73,1814,3.7085,3.7536,
209154863,74,1839,3.7137,3.7541,
209154863,75,1864,3.6996,3.744,
209154863,76,1889,3.707,3.7483,
209154863,77,1914,3.7172,3.7446,
209154863,78,1940,3.7011,3.7409,
209154863,79,1965,3.7059,3.7538,
209154863,80,1990,3.7122,3.7472,
209154863,81,2015,3.6917,3.7575,
