,bin,time(ms),color change & correct,no color change & correct,
209154863,1,0,3.688,3.7062,
209154863,2,25,3.6804,3.7066,
209154863,3,50,3.6796,3.7079,
209154863,4,76,3.6691,3.6922,
209154863,5,101,3.673,3.6947,
209154863,6,126,3.662,3.6987,
209154863,7,151,3.6642,3.6899,
209154863,8,176,3.6515,3.695,
209154863,9,202,3.6548,3.692,
209154863,10,227,3.646,3.6904,
209154863,11,252,3.6474,3.685,
209154863,12,277,3.6396,3.6941,
209154863,13,302,3.637,3.695,
209154863,14,327,3.6416,3.6927,
209154863,15,353,3.6342,3.7018,
209154863,16,378,3.6226,3.697,
209154863,17,403,3.6204,3.7019,
209154863,18,428,3.617,3.6969,
209154863,19,453,3.6241,3.6972,
209154863,20,479,3.6231,3.6949,
209154863,21,504,3.6102,3.7071,
209154863,22,529,3.6188,3.6978,
209154863,23,554,3.6206,3.7029,
209154863,24,579,3.6178,3.6999,
209154863,25,605,3.6147,3.7009,
209154863,26,630,3.6248,3.7077,
209154863,27,655,3.626,3.7103,
209154863,28,680,3.6263,3.7044,
209154863,29,705,3.631,3.7082,
209154863,30,731,3.6316,3.7083,
209154863,31,756,3.6236,3.716,
209154863,32,781,3.6415,3.708,
209154863,33,806,3.6334,3.7099,
209154863,34,831,3.6395,3.7143,
209154863,35,856,3.6482,3.7199,
209154863,36,882,3.6375,3.7224,
209154863,37,907,3.6481,3.7251,
209154863,38,932,3.6439,3.7287,
209154863,39,957,3.6519,3.7254,
209154863,40,982,3.6518,3.7338,
209154863,41,1008,3.6513,3.7331,
209154863,42,1033,3.6594,3.7437,
209154863,43,1058,3.6712,3.7413,
209154863,44,1083,3.6739,3.7469,
209154863,45,1108,3.6758,3.7473,
209154863,46,1134,3.6769,3.7611,
209154863,47,1159,3.6837,3.7537,
209154863,48,1184,3.6902,3.7556,
209154863,49,1209,3.6836,3.7688,
209154863,50,1234,3.6879,3.7719,
209154863,51,1260,3.6892,3.7714,
209154863,52,1285,3.7004,3.776,
209154863,53,1310,3.7013,3.7767,
209154863,54,1335,3.702,3.7806,
209154863,55,1360,3.7091,3.7865,
209154863,56,1385,3.7154,3.7876,
209154863,57,1411,3.7122,3.7955,
209154863,58,1436,3.7141,3.7919,
209154863,59,1461,3.7184,3.7942,
209154863,60,1486,3.7142,3.7932,
209154863,61,1511,3.705,3.7882,
209154863,62,1537,3.7008,3.7887,
209154863,63,1562,3.6973,3.7818,
209154863,64,1587,3.6965,3.7763,
209154863,65,1612,3.6807,3.7698,
209154863,66,1637,3.6714,3.7674,
209154863,67,1663,3.6648,3.7603,
209154863,68,1688,3.6579,3.7565,
