,bin,time(ms),not first & no update & correct,not first & update & correct,
206993057,1,0,0,0,
206993057,2,25,-0.096005,0.011326,
206993057,3,51,-0.075417,-0.039803,
206993057,4,76,0.069182,-0.043377,
206993057,5,101,0.10227,0.056438,
206993057,6,126,0.21864,0.0082082,
206993057,7,152,0.31065,0.10476,
206993057,8,177,0.30079,0.05699,
206993057,9,202,0.17445,-0.023073,
206993057,10,228,0.30286,-0.0068474,
206993057,11,253,0.2225,-0.073601,
206993057,12,278,0.079008,0.058252,
206993057,13,303,0.10387,-0.019349,
206993057,14,329,0.21372,0.057059,
206993057,15,354,0.16874,0.015629,
206993057,16,379,0.18712,-0.058488,
206993057,17,405,0.20967,0.062233,
206993057,18,430,0.14729,0.0094847,
206993057,19,455,0.20941,0.042045,
206993057,20,480,0.28974,0.019985,
206993057,21,506,0.18804,-0.020109,
206993057,22,531,0.23567,-0.0086613,
206993057,23,556,0.10813,-0.057985,
206993057,24,582,0.1932,-0.095252,
206993057,25,607,0.17589,-0.073514,
206993057,26,632,0.13585,-0.095896,
206993057,27,657,0.15264,-0.06874,
206993057,28,683,0.19218,-0.0080886,
206993057,29,708,0.068792,0.0117,
206993057,30,733,0.093308,-0.073357,
206993057,31,759,0.15484,0.10201,
206993057,32,784,0.13712,-0.059577,
206993057,33,809,0.037212,-0.0065368,
206993057,34,834,0.10077,-0.01274,
206993057,35,860,0.15135,-0.00088241,
206993057,36,885,0.092186,-8.4113e-05,
206993057,37,910,0.18703,0.007859,
206993057,38,936,0.21199,0.081096,
206993057,39,961,0.082263,0.022888,
206993057,40,986,0.13403,0.15596,
206993057,41,1011,0.10622,0.17278,
206993057,42,1037,0.11729,0.12836,
206993057,43,1062,0.10033,-0.041642,
206993057,44,1087,0.17206,0.067631,
206993057,45,1113,0.1223,0.064148,
206993057,46,1138,0.1802,0.053801,
206993057,47,1163,0.21915,0.066813,
206993057,48,1189,0.21343,0.076161,
206993057,49,1214,0.23932,-0.028825,
206993057,50,1239,0.26922,0.059357,
206993057,51,1264,0.28657,0.039214,
206993057,52,1290,0.2458,0.15488,
206993057,53,1315,0.13482,0.13182,
206993057,54,1340,0.19008,0.1396,
206993057,55,1366,0.16637,0.13792,
206993057,56,1391,0.21163,0.055801,
206993057,57,1416,0.12444,0.0733,
206993057,58,1441,0.1051,0.072776,
206993057,59,1467,0.1393,0.094294,
206993057,60,1492,0.13388,0.058806,
206993057,61,1517,0.18282,0.17115,
206993057,62,1543,0.2303,0.10055,
206993057,63,1568,0.14137,0.10994,
206993057,64,1593,0.11403,-0.019923,
206993057,65,1618,0.26902,-0.010546,
206993057,66,1644,0.088606,-0.012646,
206993057,67,1669,0.14778,-0.0062584,
206993057,68,1694,0.090543,-0.015391,
206993057,69,1720,0.21199,0.044512,
206993057,70,1745,0.16576,0.16262,
206993057,71,1770,0.097562,0.18191,
206993057,72,1795,0.070925,0.095998,
206993057,73,1821,0.045955,0.040476,
206993057,74,1846,0.085871,0.07438,
206993057,75,1871,0.073928,0.042626,
206993057,76,1897,0.087694,0.15808,
206993057,77,1922,0.030682,-0.035966,
206993057,78,1947,0.094339,-0.16393,
206993057,79,1972,0.1357,-0.16744,
206993057,80,1998,0.062395,-0.14027,
206993057,81,2023,0.081118,-0.18145,
206993057,82,2048,0.19234,-0.15371,
206993057,83,2074,0.23721,-0.13,
206993057,84,2099,0.091873,-0.12987,
206993057,85,2124,0.066573,-0.18481,
206993057,86,2149,0.17171,-0.19086,
206993057,87,2175,0.031071,-0.11428,
206993057,88,2200,0.11985,
207280074,1,0,0,0,
207280074,2,25,0.027012,0.054497,
207280074,3,51,0.053857,0.10164,
207280074,4,76,0.022285,0.087418,
207280074,5,101,0.095003,0.13501,
207280074,6,126,0.013667,0.060456,
207280074,7,152,0.059127,0.10299,
207280074,8,177,-0.017349,0.075916,
207280074,9,202,0.019342,0.084186,
207280074,10,227,0.035189,0.0686,
207280074,11,253,0.0092753,0.10694,
207280074,12,278,-0.026166,0.06599,
207280074,13,303,0.045225,0.031101,
207280074,14,328,-0.016208,0.046496,
207280074,15,354,0.06509,0.014287,
207280074,16,379,0.032012,0.096475,
207280074,17,404,0.06025,0.063304,
207280074,18,429,0.022373,0.072854,
207280074,19,455,0.012701,0.082969,
207280074,20,480,-0.062909,0.10435,
207280074,21,505,-0.04192,0.11119,
207280074,22,530,0.010923,0.023096,
207280074,23,556,-0.029522,-0.0036705,
207280074,24,581,0.024401,0.024431,
207280074,25,606,-0.0021517,0.10238,
207280074,26,631,-0.049419,0.045086,
207280074,27,657,0.0077314,-0.025342,
207280074,28,682,-0.005034,-0.039579,
207280074,29,707,-0.020228,-0.0080658,
207280074,30,732,0.040098,-0.025367,
207280074,31,758,0.00019602,-0.05692,
207280074,32,783,0.11402,0.0051521,
207280074,33,808,0.045936,0.031023,
207280074,34,833,0.071206,0.014483,
207280074,35,859,0.15706,0.027243,
207280074,36,884,0.16086,0.020031,
207280074,37,909,0.13753,-0.011043,
207280074,38,934,0.19659,0.046549,
207280074,39,960,0.21381,0.012311,
207280074,40,985,0.21655,-0.0091012,
207280074,41,1010,0.29829,0.017543,
207280074,42,1035,0.25706,0.03727,
207280074,43,1061,0.26645,0.071096,
207280074,44,1086,0.21444,0.06044,
207280074,45,1111,0.21053,0.090796,
207280074,46,1136,0.17566,0.15744,
207280074,47,1162,0.22938,0.23609,
207280074,48,1187,0.17547,0.20006,
207280074,49,1212,0.24757,0.21927,
207280074,50,1237,0.26087,0.20083,
207280074,51,1263,0.26663,0.17331,
207280074,52,1288,0.23894,0.27684,
207280074,53,1313,0.23596,0.35227,
207280074,54,1338,0.26773,0.34657,
207280074,55,1364,0.17898,0.35949,
207280074,56,1389,0.13601,0.40983,
207280074,57,1414,0.16913,0.36253,
207280074,58,1439,0.1065,0.42794,
207280074,59,1465,0.093308,0.41862,
207280074,60,1490,0.11913,0.44998,
207280074,61,1515,0.011602,0.4434,
207280074,62,1540,0.009655,0.43751,
207280074,63,1566,-0.0020347,0.46049,
207280074,64,1591,0.012373,0.44118,
207280074,65,1616,-0.026986,0.40895,
207280074,66,1641,0.0087376,0.44275,
207280074,67,1667,-0.050748,0.42564,
207280074,68,1692,-0.086464,0.41965,
207280074,69,1717,-0.070827,0.43767,
207280074,70,1742,-0.10875,0.44608,
207280074,71,1768,-0.031988,0.39476,
207280074,72,1793,-0.13944,0.39323,
207280074,73,1818,-0.011729,0.37346,
207280074,74,1843,-0.10529,0.34765,
207280074,75,1869,-0.20097,0.36123,
207280074,76,1894,-0.20402,0.25448,
207280074,77,1919,-0.20082,0.25019,
