,bin,time(ms),no color change & not first & no update & correct,no color change & not first & update & correct,
318657061,1,0,0,0,
318657061,2,25,-0.022406,0.069668,
318657061,3,50,-0.041098,0.011926,
318657061,4,76,-0.050905,0.046469,
318657061,5,101,-0.051685,0.06196,
318657061,6,126,0.0013739,0.073019,
318657061,7,151,-0.054612,0.071273,
318657061,8,176,-0.0368,0.084263,
318657061,9,202,-0.038512,0.12595,
318657061,10,227,-0.00071479,0.13187,
318657061,11,252,0.017802,0.12516,
318657061,12,277,-0.010944,0.14569,
318657061,13,303,-0.021401,0.17025,
318657061,14,328,0.018079,0.20021,
318657061,15,353,-0.061746,0.22616,
318657061,16,378,-0.09082,0.19515,
318657061,17,403,-0.062755,0.24263,
318657061,18,429,-0.085279,0.20453,
318657061,19,454,-0.059657,0.18653,
318657061,20,479,-0.11123,0.18652,
318657061,21,504,-0.058231,0.23034,
318657061,22,529,-0.13671,0.1992,
318657061,23,555,-0.16336,0.19986,
318657061,24,580,-0.14522,0.2123,
318657061,25,605,-0.12908,0.2471,
318657061,26,630,-0.12223,0.24681,
318657061,27,655,-0.11114,0.25897,
318657061,28,681,-0.12919,0.22094,
318657061,29,706,-0.091642,0.24142,
318657061,30,731,-0.10749,0.21883,
318657061,31,756,-0.10946,0.26646,
318657061,32,782,-0.12365,0.24536,
318657061,33,807,-0.06244,0.25489,
318657061,34,832,-0.15409,0.25284,
318657061,35,857,-0.074637,0.26303,
318657061,36,882,-0.12472,0.22671,
318657061,37,908,-0.13193,0.23304,
318657061,38,933,-0.094853,0.23357,
318657061,39,958,-0.15695,0.18414,
318657061,40,983,-0.098026,0.18601,
318657061,41,1008,-0.13121,0.20686,
318657061,42,1034,-0.10632,0.19199,
318657061,43,1059,-0.15137,0.21147,
318657061,44,1084,-0.11949,0.22466,
318657061,45,1109,-0.12417,0.17542,
318657061,46,1134,-0.13689,0.20224,
318657061,47,1160,-0.11476,0.18561,
318657061,48,1185,-0.13891,0.20248,
318657061,49,1210,-0.16074,0.23574,
318657061,50,1235,-0.12343,0.23435,
318657061,51,1261,-0.15547,0.2227,
318657061,52,1286,-0.1697,0.18483,
318657061,53,1311,-0.093105,0.18744,
318657061,54,1336,-0.10919,0.20025,
318657061,55,1361,-0.11723,0.15681,
318657061,56,1387,-0.16535,0.18157,
318657061,57,1412,-0.14294,0.15654,
318657061,58,1437,-0.20276,0.14195,
318657061,59,1462,-0.1747,0.14416,
318657061,60,1487,-0.19135,0.083023,
318657061,61,1513,-0.21278,0.10021,
318657061,62,1538,-0.20334,0.083124,
318657061,63,1563,-0.19762,0.034288,
318657061,64,1588,-0.17888,-0.0056783,
318657061,65,1613,-0.16266,0.027355,
318657061,66,1639,-0.12416,0.040648,
318657061,67,1664,-0.19274,-0.01645,
318657061,68,1689,-0.15039,0.023762,
318657061,69,1714,-0.17161,0.014069,
318657061,70,1739,-0.1021,0.0088621,
318657061,71,1765,-0.11101,0.018757,
318657061,72,1790,-0.12281,0.025639,
318657061,73,1815,-0.12659,0.015004,
318657061,74,1840,-0.094674,0.055171,
318657061,75,1866,-0.088814,0.053682,
318657061,76,1891,-0.12901,0.055845,
318657061,77,1916,-0.14487,0.09368,
318657061,78,1941,-0.17072,0.097114,
318657061,79,1966,-0.11011,0.04464,
318657061,80,1992,-0.18574,0.10787,
318657061,81,2017,-0.13771,0.082216,
318657061,82,2042,-0.18586,0.08597,
318657061,83,2067,-0.20918,0.097245,
318657061,84,2092,-0.15991,0.022057,
318657061,85,2118,-0.19069,0.058911,
318657061,86,2143,-0.17508,0.048905,
318657061,87,2168,-0.14944,-0.001322,
318657061,88,2193,-0.20711,0.018072,
318657061,89,2218,-0.14749,0.009423,
318657061,90,2244,-0.18688,-0.046327,
318657061,91,2269,-0.22013,-0.03051,
318657061,92,2294,-0.17415,0.017766,
318657061,93,2319,-0.16997,-0.0551,
318657061,94,2345,-0.1595,-0.05107,
318657061,95,2370,-0.1763,-0.09141,
318657061,96,2395,-0.20547,-0.14819,
318657061,97,2420,-0.16842,-0.145,
318657061,98,2445,-0.1668,-0.14296,
318657061,99,2471,-0.16501,-0.15672,
318657061,100,2496,-0.14742,-0.13479,
318657061,101,2521,-0.12345,-0.11535,
318657061,102,2546,-0.13589,-0.13904,
318657061,103,2571,-0.064334,-0.13227,
318657061,104,2597,-0.086475,-0.17213,
318657061,105,2622,-0.11635,-0.10416,
318657061,106,2647,-0.094868,-0.21951,
318657061,107,2672,-0.098557,-0.25299,
318657061,108,2697,-0.11573,-0.16119,
318657061,109,2723,-0.11058,-0.1345,
318657061,110,2748,-0.12133,-0.15114,
318657061,111,2773,-0.079392,-0.14187,
318657061,112,2798,-0.079945,-0.1028,
318657061,113,2824,-0.083536,-0.078225,
318657061,114,2849,-0.071759,-0.12369,
318657061,115,2874,-0.1002,-0.13024,
318657061,116,2899,-0.16299,-0.14032,
318657061,117,2924,-0.10528,-0.12244,
318657061,118,2950,-0.080535,-0.09078,
318657061,119,2975,-0.032569,
318657061,120,3000,-0.089529,
