,bin,time(ms),color change & not first & correct,no color change & not first & correct,
206993057,1,0,0,0,
206993057,2,25,-0.047893,-0.032218,
206993057,3,51,-0.036126,-0.078572,
206993057,4,76,0.11547,-0.097088,
206993057,5,101,0.27184,-0.12539,
206993057,6,126,0.26715,-0.046452,
206993057,7,152,0.37011,0.044129,
206993057,8,177,0.29311,0.064816,
206993057,9,202,0.26174,-0.11036,
206993057,10,228,0.35428,-0.059271,
206993057,11,253,0.30875,-0.16154,
206993057,12,278,0.1884,-0.053289,
206993057,13,303,0.18977,-0.10868,
206993057,14,329,0.28425,-0.016299,
206993057,15,354,0.17674,0.0073074,
206993057,16,379,0.21017,-0.082455,
206993057,17,405,0.22933,0.041792,
206993057,18,430,0.22289,-0.069139,
206993057,19,455,0.28112,-0.032535,
206993057,20,480,0.40581,-0.10073,
206993057,21,506,0.24564,-0.080012,
206993057,22,531,0.34474,-0.12209,
206993057,23,556,0.2016,-0.15519,
206993057,24,582,0.18851,-0.090379,
206993057,25,607,0.21318,-0.11229,
206993057,26,632,0.21319,-0.17477,
206993057,27,657,0.22275,-0.14025,
206993057,28,683,0.2976,-0.11562,
206993057,29,708,0.28984,-0.21377,
206993057,30,733,0.18714,-0.16907,
206993057,31,759,0.28374,-0.02947,
206993057,32,784,0.23498,-0.15939,
206993057,33,809,0.11043,-0.081216,
206993057,34,834,0.11842,-0.030746,
206993057,35,860,0.23911,-0.085603,
206993057,36,885,0.13523,-0.041287,
206993057,37,910,0.21539,-0.016915,
206993057,38,936,0.25531,0.040399,
206993057,39,961,0.21505,-0.10871,
206993057,40,986,0.23788,0.049542,
206993057,41,1011,0.29574,-0.021953,
206993057,42,1037,0.27734,-0.032138,
206993057,43,1062,0.18954,-0.12506,
206993057,44,1087,0.28631,-0.042353,
206993057,45,1113,0.24834,-0.059521,
206993057,46,1138,0.30198,-0.060336,
206993057,47,1163,0.33065,-0.036197,
206993057,48,1188,0.28753,0.0091761,
206993057,49,1214,0.28759,-0.065168,
206993057,50,1239,0.35957,-0.020579,
206993057,51,1264,0.29921,0.036926,
206993057,52,1289,0.25029,0.1542,
206993057,53,1315,0.11134,0.15495,
206993057,54,1340,0.22179,0.1106,
206993057,55,1365,0.18138,0.12438,
206993057,56,1391,0.19851,0.07475,
206993057,57,1416,0.15246,0.048508,
206993057,58,1441,0.099824,0.079286,
206993057,59,1466,0.16654,0.070072,
206993057,60,1492,0.15451,0.042164,
206993057,61,1517,0.20657,0.14888,
206993057,62,1542,0.21243,0.12079,
206993057,63,1568,0.21963,0.034067,
206993057,64,1593,0.10409,-0.0072899,
206993057,65,1618,0.23763,0.031642,
206993057,66,1643,0.20528,-0.12222,
206993057,67,1669,0.16988,-0.020526,
206993057,68,1694,0.1665,-0.081572,
206993057,69,1719,0.21884,0.045561,
206993057,70,1745,0.29024,0.046579,
206993057,71,1770,0.26248,0.024233,
206993057,72,1795,0.23825,-0.061282,
206993057,73,1820,0.17847,-0.08296,
206993057,74,1846,0.17061,-0.0020614,
206993057,75,1871,0.19154,-0.064837,
206993057,76,1896,0.17086,0.0758,
206993057,77,1922,0.17701,-0.16403,
206993057,78,1947,0.18253,-0.22385,
206993057,79,1972,0.14469,-0.15424,
206993057,80,1997,0.10074,-0.15441,
206993057,81,2023,0.050068,-0.13248,
