,bin,time(ms),color change & not first & no update & correct,color change & not first & update & correct,no color change & not first & no update & correct,no color change & not first & update & correct,
207280074,1,0,0,0,0,0,
207280074,2,25,0.018186,0.43787,0.40243,0.42454,
207280074,3,50,0.20498,0.33273,0.57315,1.018,
207280074,4,76,0.039398,0.66979,0.31853,0.6178,
207280074,5,101,0.66836,1.0093,0.60687,0.9853,
207280074,6,126,0.30258,0.10861,-0.10324,0.77285,
207280074,7,151,0.64237,0.32258,0.14952,1.2331,
207280074,8,177,-0.15603,0.71179,0.068779,0.5348,
207280074,9,202,0.48362,0.36968,-0.16933,0.8866,
207280074,10,227,0.51535,0.29579,0.030235,0.80473,
207280074,11,252,0.38879,0.68035,-0.23042,0.97798,
207280074,12,278,0.38425,0.60536,-0.7006,0.53489,
207280074,13,303,0.73328,0.6604,-0.050556,0.15188,
207280074,14,328,0.29505,0.70428,-0.35137,0.25074,
207280074,15,353,0.70977,0.49298,0.28889,0.094179,
207280074,16,379,0.41449,0.84395,0.16997,0.74252,
207280074,17,404,0.43039,0.19124,0.58181,0.90523,
207280074,18,429,0.50397,0.57048,-0.060373,0.72345,
207280074,19,454,0.059445,1.0209,0.35006,0.55167,
207280074,20,480,-0.3942,0.80356,-0.15056,0.85939,
207280074,21,505,-0.18483,0.74521,-0.074415,1.019,
207280074,22,530,-0.37069,0.55977,0.83858,0.2931,
207280074,23,555,-0.70147,0.12919,0.72073,0.30816,
207280074,24,581,-0.22742,0.65385,0.90844,0.21723,
207280074,25,606,-0.5362,0.66416,0.99434,1.1888,
207280074,26,631,-0.92731,0.47365,0.83211,0.6387,
207280074,27,656,-0.44317,0.15403,0.97197,0.023513,
207280074,28,682,-0.73161,0.59358,1.1296,-0.45832,
207280074,29,707,-0.41227,0.78651,0.57275,-0.15339,
207280074,30,732,-0.46513,-0.21704,1.437,0.4027,
207280074,31,757,-0.74758,0.26137,1.2381,-0.30835,
207280074,32,783,0.23872,0.18796,1.665,0.42617,
207280074,33,808,-0.35539,0.9056,1.4485,0.18958,
207280074,34,833,-0.11234,0.83175,1.473,0.10808,
207280074,35,858,0.28247,0.64373,2.1668,0.39522,
207280074,36,883,0.38996,0.029379,2.1524,0.81827,
207280074,37,909,0.25887,0.36548,1.9976,0.185,
207280074,38,934,0.7781,0.98389,2.2623,0.39983,
207280074,39,959,0.52211,0.75118,2.7838,0.15923,
207280074,40,984,1.0239,0.365,2.2311,0.30214,
207280074,41,1010,1.0888,1.043,3.2158,0.025588,
207280074,42,1035,1.4762,0.67537,2.2833,0.63142,
207280074,43,1060,1.1186,1.603,2.8169,0.24433,
207280074,44,1085,1.2291,1.3937,1.9901,0.29139,
207280074,45,1111,1.3106,1.383,1.9008,0.65972,
207280074,46,1136,0.85521,1.9441,1.914,0.92765,
207280074,47,1161,1.4897,1.944,1.9392,1.7672,
207280074,48,1186,1.14,1.9595,1.5809,1.3635,
207280074,49,1212,1.6502,1.8622,1.9568,1.6055,
207280074,50,1237,1.6721,2.1337,2.1369,1.2177,
207280074,51,1262,1.5964,1.4101,2.3708,1.5111,
207280074,52,1287,1.1706,2.1902,2.4168,2.037,
207280074,53,1313,1.7676,2.6877,1.7293,2.4741,
207280074,54,1338,1.7675,2.3486,2.1337,2.6587,
207280074,55,1363,1.6575,3.0181,0.99451,2.2981,
207280074,56,1388,1.0352,3.0572,1.1291,2.8177,
207280074,57,1414,1.0125,2.902,1.6385,2.3508,
207280074,58,1439,0.87187,3.582,0.92955,2.5474,
207280074,59,1464,0.85898,3.1604,0.79367,2.8013,
207280074,60,1489,0.87493,3.4332,1.0657,2.884,
207280074,61,1515,0.36654,3.5699,0.27664,2.7585,
207280074,62,1540,0.18833,3.7345,0.48083,2.5926,
207280074,63,1565,-0.044768,4.2238,0.55994,2.4448,
207280074,64,1590,-0.26639,3.9019,1.0519,2.4803,
207280074,65,1616,-0.52684,3.8295,0.81639,2.1959,
207280074,66,1641,-0.34984,4.401,1.2337,2.1726,
207280074,67,1666,-0.54155,4.281,0.55554,2.0335,
207280074,68,1691,-0.67784,3.9093,0.26484,2.2863,
207280074,69,1717,-0.81321,4.4614,0.66283,2.0578,
207280074,70,1742,-0.67995,4.0036,-0.073202,2.4246,
207280074,71,1767,-0.27684,4.1824,0.59923,1.7723,
207280074,72,1792,-0.90386,4.3849,-0.1137,1.5856,
207280074,73,1817,-0.10136,4.0721,0.66558,1.6726,
207280074,74,1843,-0.6606,3.8399,0.068677,1.4802,
207280074,75,1868,-1.7642,3.85,0.13444,1.6606,
207280074,76,1893,-1.9101,3.3203,0.38559,0.97585,
207280074,77,1918,-1.8392,3.4437,0.29522,0.83138,
207280074,78,1944,-1.9744,3.1847,-0.53762,0.82885,
207280074,79,1969,-1.8723,3.123,0.33548,0.66923,
207280074,80,1994,-1.8902,2.452,0.30208,0.69354,
207280074,81,2019,-2.2036,2.2078,-0.87708,0.84383,
207280074,82,2045,-2.1326,2.2025,-0.45086,0.68903,
207280074,83,2070,-1.9978,2.0134,-0.35582,0.98925,
207280074,84,2095,-2.3582,1.5487,-0.94954,0.048454,
207280074,85,2120,-2.4456,0.61506,-0.57399,0.3928,
207280074,86,2146,-2.4382,1.0372,-0.40717,0.39194,
207280074,87,2171,-2.4429,1.295,-0.10841,-0.22614,
207280074,88,2196,-2.5391,-0.015836,-0.21391,-0.34864,
207280074,89,2221,-2.3485,-0.080025,0.14722,-1.2859,
207280074,90,2247,-2.9501,-0.4277,-0.083886,-2.1134,
207280074,91,2272,-2.6292,-0.65431,0.055697,-1.9203,
207280074,92,2297,-3.2029,-1.3776,-0.80076,-1.9165,
207280074,93,2322,-3.0737,-1.9356,-0.15916,-1.3896,
207280074,94,2348,-3.7607,-1.595,-0.76661,
207280074,95,2373,-3.1618,-1.1895,-1.1565,
