participant_id,trial_id,block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,is_correct,event_fixation,event_stimulus_on,event_stimulus_off,event_Trial_Offset,event_Trial_Onset,trial_mean,trial_max,trial_max_latency,trial_min,trial_min_latency,first_bin,last_bin,valid_blinks,blinks_mean
207280074,5,b_0,blue,red,Y,color_change,no_figure_change,not_first,no_update,correct,228,1235,3239,1875,0,-2.62127068916387,2.44343803357478,600,-10.5771242052624,1400,0,0.0396456698658909,0,NaN
207280074,7,b_0,red,red,X,color_change,no_figure_change,not_first,update,correct,44,1051,3057,1775,0,10.8037239063985,17.6047725577927,1525,-0.921429055657242,175,0,11.9886109416311,1,150
207280074,10,b_0,blue,red,X,color_change,no_figure_change,not_first,no_update,correct,11,1018,3024,2850,0,2.43866351751058,7.83529595030741,600,-5.41249032484191,2475,1.32750470979394,-5.0955832599076,1,275
207280074,11,b_0,red,red,X,color_change,no_figure_change,not_first,update,correct,23,1029,3034,2150,0,2.64341560973377,8.75362781373732,1750,-5.46914737650474,2150,0.699382648328964,-5.46914737650474,0,NaN
207280074,12,b_0,blue,red,X,color_change,no_figure_change,not_first,no_update,correct,56,1062,3067,2400,0,1.78374023829066,10.7143685821167,1700,-12.7338023775333,600,4.52664605897169,3.00710785008805,0,NaN
207280074,13,b_0,red,red,X,color_change,no_figure_change,not_first,update,correct,18,1024,3028,1600,0,6.17968757809454,13.751636861624,1575,-0.759453813012925,100,0.687231979527979,4.74514939173723,0,NaN
207280074,17,b_1,blue,red,X,color_change,no_figure_change,not_first,no_update,correct,9,1016,3021,2725,0,-2.26925420404591,3.31776642552353,875,-9.0059986846738,2100,-1.61182819271079,-3.93047814543434,0,NaN
207280074,18,b_1,red,red,Y,color_change,figure_change,not_first,update,correct,62,1069,3074,2850,0,4.15963182902714,11.9523551257538,1850,-3.82317252537138,375,0.433657523165166,3.13832916605384,0,NaN
207280074,20,b_2,blue,red,X,color_change,figure_change,not_first,no_update,correct,17,1025,3030,2600,0,2.2036413809157,9.50796060570673,500,-6.0011094242672,1950,0.2907372805481,2.20425084666589,0,NaN
207280074,21,b_2,red,red,X,color_change,no_figure_change,not_first,update,correct,130,1136,3141,2500,0,-3.29501786871863,4.93851149353979,1650,-12.5210404702765,1000,-1.88691171547431,-5.38612628262004,0,NaN
207280074,22,b_2,blue,red,Y,color_change,figure_change,not_first,no_update,correct,122,1133,3138,3050,0,-0.0427170834557236,7.81806691745786,2275,-7.33564220457396,825,-1.52042156804204,4.30549750204017,0,NaN
207280074,25,b_2,red,red,X,color_change,no_figure_change,not_first,update,correct,3,1010,3015,2575,0,-5.45371303717058,1.15820877174112,125,-16.6667032540047,2375,0.59556868797074,-14.8018466361236,1,150
207280074,27,b_3,blue,red,Y,color_change,no_figure_change,not_first,no_update,correct,12,1021,3026,2600,0,-1.0856936768996,7.5105539915568,325,-11.9978304017357,2250,-10.1474318820545,-7.6487938809649,1,125
