,bin,time(ms),color change & not first & no update & correct,color change & not first & update & correct,
207280074,1,0,3.1113,3.0973,
207280074,2,25,3.122,3.1088,
207280074,3,51,3.1221,3.106,
207280074,4,76,3.1162,3.1158,
207280074,5,101,3.1354,3.1253,
207280074,6,126,3.1237,3.0993,
207280074,7,152,3.1338,3.1033,
207280074,8,177,3.1083,3.1162,
207280074,9,202,3.1266,3.106,
207280074,10,227,3.1269,3.1028,
207280074,11,253,3.123,3.1146,
207280074,12,278,3.1217,3.1126,
207280074,13,303,3.1303,3.1137,
207280074,14,328,3.1169,3.1148,
207280074,15,354,3.131,3.1075,
207280074,16,379,3.1199,3.1171,
207280074,17,404,3.1227,3.0979,
207280074,18,429,3.1225,3.1094,
207280074,19,455,3.1082,3.1219,
207280074,20,480,3.0951,3.1149,
207280074,21,505,3.101,3.1137,
207280074,22,530,3.0947,3.1075,
207280074,23,556,3.0857,3.0943,
207280074,24,581,3.0994,3.1114,
207280074,25,606,3.0887,3.1117,
207280074,26,631,3.077,3.1053,
207280074,27,657,3.0927,3.0965,
207280074,28,682,3.0834,3.109,
207280074,29,707,3.0944,3.1149,
207280074,30,732,3.0912,3.0843,
207280074,31,758,3.0833,3.0985,
207280074,32,783,3.1099,3.096,
207280074,33,808,3.0926,3.1193,
207280074,34,833,3.1015,3.1153,
207280074,35,859,3.1142,3.1102,
207280074,36,884,3.118,3.0911,
207280074,37,909,3.1141,3.1024,
207280074,38,934,3.1272,3.1209,
207280074,39,960,3.1217,3.1143,
207280074,40,985,3.1406,3.1006,
207280074,41,1010,3.1423,3.1216,
207280074,42,1035,3.1545,3.1091,
207280074,43,1061,3.1432,3.1391,
207280074,44,1086,3.1475,3.1333,
207280074,45,1111,3.1496,3.1317,
207280074,46,1136,3.1362,3.1494,
207280074,47,1162,3.1544,3.1503,
207280074,48,1187,3.1452,3.1509,
207280074,49,1212,3.1593,3.1477,
207280074,50,1237,3.1603,3.1565,
207280074,51,1263,3.1574,3.1341,
207280074,52,1288,3.145,3.1579,
207280074,53,1313,3.1614,3.1729,
207280074,54,1338,3.1593,3.1627,
207280074,55,1364,3.1576,3.1833,
207280074,56,1389,3.1399,3.1847,
207280074,57,1414,3.138,3.1807,
207280074,58,1439,3.1321,3.2012,
207280074,59,1465,3.133,3.1885,
207280074,60,1490,3.1336,3.1961,
207280074,61,1515,3.1178,3.2015,
207280074,62,1540,3.107,3.2059,
207280074,63,1566,3.1056,3.221,
207280074,64,1591,3.0955,3.2108,
207280074,65,1616,3.0937,3.2092,
207280074,66,1641,3.0934,3.2207,
207280074,67,1667,3.0918,3.2177,
207280074,68,1692,3.0829,3.2064,
207280074,69,1717,3.0793,3.2222,
207280074,70,1742,3.0847,3.2098,
207280074,71,1768,3.0946,3.2149,
207280074,72,1793,3.074,3.2204,
207280074,73,1818,3.0978,3.219,
207280074,74,1843,3.081,3.2127,
207280074,75,1869,3.0543,3.2118,
207280074,76,1894,3.053,3.1955,
207280074,77,1919,3.0519,3.1989,
207280074,78,1944,3.0498,3.2013,
207280074,79,1970,3.0458,3.1992,
207280074,80,1995,3.0527,3.1794,
207280074,81,2020,3.0381,3.1719,
207280074,82,2045,3.0393,3.1713,
207280074,83,2071,3.0442,3.1668,
207280074,84,2096,3.0341,3.1516,
207280074,85,2121,3.0343,3.1232,
207280074,86,2146,3.0332,3.1308,
207280074,87,2172,3.0324,3.1436,
207280074,88,2197,3.0292,3.1088,
207280074,89,2222,3.0341,3.106,
207280074,90,2247,3.0328,3.1055,
207280074,91,2273,3.0408,3.097,
207280074,92,2298,3.0114,3.0761,
207280074,93,2323,3.0208,3.066,
207280074,94,2348,3.0065,3.0757,
207280074,95,2374,3.0151,3.0867,
207280074,96,2399,3.0007,3.092,
207280074,97,2424,3.0249,
207280074,98,2449,3.0113,
207280074,99,2475,3.0025,
207280074,100,2500,3.0037,
208278119,1,0,4.1657,4.1325,
208278119,2,25,4.1394,4.1483,
208278119,3,50,4.1424,4.18,
208278119,4,76,4.1617,4.1933,
208278119,5,101,4.1349,4.1762,
208278119,6,126,4.1708,4.1829,
208278119,7,151,4.1562,4.1814,
208278119,8,177,4.166,4.1795,
208278119,9,202,4.1791,4.1494,
208278119,10,227,4.1942,4.1878,
208278119,11,252,4.2049,4.2026,
208278119,12,277,4.184,4.1829,
208278119,13,303,4.2062,4.1799,
208278119,14,328,4.197,4.1708,
208278119,15,353,4.2053,4.1576,
208278119,16,378,4.1926,4.1565,
208278119,17,404,4.2139,4.1783,
208278119,18,429,4.2318,4.1412,
208278119,19,454,4.1922,4.1744,
208278119,20,479,4.179,4.1899,
208278119,21,504,4.1609,4.1693,
208278119,22,530,4.1489,4.1567,
208278119,23,555,4.1649,4.1653,
208278119,24,580,4.1765,4.1564,
208278119,25,605,4.1625,4.1638,
208278119,26,631,4.1562,4.152,
208278119,27,656,4.1787,4.1758,
208278119,28,681,4.1575,4.1579,
208278119,29,706,4.1649,4.1394,
208278119,30,731,4.1532,4.1481,
208278119,31,757,4.1507,4.1448,
208278119,32,782,4.1535,4.1571,
208278119,33,807,4.1761,4.1694,
208278119,34,832,4.1628,4.1589,
208278119,35,858,4.1515,4.1652,
208278119,36,883,4.1515,4.1901,
208278119,37,908,4.1524,4.1574,
208278119,38,933,4.1606,4.18,
