Event,RecordingTimestamp
TRIALID,39498
!E TRIAL_EVENT_VAR fixation,39500
!E TRIAL_EVENT_VAR stimulus_on,40508
!E TRIAL_EVENT_VAR stimulus_off,42512
TRIAL_END,43020
TRIALID,43033
!E TRIAL_EVENT_VAR fixation,43035
!E TRIAL_EVENT_VAR stimulus_on,44042
!E TRIAL_EVENT_VAR stimulus_off,46048
TRIAL_END,46555
TRIALID,46569
!E TRIAL_EVENT_VAR fixation,46571
!E TRIAL_EVENT_VAR stimulus_on,47578
!E TRIAL_EVENT_VAR stimulus_off,49583
TRIAL_END,50090
TRIALID,50106
!E TRIAL_EVENT_VAR fixation,50107
!E TRIAL_EVENT_VAR stimulus_on,51113
!E TRIAL_EVENT_VAR stimulus_off,53118
TRIAL_END,53626
TRIALID,55809
!E TRIAL_EVENT_VAR fixation,55811
!E TRIAL_EVENT_VAR stimulus_on,56818
!E TRIAL_EVENT_VAR stimulus_off,58825
TRIAL_END,59331
TRIALID,59346
!E TRIAL_EVENT_VAR fixation,59348
!E TRIAL_EVENT_VAR stimulus_on,60354
!E TRIAL_EVENT_VAR stimulus_off,62360
TRIAL_END,62867
TRIALID,62883
!E TRIAL_EVENT_VAR fixation,62884
!E TRIAL_EVENT_VAR stimulus_on,63892
!E TRIAL_EVENT_VAR stimulus_off,65898
TRIAL_END,66405
TRIALID,66420
!E TRIAL_EVENT_VAR fixation,66421
!E TRIAL_EVENT_VAR stimulus_on,67428
!E TRIAL_EVENT_VAR stimulus_off,69433
TRIAL_END,69941
TRIALID,72122
!E TRIAL_EVENT_VAR fixation,72123
!E TRIAL_EVENT_VAR stimulus_on,73132
!E TRIAL_EVENT_VAR stimulus_off,75138
TRIAL_END,75645
TRIALID,75660
!E TRIAL_EVENT_VAR fixation,75662
!E TRIAL_EVENT_VAR stimulus_on,76669
!E TRIAL_EVENT_VAR stimulus_off,78675
TRIAL_END,79182
TRIALID,79196
!E TRIAL_EVENT_VAR fixation,79198
!E TRIAL_EVENT_VAR stimulus_on,80204
!E TRIAL_EVENT_VAR stimulus_off,82210
TRIAL_END,82718
TRIALID,82733
!E TRIAL_EVENT_VAR fixation,82734
!E TRIAL_EVENT_VAR stimulus_on,83742
!E TRIAL_EVENT_VAR stimulus_off,85748
TRIAL_END,86254
TRIALID,86268
!E TRIAL_EVENT_VAR fixation,86270
!E TRIAL_EVENT_VAR stimulus_on,87278
!E TRIAL_EVENT_VAR stimulus_off,89282
TRIAL_END,89790
TRIALID,89806
!E TRIAL_EVENT_VAR fixation,89807
!E TRIAL_EVENT_VAR stimulus_on,90814
!E TRIAL_EVENT_VAR stimulus_off,92819
TRIAL_END,93326
TRIALID,93341
!E TRIAL_EVENT_VAR fixation,93343
!E TRIAL_EVENT_VAR stimulus_on,94350
!E TRIAL_EVENT_VAR stimulus_off,96356
TRIAL_END,96862
TRIALID,96877
!E TRIAL_EVENT_VAR fixation,96879
!E TRIAL_EVENT_VAR stimulus_on,97886
!E TRIAL_EVENT_VAR stimulus_off,99891
TRIAL_END,100399
TRIALID,100414
!E TRIAL_EVENT_VAR fixation,100416
!E TRIAL_EVENT_VAR stimulus_on,101422
!E TRIAL_EVENT_VAR stimulus_off,103427
TRIAL_END,103934
TRIALID,103950
!E TRIAL_EVENT_VAR fixation,103952
!E TRIAL_EVENT_VAR stimulus_on,104959
!E TRIAL_EVENT_VAR stimulus_off,106965
TRIAL_END,107471
TRIALID,107487
!E TRIAL_EVENT_VAR fixation,107488
!E TRIAL_EVENT_VAR stimulus_on,108496
!E TRIAL_EVENT_VAR stimulus_off,110500
TRIAL_END,111008
TRIALID,111023
!E TRIAL_EVENT_VAR fixation,111025
!E TRIAL_EVENT_VAR stimulus_on,112031
!E TRIAL_EVENT_VAR stimulus_off,114036
TRIAL_END,114543
TRIALID,117170
!E TRIAL_EVENT_VAR fixation,117171
!E TRIAL_EVENT_VAR stimulus_on,118181
!E TRIAL_EVENT_VAR stimulus_off,120186
TRIAL_END,120693
TRIALID,120712
!E TRIAL_EVENT_VAR fixation,120714
!E TRIAL_EVENT_VAR stimulus_on,121722
!E TRIAL_EVENT_VAR stimulus_off,123727
TRIAL_END,124234
TRIALID,124251
!E TRIAL_EVENT_VAR fixation,124252
!E TRIAL_EVENT_VAR stimulus_on,125259
!E TRIAL_EVENT_VAR stimulus_off,127265
TRIAL_END,127772
TRIALID,127787
!E TRIAL_EVENT_VAR fixation,127789
!E TRIAL_EVENT_VAR stimulus_on,128795
!E TRIAL_EVENT_VAR stimulus_off,130801
TRIAL_END,131307
TRIALID,131323
!E TRIAL_EVENT_VAR fixation,131324
!E TRIAL_EVENT_VAR stimulus_on,132332
!E TRIAL_EVENT_VAR stimulus_off,134337
TRIAL_END,134844
TRIALID,134859
!E TRIAL_EVENT_VAR fixation,134860
!E TRIAL_EVENT_VAR stimulus_on,135869
!E TRIAL_EVENT_VAR stimulus_off,137872
TRIAL_END,138380
TRIALID,138395
!E TRIAL_EVENT_VAR fixation,138397
!E TRIAL_EVENT_VAR stimulus_on,139405
!E TRIAL_EVENT_VAR stimulus_off,141409
TRIAL_END,141916
TRIALID,141931
!E TRIAL_EVENT_VAR fixation,141933
!E TRIAL_EVENT_VAR stimulus_on,142940
!E TRIAL_EVENT_VAR stimulus_off,144944
TRIAL_END,145451
TRIALID,145468
!E TRIAL_EVENT_VAR fixation,145469
!E TRIAL_EVENT_VAR stimulus_on,146477
!E TRIAL_EVENT_VAR stimulus_off,148482
TRIAL_END,148990
TRIALID,149004
!E TRIAL_EVENT_VAR fixation,149006
!E TRIAL_EVENT_VAR stimulus_on,150013
!E TRIAL_EVENT_VAR stimulus_off,152019
TRIAL_END,152525
