Event,RecordingTimestamp
TRIALID,34484
!E TRIAL_EVENT_VAR fixation,34485
!E TRIAL_EVENT_VAR stimulus_on,35494
!E TRIAL_EVENT_VAR stimulus_off,37499
TRIAL_END,38006
TRIALID,38020
!E TRIAL_EVENT_VAR fixation,38024
!E TRIAL_EVENT_VAR stimulus_on,39034
!E TRIAL_EVENT_VAR stimulus_off,41040
TRIAL_END,41547
TRIALID,41556
!E TRIAL_EVENT_VAR fixation,41561
!E TRIAL_EVENT_VAR stimulus_on,42567
!E TRIAL_EVENT_VAR stimulus_off,44571
TRIAL_END,45079
TRIALID,45092
!E TRIAL_EVENT_VAR fixation,45094
!E TRIAL_EVENT_VAR stimulus_on,46100
!E TRIAL_EVENT_VAR stimulus_off,48105
TRIAL_END,48613
TRIALID,48628
!E TRIAL_EVENT_VAR fixation,48630
!E TRIAL_EVENT_VAR stimulus_on,49637
!E TRIAL_EVENT_VAR stimulus_off,51641
TRIAL_END,52148
TRIALID,52164
!E TRIAL_EVENT_VAR fixation,52165
!E TRIAL_EVENT_VAR stimulus_on,53173
!E TRIAL_EVENT_VAR stimulus_off,55177
TRIAL_END,55684
TRIALID,55700
!E TRIAL_EVENT_VAR fixation,55702
!E TRIAL_EVENT_VAR stimulus_on,56709
!E TRIAL_EVENT_VAR stimulus_off,58715
TRIAL_END,59222
TRIALID,59237
!E TRIAL_EVENT_VAR fixation,59243
!E TRIAL_EVENT_VAR stimulus_on,60252
!E TRIAL_EVENT_VAR stimulus_off,62258
TRIAL_END,62766
TRIALID,62773
!E TRIAL_EVENT_VAR fixation,62775
!E TRIAL_EVENT_VAR stimulus_on,63781
!E TRIAL_EVENT_VAR stimulus_off,65786
TRIAL_END,66294
TRIALID,66309
!E TRIAL_EVENT_VAR fixation,66311
!E TRIAL_EVENT_VAR stimulus_on,67318
!E TRIAL_EVENT_VAR stimulus_off,69324
TRIAL_END,69832
TRIALID,69846
!E TRIAL_EVENT_VAR fixation,69848
!E TRIAL_EVENT_VAR stimulus_on,70854
!E TRIAL_EVENT_VAR stimulus_off,72859
TRIAL_END,73373
TRIALID,73382
!E TRIAL_EVENT_VAR fixation,73384
!E TRIAL_EVENT_VAR stimulus_on,74390
!E TRIAL_EVENT_VAR stimulus_off,76395
TRIAL_END,76903
TRIALID,76919
!E TRIAL_EVENT_VAR fixation,76920
!E TRIAL_EVENT_VAR stimulus_on,77926
!E TRIAL_EVENT_VAR stimulus_off,79930
TRIAL_END,80438
TRIALID,85795
!E TRIAL_EVENT_VAR fixation,85797
!E TRIAL_EVENT_VAR stimulus_on,86806
!E TRIAL_EVENT_VAR stimulus_off,88811
TRIAL_END,89319
TRIALID,89329
!E TRIAL_EVENT_VAR fixation,89330
!E TRIAL_EVENT_VAR stimulus_on,90338
!E TRIAL_EVENT_VAR stimulus_off,92343
TRIAL_END,92850
TRIALID,92865
!E TRIAL_EVENT_VAR fixation,92867
!E TRIAL_EVENT_VAR stimulus_on,93873
!E TRIAL_EVENT_VAR stimulus_off,95879
TRIAL_END,96386
TRIALID,96401
!E TRIAL_EVENT_VAR fixation,96403
!E TRIAL_EVENT_VAR stimulus_on,97410
!E TRIAL_EVENT_VAR stimulus_off,99415
TRIAL_END,99922
TRIALID,99937
!E TRIAL_EVENT_VAR fixation,99939
!E TRIAL_EVENT_VAR stimulus_on,100946
!E TRIAL_EVENT_VAR stimulus_off,102951
TRIAL_END,103459
TRIALID,105827
!E TRIAL_EVENT_VAR fixation,105829
!E TRIAL_EVENT_VAR stimulus_on,106838
!E TRIAL_EVENT_VAR stimulus_off,108844
TRIAL_END,109351
TRIALID,109362
!E TRIAL_EVENT_VAR fixation,109363
!E TRIAL_EVENT_VAR stimulus_on,110371
!E TRIAL_EVENT_VAR stimulus_off,112376
TRIAL_END,112883
TRIALID,112898
!E TRIAL_EVENT_VAR fixation,112900
!E TRIAL_EVENT_VAR stimulus_on,113906
!E TRIAL_EVENT_VAR stimulus_off,115911
TRIAL_END,116418
TRIALID,116435
!E TRIAL_EVENT_VAR fixation,116440
!E TRIAL_EVENT_VAR stimulus_on,117451
