Event,RecordingTimestamp
TRIALID 0,41474
!E TRIAL_EVENT_VAR fixation,41574
!E TRIAL_EVENT_VAR stimulus_onset,42474
!E TRIAL_EVENT_VAR stimulus_offset,43474
TRIAL_END,43574
TRIALID 1,43530
!E TRIAL_EVENT_VAR fixation,43630
!E TRIAL_EVENT_VAR stimulus_onset,44530
!E TRIAL_EVENT_VAR stimulus_offset,45530
TRIAL_END,45630
TRIALID 2,45585
!E TRIAL_EVENT_VAR fixation,45685
!E TRIAL_EVENT_VAR stimulus_onset,46585
!E TRIAL_EVENT_VAR stimulus_offset,47585
TRIAL_END,47685
TRIALID 3,47641
!E TRIAL_EVENT_VAR fixation,47741
!E TRIAL_EVENT_VAR stimulus_onset,48641
!E TRIAL_EVENT_VAR stimulus_offset,49641
TRIAL_END,49741
