block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,blue,Y,no_color_change,no_figure_change,update,0
b_0,red,X,color_change,figure_change,no_update,1
b_0,blue,Y,color_change,figure_change,update,2
b_0,red,X,color_change,figure_change,no_update,3
b_0,red,X,no_color_change,no_figure_change,no_update,4
b_0,blue,X,color_change,no_figure_change,update,5
b_0,blue,Y,no_color_change,figure_change,update,6
b_1,blue,Y,no_color_change,no_figure_change,update,0
b_1,blue,Y,no_color_change,no_figure_change,update,1
b_1,blue,X,no_color_change,figure_change,update,2
b_1,blue,Y,no_color_change,figure_change,update,3
b_1,blue,Y,no_color_change,no_figure_change,update,4
b_1,red,Y,color_change,no_figure_change,no_update,5
b_1,red,X,no_color_change,figure_change,no_update,6
b_1,blue,X,color_change,no_figure_change,update,7
b_1,red,Y,color_change,figure_change,no_update,8
b_1,blue,X,color_change,figure_change,update,9
b_1,red,Y,color_change,figure_change,no_update,10
b_1,blue,X,color_change,figure_change,update,11
b_1,red,X,color_change,no_figure_change,no_update,12
b_1,blue,Y,color_change,figure_change,update,13
b_1,red,X,color_change,figure_change,no_update,14
b_1,blue,Y,color_change,figure_change,update,15
b_1,blue,X,no_color_change,figure_change,update,16
b_1,blue,Y,no_color_change,figure_change,update,17
b_1,blue,Y,no_color_change,no_figure_change,update,18
b_1,red,Y,color_change,no_figure_change,no_update,19
b_1,red,X,no_color_change,figure_change,no_update,20
b_1,red,X,no_color_change,no_figure_change,no_update,21
b_1,blue,Y,color_change,figure_change,update,22
b_1,red,Y,color_change,no_figure_change,no_update,23
b_1,red,X,no_color_change,figure_change,no_update,24
b_1,red,X,no_color_change,no_figure_change,no_update,25
b_1,blue,X,color_change,no_figure_change,update,26
b_1,blue,X,no_color_change,no_figure_change,update,27
b_1,red,Y,color_change,figure_change,no_update,28
b_1,blue,X,color_change,figure_change,update,29
b_1,red,Y,color_change,figure_change,no_update,30
b_1,blue,Y,color_change,no_figure_change,update,31
b_1,blue,X,no_color_change,figure_change,update,32
b_1,blue,Y,no_color_change,figure_change,update,33
b_2,blue,X,no_color_change,no_figure_change,update,0
b_2,blue,X,no_color_change,no_figure_change,update,1
b_2,blue,X,no_color_change,no_figure_change,update,2
b_2,blue,X,no_color_change,no_figure_change,update,3
b_2,blue,X,no_color_change,no_figure_change,update,4
b_2,blue,Y,no_color_change,figure_change,update,5
b_2,blue,Y,no_color_change,no_figure_change,update,6
b_2,blue,X,no_color_change,figure_change,update,7
b_2,blue,Y,no_color_change,figure_change,update,8
b_2,red,Y,color_change,no_figure_change,no_update,9
b_2,blue,Y,color_change,no_figure_change,update,10
b_2,red,Y,color_change,no_figure_change,no_update,11
b_2,red,Y,no_color_change,no_figure_change,no_update,12
b_2,red,X,no_color_change,figure_change,no_update,13
b_2,red,Y,no_color_change,figure_change,no_update,14
b_2,red,X,no_color_change,figure_change,no_update,15
b_2,red,Y,no_color_change,figure_change,no_update,16
b_2,red,X,no_color_change,figure_change,no_update,17
b_2,red,Y,no_color_change,figure_change,no_update,18
b_2,red,Y,no_color_change,no_figure_change,no_update,19
b_2,blue,X,color_change,figure_change,update,20
b_2,blue,X,no_color_change,no_figure_change,update,21
b_2,blue,Y,no_color_change,figure_change,update,22
b_2,red,Y,color_change,no_figure_change,no_update,23
b_2,blue,X,color_change,figure_change,update,24
b_2,blue,X,no_color_change,no_figure_change,update,25
b_2,blue,X,no_color_change,no_figure_change,update,26
b_2,red,Y,color_change,figure_change,no_update,27
b_2,red,X,no_color_change,figure_change,no_update,28
b_2,blue,Y,color_change,figure_change,update,29
b_2,red,Y,color_change,no_figure_change,no_update,30
b_2,blue,Y,color_change,no_figure_change,update,31
b_2,red,X,color_change,figure_change,no_update,32
b_2,red,X,no_color_change,no_figure_change,no_update,33
b_2,blue,X,color_change,no_figure_change,update,34
b_2,blue,Y,no_color_change,figure_change,update,35
b_2,blue,Y,no_color_change,no_figure_change,update,36
b_2,red,Y,color_change,no_figure_change,no_update,37
b_2,blue,Y,color_change,no_figure_change,update,38
b_2,red,Y,color_change,no_figure_change,no_update,39
b_2,blue,X,color_change,figure_change,update,40
b_2,blue,Y,no_color_change,figure_change,update,41
b_2,red,X,color_change,figure_change,no_update,42
b_2,red,Y,no_color_change,figure_change,no_update,43
b_2,red,X,no_color_change,figure_change,no_update,44
b_3,blue,Y,no_color_change,no_figure_change,update,0
b_3,red,Y,color_change,no_figure_change,no_update,1
b_3,red,X,no_color_change,figure_change,no_update,2
b_3,blue,Y,color_change,figure_change,update,3
b_3,blue,Y,no_color_change,no_figure_change,update,4
