Event,RecordingTimestamp
TRIALID,63066
!E TRIAL_EVENT_VAR fixation,63068
!E TRIAL_EVENT_VAR stimulus_onset,64079
!E TRIAL_EVENT_VAR stimulus_offset,65082
TRIAL_END,65084
TRIALID,65094
!E TRIAL_EVENT_VAR fixation,65096
!E TRIAL_EVENT_VAR stimulus_onset,66103
!E TRIAL_EVENT_VAR stimulus_offset,67107
TRIAL_END,67109
TRIALID,67127
!E TRIAL_EVENT_VAR fixation,67128
!E TRIAL_EVENT_VAR stimulus_onset,68136
!E TRIAL_EVENT_VAR stimulus_offset,69140
TRIAL_END,69141
TRIALID,69162
!E TRIAL_EVENT_VAR fixation,69164
!E TRIAL_EVENT_VAR stimulus_onset,70170
!E TRIAL_EVENT_VAR stimulus_offset,71174
TRIAL_END,71176
TRIALID,71197
!E TRIAL_EVENT_VAR fixation,71198
!E TRIAL_EVENT_VAR stimulus_onset,72206
!E TRIAL_EVENT_VAR stimulus_offset,73210
TRIAL_END,73211
TRIALID,73231
!E TRIAL_EVENT_VAR fixation,73234
!E TRIAL_EVENT_VAR stimulus_onset,74242
!E TRIAL_EVENT_VAR stimulus_offset,75246
TRIAL_END,75248
TRIALID,75267
!E TRIAL_EVENT_VAR fixation,75269
!E TRIAL_EVENT_VAR stimulus_onset,76275
!E TRIAL_EVENT_VAR stimulus_offset,77279
TRIAL_END,77280
TRIALID,77302
!E TRIAL_EVENT_VAR fixation,77304
!E TRIAL_EVENT_VAR stimulus_onset,78311
!E TRIAL_EVENT_VAR stimulus_offset,79314
TRIAL_END,79315
TRIALID,84339
!E TRIAL_EVENT_VAR fixation,84340
!E TRIAL_EVENT_VAR stimulus_onset,85351
!E TRIAL_EVENT_VAR stimulus_offset,86355
TRIAL_END,86357
TRIALID,92130
!E TRIAL_EVENT_VAR fixation,92132
!E TRIAL_EVENT_VAR stimulus_onset,93141
!E TRIAL_EVENT_VAR stimulus_offset,94146
TRIAL_END,94148
TRIALID,94166
!E TRIAL_EVENT_VAR fixation,94168
!E TRIAL_EVENT_VAR stimulus_onset,95174
!E TRIAL_EVENT_VAR stimulus_offset,96178
TRIAL_END,96180
TRIALID,96201
!E TRIAL_EVENT_VAR fixation,96203
!E TRIAL_EVENT_VAR stimulus_onset,97210
!E TRIAL_EVENT_VAR stimulus_offset,98214
TRIAL_END,98216
TRIALID,98236
!E TRIAL_EVENT_VAR fixation,98238
!E TRIAL_EVENT_VAR stimulus_onset,99245
!E TRIAL_EVENT_VAR stimulus_offset,100248
TRIAL_END,100250
TRIALID,100271
!E TRIAL_EVENT_VAR fixation,100272
!E TRIAL_EVENT_VAR stimulus_onset,101280
!E TRIAL_EVENT_VAR stimulus_offset,102284
TRIAL_END,102285
TRIALID,102306
!E TRIAL_EVENT_VAR fixation,102308
!E TRIAL_EVENT_VAR stimulus_onset,103315
!E TRIAL_EVENT_VAR stimulus_offset,104319
TRIAL_END,104321
TRIALID,104340
!E TRIAL_EVENT_VAR fixation,104342
!E TRIAL_EVENT_VAR stimulus_onset,105351
!E TRIAL_EVENT_VAR stimulus_offset,106354
TRIAL_END,106356
TRIALID,106376
!E TRIAL_EVENT_VAR fixation,106377
!E TRIAL_EVENT_VAR stimulus_onset,107385
!E TRIAL_EVENT_VAR stimulus_offset,108389
TRIAL_END,108391
TRIALID,111146
!E TRIAL_EVENT_VAR fixation,111148
!E TRIAL_EVENT_VAR stimulus_onset,112158
!E TRIAL_EVENT_VAR stimulus_offset,113162
TRIAL_END,113163
TRIALID,113182
!E TRIAL_EVENT_VAR fixation,113183
