Event,RecordingTimestamp
TRIALID,54558
!E TRIAL_EVENT_VAR stimulus_onset,55567
TRIAL_END,56572
TRIALID,56583
!E TRIAL_EVENT_VAR stimulus_onset,57591
TRIAL_END,58594
TRIALID,58616
!E TRIAL_EVENT_VAR stimulus_onset,59623
TRIAL_END,60627
TRIALID,60637
!E TRIAL_EVENT_VAR stimulus_onset,61646
TRIAL_END,62649
TRIALID,62669
!E TRIAL_EVENT_VAR stimulus_onset,63677
TRIAL_END,64681
TRIALID,69101
!E TRIAL_EVENT_VAR stimulus_onset,70112
TRIAL_END,71116
TRIALID,73118
!E TRIAL_EVENT_VAR stimulus_onset,74128
TRIAL_END,75133
TRIALID,75149
!E TRIAL_EVENT_VAR stimulus_onset,76157
TRIAL_END,77161
TRIALID,77181
!E TRIAL_EVENT_VAR stimulus_onset,78189
TRIAL_END,79193
TRIALID,79216
!E TRIAL_EVENT_VAR stimulus_onset,80224
TRIAL_END,81228
TRIALID,83222
!E TRIAL_EVENT_VAR stimulus_onset,84235
TRIAL_END,85240
TRIALID,85256
!E TRIAL_EVENT_VAR stimulus_onset,86265
TRIAL_END,87269
TRIALID,87289
!E TRIAL_EVENT_VAR stimulus_onset,88298
TRIAL_END,89301
TRIALID,89311
!E TRIAL_EVENT_VAR stimulus_onset,90317
TRIAL_END,91321
TRIALID,91343
!E TRIAL_EVENT_VAR stimulus_onset,92350
TRIAL_END,93354
TRIALID,93377
!E TRIAL_EVENT_VAR stimulus_onset,94385
TRIAL_END,95389
TRIALID,95413
!E TRIAL_EVENT_VAR stimulus_onset,96420
TRIAL_END,97424
TRIALID,97448
!E TRIAL_EVENT_VAR stimulus_onset,98455
TRIAL_END,99459
TRIALID,99482
!E TRIAL_EVENT_VAR stimulus_onset,100489
TRIAL_END,101494
TRIALID,101518
!E TRIAL_EVENT_VAR stimulus_onset,102525
TRIAL_END,103529
TRIALID,103539
!E TRIAL_EVENT_VAR stimulus_onset,104546
TRIAL_END,105551
TRIALID,105572
!E TRIAL_EVENT_VAR stimulus_onset,106582
TRIAL_END,107586
TRIALID,107606
!E TRIAL_EVENT_VAR stimulus_onset,108613
TRIAL_END,109617
TRIALID,109627
!E TRIAL_EVENT_VAR stimulus_onset,110636
TRIAL_END,111639
TRIALID,111660
!E TRIAL_EVENT_VAR stimulus_onset,112666
TRIAL_END,113671
TRIALID,113694
!E TRIAL_EVENT_VAR stimulus_onset,114702
TRIAL_END,115706
TRIALID,115730
!E TRIAL_EVENT_VAR stimulus_onset,116741
TRIAL_END,117745
TRIALID,117765
!E TRIAL_EVENT_VAR stimulus_onset,118772
TRIAL_END,119776
