Event,RecordingTimestamp
TRIALID,32963.99545669556
!E TRIAL_EVENT_VAR fixation,32968.99628639221
!E TRIAL_EVENT_VAR stimulus_onset,33981.96530342102
TRIAL_END,34986.99355125427
TRIALID,34987.996101379395
!E TRIAL_EVENT_VAR fixation,34992.99383163452
!E TRIAL_EVENT_VAR stimulus_onset,36000.99325180054
TRIAL_END,37006.99186325073
TRIALID,37007.99369812012
!E TRIAL_EVENT_VAR fixation,37012.9919052124
!E TRIAL_EVENT_VAR stimulus_onset,38021.96002006531
TRIAL_END,39025.99000930786
TRIALID,39026.989459991455
!E TRIAL_EVENT_VAR fixation,39030.99036216736
!E TRIAL_EVENT_VAR stimulus_onset,40038.992166519165
TRIAL_END,41043.96057128906
TRIALID,41044.98767852783
!E TRIAL_EVENT_VAR fixation,41049.98826980591
!E TRIAL_EVENT_VAR stimulus_onset,42056.98776245117
TRIAL_END,43060.98532676697
TRIALID,43061.98263168335
!E TRIAL_EVENT_VAR fixation,43065.98615646362
!E TRIAL_EVENT_VAR stimulus_onset,44074.98478889465
TRIAL_END,45079.95343208313
TRIALID,45080.95479011536
!E TRIAL_EVENT_VAR fixation,45084.95497703552
!E TRIAL_EVENT_VAR stimulus_onset,46092.98276901245
TRIAL_END,47096.95076942444
