Event,RecordingTimestamp
TRIALID,56427.526
!E TRIAL_EVENT_VAR fixation,56433.558
!E TRIAL_EVENT_VAR stimulus_onset,57442.869
!E TRIAL_EVENT_VAR stimulus_offset,58446.048
TRIAL_END,58450.049
TRIALID,58451.049
!E TRIAL_EVENT_VAR fixation,58460.055
!E TRIAL_EVENT_VAR stimulus_onset,59470.412
!E TRIAL_EVENT_VAR stimulus_offset,60474.635
TRIAL_END,60478.578
TRIALID,60480.578
!E TRIAL_EVENT_VAR fixation,60484.635
!E TRIAL_EVENT_VAR stimulus_onset,61492.512
!E TRIAL_EVENT_VAR stimulus_offset,62496.394
TRIAL_END,62500.393
TRIALID,68534.87
!E TRIAL_EVENT_VAR fixation,68538.871
!E TRIAL_EVENT_VAR stimulus_onset,69550.131
!E TRIAL_EVENT_VAR stimulus_offset,70554.497
TRIAL_END,70558.489
TRIALID,70559.489
!E TRIAL_EVENT_VAR fixation,70570.49
!E TRIAL_EVENT_VAR stimulus_onset,71578.601
!E TRIAL_EVENT_VAR stimulus_offset,72582.649
TRIAL_END,72586.648
TRIALID,72587.651
!E TRIAL_EVENT_VAR fixation,72592.676
!E TRIAL_EVENT_VAR stimulus_onset,73601.326
!E TRIAL_EVENT_VAR stimulus_offset,74605.669
TRIAL_END,74609.653
TRIALID,74610.654
!E TRIAL_EVENT_VAR fixation,74615.654
!E TRIAL_EVENT_VAR stimulus_onset,75623.964
!E TRIAL_EVENT_VAR stimulus_offset,76628.304
TRIAL_END,76632.324
TRIALID,76634.323
!E TRIAL_EVENT_VAR fixation,76642.328
!E TRIAL_EVENT_VAR stimulus_onset,77651.535
!E TRIAL_EVENT_VAR stimulus_offset,78654.919
TRIAL_END,78658.919
TRIALID,78659.919
!E TRIAL_EVENT_VAR fixation,78664.92
!E TRIAL_EVENT_VAR stimulus_onset,79673.274
!E TRIAL_EVENT_VAR stimulus_offset,80676.622
TRIAL_END,80680.623
TRIALID,80682.623
!E TRIAL_EVENT_VAR fixation,80686.629
!E TRIAL_EVENT_VAR stimulus_onset,81694.777
!E TRIAL_EVENT_VAR stimulus_offset,82699.173
TRIAL_END,82703.202
TRIALID,82704.174
!E TRIAL_EVENT_VAR fixation,82714.204
!E TRIAL_EVENT_VAR stimulus_onset,83722.346
!E TRIAL_EVENT_VAR stimulus_offset,84725.697
TRIAL_END,84729.689
TRIALID,84731.69
!E TRIAL_EVENT_VAR fixation,84735.7
!E TRIAL_EVENT_VAR stimulus_onset,85744.015
!E TRIAL_EVENT_VAR stimulus_offset,86748.11
TRIAL_END,86752.082
TRIALID,86753.082
!E TRIAL_EVENT_VAR fixation,86758.131
!E TRIAL_EVENT_VAR stimulus_onset,87766.141
!E TRIAL_EVENT_VAR stimulus_offset,88770.461
TRIAL_END,88774.381
TRIALID,88776.381
!E TRIAL_EVENT_VAR fixation,88785.374
!E TRIAL_EVENT_VAR stimulus_onset,89792.966
!E TRIAL_EVENT_VAR stimulus_offset,90795.933
TRIAL_END,90803.917
TRIALID,90804.906
!E TRIAL_EVENT_VAR fixation,90809.907
!E TRIAL_EVENT_VAR stimulus_onset,91817.224
!E TRIAL_EVENT_VAR stimulus_offset,92821.482
TRIAL_END,92825.502
TRIALID,98863.857
!E TRIAL_EVENT_VAR fixation,98868.827
!E TRIAL_EVENT_VAR stimulus_onset,99879.979
!E TRIAL_EVENT_VAR stimulus_offset,100883.758
TRIAL_END,100887.729
TRIALID,100888.727
!E TRIAL_EVENT_VAR fixation,100895.699
!E TRIAL_EVENT_VAR stimulus_onset,101903.832
!E TRIAL_EVENT_VAR stimulus_offset,102908.13
TRIAL_END,102912.129
TRIALID,102913.129
!E TRIAL_EVENT_VAR fixation,102918.137
!E TRIAL_EVENT_VAR stimulus_onset,103926.29
!E TRIAL_EVENT_VAR stimulus_offset,104930.167
TRIAL_END,104934.16
TRIALID,104935.159
!E TRIAL_EVENT_VAR fixation,104940.167
!E TRIAL_EVENT_VAR stimulus_onset,105948.55
!E TRIAL_EVENT_VAR stimulus_offset,106952.131
TRIAL_END,106956.119
TRIALID,106957.12
!E TRIAL_EVENT_VAR fixation,106967.126
!E TRIAL_EVENT_VAR stimulus_onset,107976.79
!E TRIAL_EVENT_VAR stimulus_offset,108981.122
TRIAL_END,108985.115
TRIALID,108987.114
!E TRIAL_EVENT_VAR fixation,108991.122
!E TRIAL_EVENT_VAR stimulus_onset,109999.313
!E TRIAL_EVENT_VAR stimulus_offset,111003.308
TRIAL_END,111007.297
TRIALID,111008.297
!E TRIAL_EVENT_VAR fixation,111013.305
!E TRIAL_EVENT_VAR stimulus_onset,112021.646
!E TRIAL_EVENT_VAR stimulus_offset,113024.751
TRIAL_END,113028.692
TRIALID,113029.692
!E TRIAL_EVENT_VAR fixation,113038.715
!E TRIAL_EVENT_VAR stimulus_onset,114048.214
!E TRIAL_EVENT_VAR stimulus_offset,115051.512
TRIAL_END,115055.542
TRIALID,115056.541
!E TRIAL_EVENT_VAR fixation,115060.568
!E TRIAL_EVENT_VAR stimulus_onset,116070.226
!E TRIAL_EVENT_VAR stimulus_offset,117073.567
TRIAL_END,117077.566
TRIALID,117079.567
!E TRIAL_EVENT_VAR fixation,117083.577
!E TRIAL_EVENT_VAR stimulus_onset,118091.682
!E TRIAL_EVENT_VAR stimulus_offset,119096.522
TRIAL_END,119100.418
TRIALID,119101.418
!E TRIAL_EVENT_VAR fixation,119110.467
!E TRIAL_EVENT_VAR stimulus_onset,120119.721
!E TRIAL_EVENT_VAR stimulus_offset,121124.195
TRIAL_END,121128.167
TRIALID,121130.166
!E TRIAL_EVENT_VAR fixation,121134.147
!E TRIAL_EVENT_VAR stimulus_onset,122142.48
!E TRIAL_EVENT_VAR stimulus_offset,123147.118
TRIAL_END,123151.115
TRIALID,123152.115
!E TRIAL_EVENT_VAR fixation,123157.124
!E TRIAL_EVENT_VAR stimulus_onset,124164.502
!E TRIAL_EVENT_VAR stimulus_offset,125169.344
TRIAL_END,125173.312
TRIALID,125174.311
!E TRIAL_EVENT_VAR fixation,125182.372
!E TRIAL_EVENT_VAR stimulus_onset,126189.434
!E TRIAL_EVENT_VAR stimulus_offset,127194.173
TRIAL_END,127198.182
TRIALID,127200.154
!E TRIAL_EVENT_VAR fixation,127204.21
!E TRIAL_EVENT_VAR stimulus_onset,128212.549
!E TRIAL_EVENT_VAR stimulus_offset,129215.387
TRIAL_END,129220.371
TRIALID,129221.371
!E TRIAL_EVENT_VAR fixation,129226.371
