block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,red,Y,FALSE,FALSE,TRUE,0
b_0,red,X,TRUE,TRUE,TRUE,1
b_0,red,Y,TRUE,TRUE,TRUE,2
b_1,red,X,FALSE,FALSE,TRUE,0
b_1,red,X,TRUE,TRUE,TRUE,1
b_1,blue,X,TRUE,TRUE,TRUE,2
b_1,blue,X,TRUE,TRUE,TRUE,3
b_1,blue,Y,TRUE,TRUE,TRUE,4
b_1,red,X,TRUE,TRUE,TRUE,5
b_1,blue,Y,TRUE,TRUE,TRUE,6
b_1,red,X,TRUE,TRUE,TRUE,7
b_1,blue,X,TRUE,TRUE,TRUE,8
b_1,blue,Y,TRUE,TRUE,TRUE,9
b_1,red,Y,TRUE,TRUE,TRUE,10
b_1,blue,X,TRUE,TRUE,TRUE,11
b_1,blue,Y,TRUE,TRUE,TRUE,12
b_1,red,X,TRUE,TRUE,TRUE,13
b_1,blue,Y,TRUE,TRUE,TRUE,14
b_1,blue,X,TRUE,TRUE,TRUE,15
b_1,red,X,TRUE,TRUE,TRUE,16
b_1,blue,X,TRUE,TRUE,TRUE,17
b_1,red,Y,TRUE,TRUE,TRUE,18
b_1,red,Y,TRUE,TRUE,TRUE,19
b_1,red,Y,TRUE,TRUE,TRUE,20
b_1,red,Y,TRUE,TRUE,TRUE,21
b_1,red,X,TRUE,TRUE,TRUE,22
b_1,blue,X,TRUE,TRUE,TRUE,23
b_1,blue,X,TRUE,TRUE,TRUE,24
