Event,RecordingTimestamp
TRIALID,36739
!E TRIAL_EVENT_VAR stimulus_onset,37753
TRIAL_END,38757
TRIALID,38769
!E TRIAL_EVENT_VAR stimulus_onset,39777
TRIAL_END,40781
TRIALID,40803
!E TRIAL_EVENT_VAR stimulus_onset,41809
TRIAL_END,42814
TRIALID,42824
!E TRIAL_EVENT_VAR stimulus_onset,43832
TRIAL_END,44836
TRIALID,44856
!E TRIAL_EVENT_VAR stimulus_onset,45863
TRIAL_END,46868
TRIALID,49923
!E TRIAL_EVENT_VAR stimulus_onset,50932
TRIAL_END,51936
TRIALID,51948
!E TRIAL_EVENT_VAR stimulus_onset,52955
TRIAL_END,53959
TRIALID,53980
!E TRIAL_EVENT_VAR stimulus_onset,54987
TRIAL_END,55992
TRIALID,56015
!E TRIAL_EVENT_VAR stimulus_onset,57023
TRIAL_END,58027
TRIALID,58050
!E TRIAL_EVENT_VAR stimulus_onset,59057
TRIAL_END,60062
TRIALID,60085
!E TRIAL_EVENT_VAR stimulus_onset,61092
TRIAL_END,62097
TRIALID,62121
!E TRIAL_EVENT_VAR stimulus_onset,63128
TRIAL_END,64132
TRIALID,64155
!E TRIAL_EVENT_VAR stimulus_onset,65163
TRIAL_END,66167
TRIALID,66190
!E TRIAL_EVENT_VAR stimulus_onset,67198
TRIAL_END,68203
TRIALID,68226
!E TRIAL_EVENT_VAR stimulus_onset,69233
TRIAL_END,70236
TRIALID,70260
!E TRIAL_EVENT_VAR stimulus_onset,71267
TRIAL_END,72272
TRIALID,72296
!E TRIAL_EVENT_VAR stimulus_onset,73302
TRIAL_END,74306
TRIALID,76211
!E TRIAL_EVENT_VAR stimulus_onset,77220
TRIAL_END,78224
TRIALID,78235
!E TRIAL_EVENT_VAR stimulus_onset,79244
TRIAL_END,80248
TRIALID,80269
!E TRIAL_EVENT_VAR stimulus_onset,81277
TRIAL_END,82281
TRIALID,82304
!E TRIAL_EVENT_VAR stimulus_onset,83311
TRIAL_END,84315
TRIALID,86499
!E TRIAL_EVENT_VAR stimulus_onset,87508
TRIAL_END,88512
