Event,RecordingTimestamp
TRIALID,206950
!E TRIAL_EVENT_VAR stimulus_onset,207960
TRIAL_END,208965
TRIALID,208980
!E TRIAL_EVENT_VAR stimulus_onset,209989
TRIAL_END,210993
TRIALID,211014
!E TRIAL_EVENT_VAR stimulus_onset,212020
TRIAL_END,213024
TRIALID,213035
!E TRIAL_EVENT_VAR stimulus_onset,214042
TRIAL_END,215046
TRIALID,215067
!E TRIAL_EVENT_VAR stimulus_onset,216073
TRIAL_END,217077
TRIALID,217087
!E TRIAL_EVENT_VAR stimulus_onset,218095
TRIAL_END,219099
TRIALID,219120
!E TRIAL_EVENT_VAR stimulus_onset,220127
TRIAL_END,221131
TRIALID,221141
!E TRIAL_EVENT_VAR stimulus_onset,222149
TRIAL_END,223153
TRIALID,223173
!E TRIAL_EVENT_VAR stimulus_onset,224181
TRIAL_END,225185
TRIALID,225209
!E TRIAL_EVENT_VAR stimulus_onset,226215
TRIAL_END,227220
TRIALID,227244
!E TRIAL_EVENT_VAR stimulus_onset,228255
TRIAL_END,229259
TRIALID,229279
!E TRIAL_EVENT_VAR stimulus_onset,230285
TRIAL_END,231290
TRIALID,231300
!E TRIAL_EVENT_VAR stimulus_onset,232307
TRIAL_END,233310
TRIALID,233332
!E TRIAL_EVENT_VAR stimulus_onset,234339
TRIAL_END,235342
TRIALID,235352
!E TRIAL_EVENT_VAR stimulus_onset,236360
TRIAL_END,237364
TRIALID,237385
!E TRIAL_EVENT_VAR stimulus_onset,238392
TRIAL_END,239397
TRIALID,239421
!E TRIAL_EVENT_VAR stimulus_onset,240427
TRIAL_END,241431
TRIALID,241441
!E TRIAL_EVENT_VAR stimulus_onset,242448
TRIAL_END,243452
TRIALID,243473
!E TRIAL_EVENT_VAR stimulus_onset,244481
TRIAL_END,245485
TRIALID,245509
!E TRIAL_EVENT_VAR stimulus_onset,246515
TRIAL_END,247520
TRIALID,247544
!E TRIAL_EVENT_VAR stimulus_onset,248551
TRIAL_END,249555
TRIALID,249578
!E TRIAL_EVENT_VAR stimulus_onset,250586
TRIAL_END,251590
TRIALID,251613
!E TRIAL_EVENT_VAR stimulus_onset,252622
TRIAL_END,253626
TRIALID,253648
!E TRIAL_EVENT_VAR stimulus_onset,254656
TRIAL_END,255660
TRIALID,255683
!E TRIAL_EVENT_VAR stimulus_onset,256691
TRIAL_END,257694
TRIALID,257705
!E TRIAL_EVENT_VAR stimulus_onset,258717
TRIAL_END,259720
TRIALID,259739
!E TRIAL_EVENT_VAR stimulus_onset,260746
TRIAL_END,261751
TRIALID,261772
!E TRIAL_EVENT_VAR stimulus_onset,262779
TRIAL_END,263783
TRIALID,263807
!E TRIAL_EVENT_VAR stimulus_onset,264814
TRIAL_END,265818
TRIALID,265842
!E TRIAL_EVENT_VAR stimulus_onset,266850
TRIAL_END,267854
TRIALID,267877
!E TRIAL_EVENT_VAR stimulus_onset,268884
TRIAL_END,269888
TRIALID,269912
!E TRIAL_EVENT_VAR stimulus_onset,270920
TRIAL_END,271923
TRIALID,271947
!E TRIAL_EVENT_VAR stimulus_onset,272955
TRIAL_END,273958
TRIALID,273983
!E TRIAL_EVENT_VAR stimulus_onset,274994
TRIAL_END,275998
TRIALID,284453
!E TRIAL_EVENT_VAR stimulus_onset,285465
TRIAL_END,286469
TRIALID,286493
!E TRIAL_EVENT_VAR stimulus_onset,287500
TRIAL_END,288505
TRIALID,288527
!E TRIAL_EVENT_VAR stimulus_onset,289535
TRIAL_END,290539
TRIALID,290562
!E TRIAL_EVENT_VAR stimulus_onset,291570
TRIAL_END,292573
TRIALID,292583
!E TRIAL_EVENT_VAR stimulus_onset,293591
TRIAL_END,294594
TRIALID,294615
!E TRIAL_EVENT_VAR stimulus_onset,295624
TRIAL_END,296627
TRIALID,296651
!E TRIAL_EVENT_VAR stimulus_onset,297657
TRIAL_END,298662
TRIALID,298686
!E TRIAL_EVENT_VAR stimulus_onset,299693
TRIAL_END,300698
TRIALID,300721
!E TRIAL_EVENT_VAR stimulus_onset,301728
TRIAL_END,302732
TRIALID,302756
!E TRIAL_EVENT_VAR stimulus_onset,303762
TRIAL_END,304767
TRIALID,304778
!E TRIAL_EVENT_VAR stimulus_onset,305785
TRIAL_END,306789
TRIALID,306809
!E TRIAL_EVENT_VAR stimulus_onset,307816
TRIAL_END,308820
TRIALID,308843
!E TRIAL_EVENT_VAR stimulus_onset,309851
TRIAL_END,310855
TRIALID,310865
!E TRIAL_EVENT_VAR stimulus_onset,311873
TRIAL_END,312877
TRIALID,320381
!E TRIAL_EVENT_VAR stimulus_onset,321391
TRIAL_END,322396
TRIALID,322407
!E TRIAL_EVENT_VAR stimulus_onset,323415
TRIAL_END,324419
TRIALID,324440
!E TRIAL_EVENT_VAR stimulus_onset,325447
TRIAL_END,326452
TRIALID,326475
!E TRIAL_EVENT_VAR stimulus_onset,327482
TRIAL_END,328487
TRIALID,328510
!E TRIAL_EVENT_VAR stimulus_onset,329517
TRIAL_END,330521
TRIALID,330531
!E TRIAL_EVENT_VAR stimulus_onset,331540
TRIAL_END,332543
TRIALID,332564
!E TRIAL_EVENT_VAR stimulus_onset,333571
TRIAL_END,334574
TRIALID,334584
!E TRIAL_EVENT_VAR stimulus_onset,335593
TRIAL_END,336597
TRIALID,336617
!E TRIAL_EVENT_VAR stimulus_onset,337624
TRIAL_END,338629
TRIALID,338651
!E TRIAL_EVENT_VAR stimulus_onset,339660
TRIAL_END,340663
TRIALID,340686
!E TRIAL_EVENT_VAR stimulus_onset,341695
TRIAL_END,342699
TRIALID,342722
!E TRIAL_EVENT_VAR stimulus_onset,343729
TRIAL_END,344733
TRIALID,344757
!E TRIAL_EVENT_VAR stimulus_onset,345763
TRIAL_END,346767
TRIALID,346778
!E TRIAL_EVENT_VAR stimulus_onset,347785
TRIAL_END,348790
TRIALID,353301
!E TRIAL_EVENT_VAR stimulus_onset,354314
TRIAL_END,355318
TRIALID,355334
!E TRIAL_EVENT_VAR stimulus_onset,356342
TRIAL_END,357345
TRIALID,357367
!E TRIAL_EVENT_VAR stimulus_onset,358375
TRIAL_END,359379
