device_time_stamp,system_time_stamp,UTC,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_pupil_diameter,left_pupil_validity,left_gaze_origin_validity,left_gaze_point_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_pupil_diameter,right_pupil_validity,right_gaze_origin_validity,right_gaze_point_validity
9410665481,4659845030849,-269476577,0.45857954025268555,0.4367033839225769,-15.8170166015625,168.7889404296875,55.154727935791016,0.5508930087089539,0.5348039865493774,0.8406089544296265,-26.79657554626465,-18.325258255004883,752.1826782226562,2.974334716796875,1,1,1,0.6259336471557617,0.4140675961971283,46.90779113769531,175.04071044921875,57.80845260620117,0.4292900562286377,0.5353724956512451,0.8306019902229309,37.08216094970703,-18.550270080566406,749.1806030273438,2.865509033203125,1,1,1
9410673827,4659845039194,-269476568,0.46524760127067566,0.4418993890285492,-13.31781005859375,167.35385131835938,54.545570373535156,0.5509569048881531,0.5348466634750366,0.8404234051704407,-26.828250885009766,-18.346364974975586,752.1270141601562,,0,1,1,0.6317395567893982,0.4260622262954712,49.0838623046875,171.72792053222656,56.402252197265625,0.4293331503868103,0.5353038907051086,0.8306553363800049,37.060359954833984,-18.514677047729492,749.1965942382812,,0,1,1
9410682151,4659845047518,-269476560,0.4517197608947754,0.4505244493484497,-18.388092041015625,164.97171020507812,53.53440475463867,0.551089882850647,0.534983217716217,0.8409665822982788,-26.904090881347656,-18.42226219177246,752.2899780273438,,0,1,1,0.647077202796936,0.42891639471054077,54.83245849609375,170.93963623046875,56.06764221191406,0.4294799864292145,0.5353646278381348,0.8309574127197266,36.987815856933594,-18.548791885375977,749.2872314453125,,0,1,1
9410690479,4659845055846,-269476552,0.44472599029541016,0.45311182737350464,-21.009368896484375,164.25709533691406,53.23107147216797,0.5511542558670044,0.5351266264915466,0.8416416645050049,-26.94525146484375,-18.50276756286621,752.4924926757812,2.8804779052734375,1,1,1,0.6476073861122131,0.4284954071044922,55.03117370605469,171.055908203125,56.11699676513672,0.4295639991760254,0.5354161262512207,0.8315584063529968,36.95264434814453,-18.580263137817383,749.467529296875,2.8713531494140625,1,1,1
9410698824,4659845064191,-269476544,0.43970680236816406,0.4603212773799896,-22.890579223632812,162.2659149169922,52.385868072509766,0.5512344241142273,0.5352998375892639,0.8419271111488342,-26.990520477294922,-18.59611701965332,752.578125,,0,1,1,,,,,,,,,,,,,0,0,0
9410707147,4659845072513,-269476535,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,0,0,0
9410715487,4659845080853,-269476526,0.4746420383453369,0.49420851469039917,-9.7967529296875,152.90660095214844,48.41307067871094,0.551262378692627,0.5355637669563293,0.842958390712738,-27.01634979248047,-18.742862701416016,752.8875122070312,3.2065277099609375,1,1,1,0.6526366472244263,0.4193136692047119,56.91615295410156,173.591796875,57.19342803955078,0.4296322166919708,0.5356507897377014,0.8324853777885437,36.93055725097656,-18.710304260253906,749.74560546875,2.7924957275390625,1,1,1
9410723820,4659845089186,-269476518,0.44163912534713745,0.3513743281364441,-22.166336059570312,192.35595703125,65.1583480834961,0.5511496663093567,0.5355930328369141,0.8433617949485779,-26.961299896240234,-18.761301040649414,753.008544921875,,0,1,1,0.6154038310050964,0.4605216681957245,42.961181640625,162.2105712890625,52.36237335205078,0.4295210838317871,0.5356415510177612,0.8325605988502502,36.989986419677734,-18.706029891967773,749.7681884765625,,0,1,1
9410732153,4659845097519,-269476510,0.4366365671157837,0.3726109564304352,-24.04132080078125,186.49063110351562,62.66865539550781,0.5510467290878296,0.535534679889679,0.8440459966659546,-26.91437339782715,-18.735658645629883,753.2138061523438,,0,1,1,,,,,,,,,,,,,0,0,0
9410740474,4659845105839,-269476501,0.4333978295326233,0.4076438248157501,-25.255203247070312,176.8148956298828,58.56155014038086,0.5508068203926086,0.5353835225105286,0.8447043895721436,-26.794904708862305,-18.660829544067383,753.4113159179688,2.6181488037109375,1,1,1,0.6089285016059875,0.4865119457244873,40.534210205078125,155.03231811523438,49.31538391113281,0.42922109365463257,0.5354435443878174,0.8330141305923462,37.15419006347656,-18.605499267578125,749.9042358398438,2.8760833740234375,1,1,1
9410748816,4659845114181,-269476493,0.432306170463562,0.454934298992157,-25.664352416992188,163.75375366210938,53.01741409301758,0.550529956817627,0.5352122783660889,0.8452429175376892,-26.654603958129883,-18.574504852294922,753.5728759765625,,0,1,1,0.6045772433280945,0.44047319889068604,38.903350830078125,167.7477569580078,54.712772369384766,0.4289686679840088,0.5353267192840576,0.8329811692237854,37.28618621826172,-18.54390525817871,749.8943481445312,,0,1,1
9410757141,4659845122506,-269476485,,,,,,,,,,,,,0,0,0,0.6213703155517578,0.4074651896953583,45.19744873046875,176.86422729492188,58.58249282836914,0.4287266433238983,0.535237729549408,0.8331720232963562,37.41610336303711,-18.498620986938477,749.9515991210938,,0,1,1
9410765471,4659845130836,-269476477,0.4570395350456238,0.5483238697052002,-16.39422607421875,137.96047973632812,42.068809509277344,0.5499366521835327,0.5350307822227478,0.8466123342514038,-26.35599708557129,-18.488832473754883,753.9837036132812,3.252044677734375,1,1,1,0.6301653385162354,0.39403700828552246,48.49385070800781,180.57296752929688,60.15675735473633,0.42841094732284546,0.535239577293396,0.8333121538162231,37.58393096923828,-18.5006046295166,749.99365234375,2.802703857421875,1,1,1
9410773815,4659845139179,-269476468,0.42989596724510193,0.36252209544181824,-26.567718505859375,189.27706909179688,63.85143280029297,0.5496007204055786,0.5350481867790222,0.8470984101295471,-26.183744430541992,-18.501611709594727,754.1295166015625,,0,1,1,0.6363124251365662,0.4170660078525543,50.79779052734375,174.21258544921875,57.456932067871094,0.42805981636047363,0.5353460907936096,0.8332244753837585,37.76696014404297,-18.555898666381836,749.9673461914062,,0,1,1
9410782150,4659845147514,-269476460,,,,,,,,,,,,,0,0,0,0.6389769911766052,0.4337168335914612,51.796478271484375,169.61380004882812,55.504859924316406,0.42776796221733093,0.535546064376831,0.8333524465560913,37.922115325927734,-18.66183090209961,750.0057373046875,,0,1,1
