Event,RecordingTimestamp,border color,figure,is_color_change,is_figure_change,session_num,trial_id
TRIALID,37433.061838150024,,,,,,
!E TRIAL_EVENT_VAR fixation,37438.06338310242,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,38448.063135147095,,,,,,
,,red,X,0.0,0.0,1.0,1
TRIAL_END,39453.06348800659,,,,,,
TRIALID,39456.06231689453,,,,,,
!E TRIAL_EVENT_VAR fixation,39462.06259727478,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,40472.06473350525,,,,,,
,,blue,Y,1.0,1.0,1.0,2
TRIAL_END,41478.062868118286,,,,,,
TRIALID,41481.0631275177,,,,,,
!E TRIAL_EVENT_VAR fixation,41487.06412315369,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,42496.03271484375,,,,,,
,,blue,Y,1.0,1.0,1.0,3
TRIAL_END,43502.032995224,,,,,,
TRIALID,43505.033016204834,,,,,,
!E TRIAL_EVENT_VAR fixation,43511.03448867798,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,44520.03335952759,,,,,,
,,red,X,1.0,1.0,1.0,4
TRIAL_END,45526.03363990784,,,,,,
TRIALID,45529.03485298157,,,,,,
!E TRIAL_EVENT_VAR fixation,45535.03370285034,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,46544.03519630432,,,,,,
,,blue,Y,1.0,1.0,1.0,5
TRIAL_END,47550.034284591675,,,,,,
TRIALID,47553.03454399109,,,,,,
!E TRIAL_EVENT_VAR fixation,47559.03434753418,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,48568.03584098816,,,,,,
,,blue,X,1.0,1.0,1.0,6
TRIAL_END,49574.03802871704,,,,,,
TRIALID,49577.038288116455,,,,,,
!E TRIAL_EVENT_VAR fixation,49583.03713798523,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,50591.06636047363,,,,,,
,,red,Y,1.0,1.0,1.0,7
TRIAL_END,51598.066091537476,,,,,,
