Event,RecordingTimestamp
TRIALID,47861
!E TRIAL_EVENT_VAR fixation,47867
!E TRIAL_EVENT_VAR stimulus_onset,48877
!E TRIAL_EVENT_VAR stimulus_offset,49882
TRIAL_END,49887
TRIALID,49888
!E TRIAL_EVENT_VAR fixation,49902
!E TRIAL_EVENT_VAR stimulus_onset,50908
!E TRIAL_EVENT_VAR stimulus_offset,51912
TRIAL_END,51916
TRIALID,51918
!E TRIAL_EVENT_VAR fixation,51936
!E TRIAL_EVENT_VAR stimulus_onset,52945
!E TRIAL_EVENT_VAR stimulus_offset,53950
TRIAL_END,53955
TRIALID,53956
!E TRIAL_EVENT_VAR fixation,53972
!E TRIAL_EVENT_VAR stimulus_onset,54980
!E TRIAL_EVENT_VAR stimulus_offset,55982
TRIAL_END,55987
TRIALID,55988
!E TRIAL_EVENT_VAR fixation,56006
!E TRIAL_EVENT_VAR stimulus_onset,57014
!E TRIAL_EVENT_VAR stimulus_offset,58018
TRIAL_END,58022
TRIALID,58024
!E TRIAL_EVENT_VAR fixation,58042
!E TRIAL_EVENT_VAR stimulus_onset,59049
!E TRIAL_EVENT_VAR stimulus_offset,60053
TRIAL_END,60057
TRIALID,60059
!E TRIAL_EVENT_VAR fixation,60077
!E TRIAL_EVENT_VAR stimulus_onset,61087
!E TRIAL_EVENT_VAR stimulus_offset,62091
TRIAL_END,62096
