Event,RecordingTimestamp
TRIALID,69160
!E TRIAL_EVENT_VAR fixation,69166
!E TRIAL_EVENT_VAR stimulus_onset,70176
!E TRIAL_EVENT_VAR stimulus_offset,71181
TRIAL_END,71186
TRIALID,71187
!E TRIAL_EVENT_VAR fixation,71201
!E TRIAL_EVENT_VAR stimulus_onset,72210
!E TRIAL_EVENT_VAR stimulus_offset,73213
TRIAL_END,73218
TRIALID,73219
!E TRIAL_EVENT_VAR fixation,73233
!E TRIAL_EVENT_VAR stimulus_onset,74241
!E TRIAL_EVENT_VAR stimulus_offset,75246
TRIAL_END,75250
TRIALID,102323
!E TRIAL_EVENT_VAR fixation,102328
!E TRIAL_EVENT_VAR stimulus_onset,103336
!E TRIAL_EVENT_VAR stimulus_offset,104340
TRIAL_END,104345
TRIALID,104346
!E TRIAL_EVENT_VAR fixation,104359
!E TRIAL_EVENT_VAR stimulus_onset,105367
!E TRIAL_EVENT_VAR stimulus_offset,106370
TRIAL_END,106375
TRIALID,106376
!E TRIAL_EVENT_VAR fixation,106394
!E TRIAL_EVENT_VAR stimulus_onset,107401
!E TRIAL_EVENT_VAR stimulus_offset,108406
TRIAL_END,108410
TRIALID,108412
!E TRIAL_EVENT_VAR fixation,108431
!E TRIAL_EVENT_VAR stimulus_onset,109443
!E TRIAL_EVENT_VAR stimulus_offset,110446
TRIAL_END,110451
TRIALID,110452
!E TRIAL_EVENT_VAR fixation,110466
!E TRIAL_EVENT_VAR stimulus_onset,111474
!E TRIAL_EVENT_VAR stimulus_offset,112477
TRIAL_END,112482
TRIALID,112483
!E TRIAL_EVENT_VAR fixation,112499
!E TRIAL_EVENT_VAR stimulus_onset,113506
!E TRIAL_EVENT_VAR stimulus_offset,114510
TRIAL_END,114514
TRIALID,114516
!E TRIAL_EVENT_VAR fixation,114535
!E TRIAL_EVENT_VAR stimulus_onset,115541
!E TRIAL_EVENT_VAR stimulus_offset,116545
TRIAL_END,116550
TRIALID,116551
!E TRIAL_EVENT_VAR fixation,116569
!E TRIAL_EVENT_VAR stimulus_onset,117576
!E TRIAL_EVENT_VAR stimulus_offset,118580
TRIAL_END,118585
TRIALID,118586
!E TRIAL_EVENT_VAR fixation,118604
!E TRIAL_EVENT_VAR stimulus_onset,119612
!E TRIAL_EVENT_VAR stimulus_offset,120616
TRIAL_END,120620
TRIALID,120622
!E TRIAL_EVENT_VAR fixation,120639
!E TRIAL_EVENT_VAR stimulus_onset,121647
!E TRIAL_EVENT_VAR stimulus_offset,122650
TRIAL_END,122654
TRIALID,122656
!E TRIAL_EVENT_VAR fixation,122674
!E TRIAL_EVENT_VAR stimulus_onset,123682
!E TRIAL_EVENT_VAR stimulus_offset,124686
TRIAL_END,124690
TRIALID,124691
!E TRIAL_EVENT_VAR fixation,124709
!E TRIAL_EVENT_VAR stimulus_onset,125717
!E TRIAL_EVENT_VAR stimulus_offset,126720
TRIAL_END,126725
TRIALID,126726
!E TRIAL_EVENT_VAR fixation,126744
!E TRIAL_EVENT_VAR stimulus_onset,127751
!E TRIAL_EVENT_VAR stimulus_offset,128756
TRIAL_END,128760
TRIALID,128762
!E TRIAL_EVENT_VAR fixation,128780
!E TRIAL_EVENT_VAR stimulus_onset,129786
!E TRIAL_EVENT_VAR stimulus_offset,130790
TRIAL_END,130794
TRIALID,130796
!E TRIAL_EVENT_VAR fixation,130814
!E TRIAL_EVENT_VAR stimulus_onset,131821
!E TRIAL_EVENT_VAR stimulus_offset,132826
TRIAL_END,132831
TRIALID,132832
!E TRIAL_EVENT_VAR fixation,132849
!E TRIAL_EVENT_VAR stimulus_onset,133857
!E TRIAL_EVENT_VAR stimulus_offset,134860
TRIAL_END,134864
TRIALID,134866
!E TRIAL_EVENT_VAR fixation,134885
!E TRIAL_EVENT_VAR stimulus_onset,135894
!E TRIAL_EVENT_VAR stimulus_offset,136899
TRIAL_END,136904
TRIALID,136905
!E TRIAL_EVENT_VAR fixation,136919
!E TRIAL_EVENT_VAR stimulus_onset,137928
!E TRIAL_EVENT_VAR stimulus_offset,138931
TRIAL_END,138935
TRIALID,138937
!E TRIAL_EVENT_VAR fixation,138954
!E TRIAL_EVENT_VAR stimulus_onset,139961
!E TRIAL_EVENT_VAR stimulus_offset,140965
TRIAL_END,140969
TRIALID,140971
!E TRIAL_EVENT_VAR fixation,140989
!E TRIAL_EVENT_VAR stimulus_onset,141997
!E TRIAL_EVENT_VAR stimulus_offset,143001
TRIAL_END,143005
TRIALID,143007
!E TRIAL_EVENT_VAR fixation,143024
!E TRIAL_EVENT_VAR stimulus_onset,144032
!E TRIAL_EVENT_VAR stimulus_offset,145035
TRIAL_END,145039
TRIALID,145041
!E TRIAL_EVENT_VAR fixation,145059
!E TRIAL_EVENT_VAR stimulus_onset,146067
!E TRIAL_EVENT_VAR stimulus_offset,147069
TRIAL_END,147074
TRIALID,147075
!E TRIAL_EVENT_VAR fixation,147095
!E TRIAL_EVENT_VAR stimulus_onset,148102
!E TRIAL_EVENT_VAR stimulus_offset,149105
TRIAL_END,149109
TRIALID,149111
!E TRIAL_EVENT_VAR fixation,149130
!E TRIAL_EVENT_VAR stimulus_onset,150137
!E TRIAL_EVENT_VAR stimulus_offset,151141
TRIAL_END,151145
TRIALID,151147
!E TRIAL_EVENT_VAR fixation,151165
!E TRIAL_EVENT_VAR stimulus_onset,152171
!E TRIAL_EVENT_VAR stimulus_offset,153175
TRIAL_END,153179
