block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,red,X,FALSE,FALSE,TRUE,0
b_0,blue,X,TRUE,TRUE,FALSE,1
b_0,blue,Y,TRUE,TRUE,FALSE,2
b_0,blue,X,TRUE,TRUE,FALSE,3
b_0,blue,X,TRUE,TRUE,FALSE,4
b_0,red,Y,TRUE,TRUE,TRUE,5
b_0,blue,Y,TRUE,TRUE,FALSE,6
b_0,blue,X,TRUE,TRUE,FALSE,7
b_0,blue,X,TRUE,TRUE,FALSE,8
b_0,blue,X,TRUE,TRUE,FALSE,9
b_0,blue,Y,TRUE,TRUE,FALSE,10
b_0,blue,X,TRUE,TRUE,FALSE,11
b_0,blue,Y,TRUE,TRUE,FALSE,12
b_0,red,Y,TRUE,TRUE,TRUE,13
b_0,red,Y,TRUE,TRUE,TRUE,14
b_0,red,X,TRUE,TRUE,TRUE,15
b_1,red,Y,FALSE,FALSE,TRUE,0
b_1,red,Y,FALSE,TRUE,TRUE,1
b_1,red,X,FALSE,TRUE,TRUE,2
