	device_time_stamp	system_time_stamp	UTC	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	11577365240	5628033111	1636032399.2215226													0	0	0													0	0	0
1	11577373561	5628041427	1636032399.2309034													0	0	0													0	0	0
2	11577381912	5628049773	1636032399.2390842													0	0	0													0	0	0
3	11577390271	5628058127	1636032399.2490437													0	0	0													0	0	0
4	11577398573	5628066424	1636032399.2568057													0	0	0	0.3843952715396881	0.35442325472831726	-43.62150573730469	191.51388549804688	64.8009033203125	0.6271966695785522	0.5274338126182556	0.5151204466819763	-58.27835464477539	-12.569486618041992	654.5361328125		0	1	1
5	11577406908	5628074753	1636032399.2646801													0	0	0													0	0	0
6	11577415269	5628083113	1636032399.2727506													0	0	0													0	0	0
7	11577423558	5628091401	1636032399.2807565													0	0	0	0.3154735863208771	0.39468732476234436	-69.45355987548828	180.39334106445312	60.08051681518555	0.6309843063354492	0.5280491709709167	0.5146779417991638	-60.001590728759766	-12.848819732666016	654.4033813476562		0	1	1
8	11577431903	5628099745	1636032399.2898555													0	0	0													0	0	0
9	11577440234	5628108075	1636032399.297757													0	0	0													0	0	0
10	11577448588	5628116428	1636032399.3079748													0	0	0	0.5456379652023315	0.40068715810775757	16.812728881835938	178.73626708984375	59.37712097167969	0.6343374848365784	0.5286239981651306	0.5142720341682434	-61.52617645263672	-13.109705924987793	654.2816162109375		0	1	1
11	11577456890	5628124729	1636032399.3149946													0	0	0													0	0	0
12	11577465220	5628133058	1636032399.3230202													0	0	0													0	0	0
13	11577473641	5628141478	1636032399.3310533													0	0	0													0	0	0
14	11577481900	5628149758	1636032399.3390183													0	0	0													0	0	0
15	11577490263	5628158143	1636032399.3470204													0	0	0													0	0	0
16	11577498552	5628166455	1636032399.3550715													0	0	0	0.24079151451587677	0.3035353720188141	-97.44462585449219	205.568603515625	70.76678466796875	0.6383059024810791	0.5293399691581726	0.5137748122215271	-63.32927703857422	-13.434568405151367	654.1324462890625		0	1	1
17	11577506898	5628174826	1636032399.3650193													0	0	0													0	0	0
18	11577515230	5628183184	1636032399.374021													0	0	0													0	0	0
19	11577523561	5628191542	1636032399.3806489													0	0	0	0.4825689494609833	0.268716961145401	-6.825714111328125	215.18508911132812	74.8487548828125	0.6392078995704651	0.5294325351715088	0.5136616826057434	-63.73897171020508	-13.476239204406738	654.0985107421875		0	1	1
20	11577531895	5628199879	1636032399.3884828													0	0	0													0	0	0
21	11577540213	5628208199	1636032399.3964858													0	0	0													0	0	0
22	11577548602	5628216591	1636032399.4075458													0	0	0	0.40942147374153137	0.33902037143707275	-34.241607666015625	195.76800537109375	66.60667419433594	0.6390389800071716	0.5287984013557434	0.513702392578125	-63.66282653808594	-13.186152458190918	654.1107177734375		0	1	1
23	11577556894	5628224886	1636032399.4175262													0	0	0													0	0	0
24	11577565212	5628233206	1636032399.4255493													0	0	0													0	0	0
25	11577573559	5628241556	1636032399.4375503													0	0	0	0.40942147374153137	0.33902037143707275	-34.241607666015625	195.76800537109375	66.60667419433594	0.6511489748954773	0.5240049362182617	0.5122780203819275	-69.16251373291016	-10.984147071838379	653.6834106445312		0	1	1
26	11577581893	5628249889	1636032399.441477													0	0	0													0	0	0
27	11577590210	5628258205	1636032399.4485276													0	0	0													0	0	0
28	11577598543	5628266537	1636032399.4577575													0	0	0	0.40942147374153137	0.33902037143707275	-34.241607666015625	195.76800537109375	66.60667419433594	0.6504287719726562	0.5228852033615112	0.5124035477638245	-68.8369140625	-10.472372055053711	653.7210693359375		0	1	1
29	11577606891	5628274884	1636032399.4660363													0	0	0													0	0	0
30	11577615219	5628283211	1636032399.4736876													0	0	0													0	0	0
31	11577623550	5628291541	1636032399.4829125													0	0	0													0	0	0
32	11577631887	5628299880	1636032399.4903767													0	0	0													0	0	0
33	11577640203	5628308198	1636032399.4981625													0	0	0													0	0	0
34	11577648572	5628316569	1636032399.5050774													0	0	0													0	0	0
35	11577656872	5628324872	1636032399.5140975													0	0	0													0	0	0
36	11577665247	5628333249	1636032399.521665													0	0	0													0	0	0
37	11577673533	5628341537	1636032399.530574													0	0	0													0	0	0
38	11577681881	5628349897	1636032399.5388005													0	0	0													0	0	0
39	11577690202	5628358234	1636032399.5463607													0	0	0													0	0	0
40	11577698584	5628366632	1636032399.555206													0	0	0													0	0	0
41	11577706879	5628374943	1636032399.563368													0	0	0													0	0	0
42	11577715209	5628383289	1636032399.5722966													0	0	0													0	0	0
43	11577723608	5628391706	1636032399.5808313													0	0	0													0	0	0
44	11577731901	5628400006	1636032399.5891113													0	0	0													0	0	0
45	11577740208	5628408317	1636032399.5963392													0	0	0													0	0	0
46	11577748582	5628416694	1636032399.6052706													0	0	0													0	0	0
47	11577756875	5628424991	1636032399.6136065													0	0	0													0	0	0
