	device_time_stamp	system_time_stamp	UTC	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	500809032	218660173573	1636628734.6591744	0.4563911259174347	0.371212899684906	-16.637252807617188	186.87673950195312	62.832557678222656	0.5725778937339783	0.4829302728176117	0.5653554201126099	-34.01905822753906	8.001008033752441	669.6066284179688		0	1	1	0.5209999084472656	0.47689419984817505	7.5783233642578125	157.6886444091797	50.442928314208984	0.43713200092315674	0.4821951985359192	0.5265088081359863	28.954919815063477	8.200298309326172	657.95263671875		0	1	1
1	500817357	218660181898	1636628734.6673958	0.4696655869483948	0.39463022351264954	-11.661941528320312	180.40911865234375	60.08721160888672	0.572449803352356	0.48292070627212524	0.5655444264411926	-33.96187973022461	8.006156921386719	669.663330078125	2.5787506103515625	1	1	1	0.5093796253204346	0.4318571090698242	3.2230072021484375	170.12744140625	55.72288513183594	0.43694180250167847	0.48212942481040955	0.5266678929328918	29.044618606567383	8.231192588806152	658.0003662109375	2.298614501953125	1	1	1
2	500825696	218660190237	1636628734.6752436	0.46009498834609985	0.3122100830078125	-15.2490234375	203.1727294921875	69.74980163574219	0.5723224878311157	0.4829101860523224	0.5650966167449951	-33.89539337158203	8.00948429107666	669.5289916992188		0	1	1													0	0	0
3	500834029	218660198570	1636628734.684219	0.4640302360057831	0.3197346329689026	-13.774078369140625	201.0945281982422	68.8676528930664	0.572356104850769	0.4828075170516968	0.5647945404052734	-33.90656661987305	8.056513786315918	669.4383544921875		0	1	1	0.4936707615852356	0.3877669870853424	-2.66473388671875	182.3046875	60.89182662963867	0.4368012249469757	0.4821211099624634	0.5265635251998901	29.107990264892578	8.23462963104248	657.9690551757812		0	1	1
4	500842364	218660206905	1636628734.6927521	0.4638018012046814	0.35085296630859375	-13.859710693359375	192.49996948242188	65.21946716308594	0.5722438097000122	0.48277387022972107	0.5645851492881775	-33.85075759887695	8.071518898010254	669.3755493164062	2.3662261962890625	1	1	1	0.48903796076774597	0.4778946042060852	-4.401123046875	157.41233825683594	50.325645446777344	0.4366645812988281	0.48209983110427856	0.5265069603919983	29.170175552368164	8.24421215057373	657.9520874023438	2.3909759521484375	1	1	1
5	500850693	218660215235	1636628734.7008307	0.462868332862854	0.35215187072753906	-14.209564208984375	192.14120483398438	65.06719207763672	0.5721229910850525	0.4827364981174469	0.5643389821052551	-33.79043960571289	8.088149070739746	669.3016967773438		0	1	1	0.4957689046859741	0.4084722101688385	-1.8783416748046875	176.5861053466797	58.46443176269531	0.4364941716194153	0.4820711612701416	0.5262528657913208	29.24526596069336	8.25646686553955	657.8758544921875		0	1	1
6	500859028	218660223569	1636628734.7093563	0.47068798542022705	0.35027357935905457	-11.27874755859375	192.65997314453125	65.28739929199219	0.5721780061721802	0.48263782262802124	0.5643631815910339	-33.816585540771484	8.134456634521484	669.3089599609375		0	1	1	0.4959249496459961	0.4100898206233978	-1.819854736328125	176.13934326171875	58.2747917175293	0.436479777097702	0.4819762408733368	0.5263063311576843	29.252607345581055	8.300384521484375	657.8919067382812		0	1	1
7	500867352	218660231893	1636628734.7174745	0.471241295337677	0.35161271691322327	-11.071365356445312	192.29013061523438	65.13040161132812	0.5720477104187012	0.4825804829597473	0.5643919110298157	-33.755958557128906	8.161433219909668	669.3175659179688	2.396881103515625	1	1	1	0.4914418160915375	0.40565407276153564	-3.5001373291015625	177.36444091796875	58.79481887817383	0.4363206624984741	0.4819243252277374	0.5266618132591248	29.33063507080078	8.325632095336914	657.99853515625	2.36083984375	1	1	1
8	500875691	218660240232	1636628734.7257328	0.46609944105148315	0.35028451681137085	-12.99853515625	192.65695190429688	65.28611755371094	0.5719395279884338	0.4825451374053955	0.5633184909820557	-33.689048767089844	8.174059867858887	668.9955444335938		0	1	1	0.4830257296562195	0.3929213285446167	-6.654510498046875	180.881103515625	60.28755187988281	0.4361680746078491	0.48186981678009033	0.5257673859596252	29.38893699645996	8.347343444824219	657.730224609375		0	1	1
9	500884025	218660248566	1636628734.7343755	0.45623332262039185	0.3486001193523407	-16.696395874023438	193.12216186523438	65.48358154296875	0.5720303058624268	0.482380211353302	0.5621722340583801	-33.714237213134766	8.247056007385254	668.6516723632812		0	1	1	0.48069053888320923	0.3857230544090271	-7.529754638671875	182.86920166015625	61.13145065307617	0.4361942708492279	0.4817729890346527	0.5246278643608093	29.36159896850586	8.387553215026855	657.3883666992188		0	1	1
